# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.67
metadata : {}


# id : NWRW1800000041.67.1.1
타임머신 타고 돌아간듯… 100년前 뉴욕과 만나다

타임머신	타임머신/NNG
타고	타/VV+고/EC
돌아간듯…	돌아가/VV+ㄴ/ETM+듯/NNB+…/SE
100년前	100/SN+년/NNB+前/SH
뉴욕과	뉴욕/NNP+과/JKB
만나다	만나/VV+다/EF


# id : NWRW1800000041.67.2.1
1914년 발행 NYT-커피-茶 등… 당시 생활상 담긴 타임캡슐 공개 100년뒤 개봉할 새 타임캡슐 제작… 레이디 가가 티켓-전자책 등 담아

1914년	1914/SN+년/NNB
발행	발행/NNG
NYT-커피-茶	NYT/SL+-/SO+커피/NNG+-/SO+茶/SH
등…	등/NNB+…/SE
당시	당시/NNG
생활상	생활상/NNG
담긴	담기/VV+ㄴ/ETM
타임캡슐	타임캡슐/NNG
공개	공개/NNG
100년뒤	100/SN+년/NNB+뒤/NNG
개봉할	개봉/NNG+하/XSV+ㄹ/ETM
새	새/MMA
제작…	제작/NNG+…/SE
레이디	레이디/NNP
가가	가가/NNP
티켓-전자책	티켓/NNG+-/SO+전자책/NNG
등	등/NNB
담아	담/VV+아/EF


# id : NWRW1800000041.67.3.1
100년 전의 미국 뉴욕은 어떤 모습이었을까?

100년	100/SN+년/NNB
전의	전/NNG+의/JKG
미국	미국/NNP
뉴욕은	뉴욕/NNP+은/JX
어떤	어떤/MMD
모습이었을까?	모습/NNG+이/VCP+었/EP+을까/EF+?/SF


# id : NWRW1800000041.67.4.1
뉴욕역사협회가 100년 전 뉴욕 월가 금융인들이 남겼던 타임캡슐의 문을 8일 열었다.

뉴욕역사협회가	뉴욕역사협회/NNP+가/JKS
100년	100/SN+년/NNB
전	전/NNG
뉴욕	뉴욕/NNP
월가	월가/NNP
금융인들이	금융인/NNG+들/XSN+이/JKS
남겼던	남기/VV+었/EP+던/ETM
타임캡슐의	타임캡슐/NNG+의/JKG
문을	문/NNG+을/JKO
8일	8/SN+일/NNB
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.67.4.2
수술 장갑을 낀 협회 관계자들이 캡슐을 여는 순간 지켜보던 이들의 입에서는 나직한 탄성이 흘러나왔다.

수술	수술/NNG
장갑을	장갑/NNG+을/JKO
낀	끼/VV+ㄴ/ETM
협회	협회/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
캡슐을	캡슐/NNG+을/JKO
여는	열/VV+는/ETM
순간	순간/NNG
지켜보던	지켜보/VV+던/ETM
이들의	이/NNB+들/XSN+의/JKG
입에서는	입/NNG+에서/JKB+는/JX
나직한	나직하/VA+ㄴ/ETM
탄성이	탄성/NNG+이/JKS
흘러나왔다.	흘러나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.67.4.3
닉 야블론 아이오와대 교수는 “유적을 복원할 때의 긴장감이 느껴졌다”고 AP통신에 전했다.

닉	닉/NNP
야블론	야블론/NNP
아이오와대	아이오와대/NNP
교수는	교수/NNG+는/JX
“유적을	“/SS+유적/NNG+을/JKO
복원할	복원/NNG+하/XSV+ㄹ/ETM
때의	때/NNG+의/JKG
긴장감이	긴장감/NNG+이/JKS
느껴졌다”고	느끼/VV+어/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
AP통신에	AP통신/NNP+에/JKB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.67.5.1
이 캡슐은 1914년 5월 23일 ‘월가 사업가협회’가 뉴욕 상업 발전에 선구적 역할을 했던 ‘신(新)네덜란드회사’ 설립 300주년을 기념해 만들었다.

이	이/MMD
캡슐은	캡슐/NNG+은/JX
1914년	1914/SN+년/NNB
5월	5/SN+월/NNB
23일	23/SN+일/NNB
‘월가	‘/SS+월가/NNP
사업가협회’가	사업가/NNG+협회/NNG+’/SS+가/JKS
뉴욕	뉴욕/NNP
상업	상업/NNG
발전에	발전/NNG+에/JKB
선구적	선구/NNG+적/XSN
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
‘신(新)네덜란드회사’	‘/SS+신/XPN+(/SS+新/SH+)/SS+네덜란드/NNP+회사/NNG+’/SS
설립	설립/NNG
300주년을	300/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.67.5.2
