# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.270
metadata : {}


# id : NWRW1800000045.270.1.1
[오늘과 내일/박중현]내가 갈까, 중동

[오늘과	[/SS+오늘/NNG+과/JC
내일/박중현]내가	내일/NNG+//SP+박중현/NNP+]/SS+내/NP+가/JKS
갈까,	가/VV+ㄹ까/EF+,/SP
중동	중동/NNP


# id : NWRW1800000045.270.2.1
박중현 경제부장“덥고, 술도 잘 못 먹고 해서 답답하고 심심하긴 하다더라.

박중현	박중현/NNP
경제부장“덥고,	경제부장/NNG+“/SS+덥/VA+고/EC+,/SP
술도	술/NNG+도/JX
잘	잘/MAG
못	못/MAG
먹고	먹/VV+고/EC
해서	하/VX+아서/EC
답답하고	답답하/VA+고/EC
심심하긴	심심하/VA+기/ETN+ㄴ/JX
하다더라.	하/VX+다더라/EF+./SF


# id : NWRW1800000045.270.2.2
그래도 에어컨 쌩쌩 나오는 사무실에서 일하고 한국인 식당에서 밥을 대줘서 지내는 데 문제는 없대.

그래도	그러/VV+어도/EC
에어컨	에어컨/NNG
쌩쌩	쌩쌩/MAG
나오는	나오/VV+는/ETM
사무실에서	사무실/NNG+에서/JKB
일하고	일/NNG+하/XSV+고/EC
한국인	한국인/NNG
식당에서	식당/NNG+에서/JKB
밥을	밥/NNG+을/JKO
대줘서	대/VV+어/EC+주/VX+어서/EC
지내는	지내/VV+는/ETM
데	데/NNB
문제는	문제/NNG+는/JX
없대.	없/VA+대/EF+./SF


# id : NWRW1800000045.270.2.3
한 5년 자리 보장해 주고 돈 좀 더 주면 지금 당장이라도 가지….”

한	한/MMA
5년	5/SN+년/NNB
자리	자리/NNG
보장해	보장/NNG+하/XSV+아/EC
주고	주/VX+고/EC
돈	돈/NNG
좀	좀/MAG
더	더/MAG
주면	주/VV+면/EC
지금	지금/MAG
당장이라도	당장/NNG+이/VCP+라도/EC
가지….”	가/VV+지/EF+…/SE+./SF+”/SS


# id : NWRW1800000045.270.3.1
최근 어릴 적 친구들끼리 모이자는 연락을 받고도 가지 못했다.

최근	최근/NNG
어릴	어리/VA+ㄹ/ETM
적	적/NNB
친구들끼리	친구/NNG+들/XSN+끼리/XSN
모이자는	모이/VV+자/EC+는/JX
연락을	연락/NNG+을/JKO
받고도	받/VV+고/EC+도/JX
가지	가/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.270.3.2
서울 은평구에서 초중고교를 함께 다닌 동네 친구들로 올해 50줄에 들어섰다.

서울	서울/NNP
은평구에서	은평구/NNP+에서/JKB
초중고교를	초중고교/NNG+를/JKO
함께	함께/MAG
다닌	다니/VV+ㄴ/ETM
동네	동네/NNG
친구들로	친구/NNG+들/XSN+로/JKB
올해	올해/NNG
50줄에	50/SN+줄/NNB+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.270.3.3
7명의 성(姓)이 모두 다르고 어릴 때 고스톱을 자주 쳐 모임 이름은 ‘칠각패’.

7명의	7/SN+명/NNB+의/JKG
성(姓)이	성/NNG+(/SS+姓/SH+)/SS+이/JKS
모두	모두/MAG
다르고	다르/VA+고/EC
어릴	어리/VA+ㄹ/ETM
때	때/NNG
고스톱을	고스톱/NNG+을/JKO
자주	자주/MAG
쳐	치/VV+어/EC
모임	모임/NNG
이름은	이름/NNG+은/JX
‘칠각패’.	‘/SS+칠각패/NNP+’/SS+./SF


# id : NWRW1800000045.270.3.4
건설업체에 다니는 한 명이 작년에 자원해서 베트남 현장에 나가는 바람에 그 친구가 한국에 휴가 오는 6개월에 한 번꼴로 연락이 온다.

건설업체에	건설업체/NNG+에/JKB
다니는	다니/VV+는/ETM
한	한/MMN
명이	명/NNB+이/JKS
작년에	작년/NNG+에/JKB
자원해서	자원/NNG+하/XSV+아서/EC
베트남	베트남/NNP
현장에	현장/NNG+에/JKB
나가는	나가/VV+는/ETM
바람에	바람/NNB+에/JKB
그	그/MMD
친구가	친구/NNG+가/JKS
한국에	한국/NNP+에/JKB
휴가	휴가/NNG
오는	오/VV+는/ETM
6개월에	6/SN+개월/NNB+에/JKB
번꼴로	번/NNB+꼴/XSN+로/JKB
연락이	연락/NNG+이/JKS
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.270.4.1
