# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.200
metadata : {}


# id : NWRW1800000052.200.1.1
중구 공영주차장 예정지 주민 조사해보니 차량 한집 0.5대꼴…서울 평균의 절반

중구	중구/NNP
공영주차장	공영/NNG+주차장/NNG
예정지	예정지/NNG
주민	주민/NNG
조사해보니	조사/NNG+하/XSV+아/EC+보/VX+니/EC
차량	차량/NNG
한집	한/MMN+집/NNG
0.5대꼴…서울	0/SN+./SP+5/SN+대/NNB+꼴/XSN+…/SE+서울/NNP
평균의	평균/NNG+의/JKG
절반	절반/NNG


# id : NWRW1800000052.200.2.1
차량 없는 노인 가구들 많아

차량	차량/NNG
없는	없/VA+는/ETM
노인	노인/NNG
가구들	가구/NNG+들/XSN
많아	많/VA+아/EF


# id : NWRW1800000052.200.3.1
주민 90% “공영주차장 필요없다”

주민	주민/NNG
90%	90/SN+%/SW
“공영주차장	“/SS+공영/NNG+주차장/NNG
필요없다”	필요/NNG+없/VA+다/EF+”/SS


# id : NWRW1800000052.200.4.1
“주민 주차난” 구청 주장과 달라

“주민	“/SS+주민/NNG
주차난”	주차난/NNG+”/SS
구청	구청/NNG
주장과	주장/NNG+과/JKB
달라	다르/VA+아/EF


# id : NWRW1800000052.200.5.1
대책위 “여행객 위해 주민추방”

대책위	대책위/NNG
“여행객	“/SS+여행객/NNG
위해	위하/VV+아/EC
주민추방”	주민/NNG+추방/NNG+”/SS


# id : NWRW1800000052.200.6.1
서울 중구가 주민들을 내쫓아 공영주차장을 지으려 하는 마을의 실제 거주민 10명 중 9명이 “공영주차장이 필요 없다”고 답변한 조사 결과가 나왔다.

서울	서울/NNP
중구가	중구/NNP+가/JKS
주민들을	주민/NNG+들/XSN+을/JKO
내쫓아	내쫓/VV+아/EC
공영주차장을	공영/NNG+주차장/NNG+을/JKO
지으려	짓/VV+으려/EC
하는	하/VX+는/ETM
마을의	마을/NNG+의/JKG
실제	실제/NNG
거주민	거주민/NNG
10명	10/SN+명/NNB
중	중/NNB
9명이	9/SN+명/NNB+이/JKS
“공영주차장이	“/SS+공영/NNG+주차장/NNG+이/JKS
필요	필요/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
답변한	답변/NNG+하/XSV+ㄴ/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.200.6.2
중구가 주차장 건립 배경으로 내세운 ‘심각한 주차난’을 주민들이 직접 검증하겠다고 나선 결과다.

중구가	중구/NNP+가/JKS
주차장	주차장/NNG
건립	건립/NNG
배경으로	배경/NNG+으로/JKB
내세운	내세우/VV+ㄴ/ETM
