# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.321
metadata : {}


# id : NWRW1800000021.321.1.1
원형탈모, 부위 작을 때 조기치료를

원형탈모,	원형/NNG+탈모/NNG+,/SP
부위	부위/NNG
작을	작/VA+을/ETM
때	때/NNG
조기치료를	조기/NNG+치료/NNG+를/JKO


# id : NWRW1800000021.321.2.1
군대에서 생긴 스트레스로 원형탈모가 생겼다면 국가유공자 인정을 받을 수 있을까.

군대에서	군대/NNG+에서/JKB
생긴	생기/VV+ㄴ/ETM
스트레스로	스트레스/NNG+로/JKB
원형탈모가	원형/NNG+탈모/NNG+가/JKS
생겼다면	생기/VV+었/EP+다면/EC
국가유공자	국가/NNG+유공자/NNG
인정을	인정/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000021.321.2.2
최근 원형탈모로 일찍 제대한 의병제대자를 국가유공자로 인정해야 한다는 법원 판결이 나왔다.

최근	최근/MAG
원형탈모로	원형/NNG+탈모/NNG+로/JKB
일찍	일찍/MAG
제대한	제대/NNG+하/XSV+ㄴ/ETM
의병제대자를	의병/NNG+제대자/NNG+를/JKO
국가유공자로	국가/NNG+유공자/NNG+로/JKB
인정해야	인정/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
법원	법원/NNG
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.321.3.1
소송을 낸 이모 씨는 2007년 11월 육군에 입대한 뒤 PX병으로 근무하다 원형탈모증 진단을 받아 전역했다.

소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
이모	이/NNP+모/NP
씨는	씨/NNB+는/JX
2007년	2007/SN+년/NNB
11월	11/SN+월/NNB
육군에	육군/NNG+에/JKB
입대한	입대/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
PX병으로	PX/SL+병/NNG+으로/JKB
근무하다	근무/NNG+하/XSV+다/EC
원형탈모증	원형/NNG+탈모증/NNG
진단을	진단/NNG+을/JKO
받아	받/VV+아/EC
전역했다.	전역/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.321.3.2
전역 후 ‘군 복무 중 받은 스트레스로 원형탈모증이 생겼다’며 국가유공자 등록을 신청했다.

전역	전역/NNG
후	후/NNG
‘군	‘/SS+군/NNG
복무	복무/NNG
중	중/NNB
받은	받/VV+은/ETM
스트레스로	스트레스/NNG+로/JKB
원형탈모증이	원형/NNG+탈모증/NNG+이/JKS
생겼다’며	생기/VV+었/EP+다/EF+’/SS+며/EC
국가유공자	국가/NNG+유공자/NNG
등록을	등록/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.321.3.3
원형탈모증이 국가유공자 요건이 아니라는 국가보훈청의 주장과는 달리 서울행정법원 재판부는 “가족이나 친척 가운데 원형탈모증을 앓은 환자가 없는 만큼 이 씨의 증상은 ‘군인이 교육훈련 또는 직무수행 중 입은 상이’에 해당한다”고 밝혔다.

원형탈모증이	원형/NNG+탈모증/NNG+이/JKS
국가유공자	국가/NNG+유공자/NNG
요건이	요건/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
국가보훈청의	국가/NNG+보훈청/NNG+의/JKG
주장과는	주장/NNG+과/JKB+는/JX
달리	달리/MAG
서울행정법원	서울행정법원/NNP
재판부는	재판부/NNG+는/JX
“가족이나	“/SS+가족/NNG+이나/JC
친척	친척/NNG
가운데	가운데/NNG
원형탈모증을	원형/NNG+탈모증/NNG+을/JKO
앓은	앓/VV+은/ETM
환자가	환자/NNG+가/JKS
없는	없/VA+는/ETM
만큼	만큼/NNB
이	이/NNP
씨의	씨/NNB+의/JKG
증상은	증상/NNG+은/JX
‘군인이	‘/SS+군인/NNG+이/JKS
교육훈련	교육/NNG+훈련/NNG
또는	또는/MAG
직무수행	직무/NNG+수행/NNG
중	중/NNB
입은	입/VV+은/ETM
상이’에	상이/NNG+’/SS+에/JKB
해당한다”고	해당/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.321.4.1
원형탈모증은 보통 동전 한 개만 한 크기로 머리카락이 빠지면서 시작된다.

원형탈모증은	원형/NNG+탈모증/NNG+은/JX
보통	보통/MAG
동전	동전/NNG
한	하/VA+ㄴ/ETM
개만	개/NNB+만/JX
크기로	크기/NNG+로/JKB
머리카락이	머리카락/NNG+이/JKS
빠지면서	빠지/VV+면서/EC
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.321.4.2
이 씨 역시 군에 입대한 지 8개월 만에 세 군데에서 동시다발적으로 원형탈모 증상이 나타났다.

이	이/NNP
씨	씨/NNB
역시	역시/MAG
군에	군/NNG+에/JKB
입대한	입대/NNG+하/XSV+ㄴ/ETM
지	지/NNB
8개월	8/SN+개월/NNB
만에	만/NNB+에/JKB
세	세/MMN
군데에서	군데/NNB+에서/JKB
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
원형탈모	원형/NNG+탈모/NNG
증상이	증상/NNG+이/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.321.4.3
치료를 받는 기간에도 눈썹, 겨드랑이까지 탈모현상이 나타날 정도로 중증을 보였다.

치료를	치료/NNG+를/JKO
받는	받/VV+는/ETM
기간에도	기간/NNG+에/JKB+도/JX
눈썹,	눈썹/NNG+,/SP
겨드랑이까지	겨드랑이/NNG+까지/JX
탈모현상이	탈모/NNG+현상/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
중증을	중증/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.321.4.4
강진수 강한피부과 원장은 “스트레스가 심할수록 원형탈모증이 잘 생긴다”며 “원형탈모가 생기면 보기 흉하다는 생각에 심리적으로 점점 더 위축된다”고 말했다.

강진수	강진수/NNP
강한피부과	강한피부과/NNP
원장은	원장/NNG+은/JX
