# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.20
metadata : {}


# id : NWRW1800000041.20.1.1
‘내 몸을 위한’ 건강 식재료 매출 늘어

‘내	‘/SS+나/NP+의/JKG
몸을	몸/NNG+을/JKO
위한’	위하/VV+ㄴ/ETM+’/SS
건강	건강/NNG
식재료	식재료/NNG
매출	매출/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000041.20.2.1
글루텐 없앤 국수… 나트륨 줄인 김치…

글루텐	글루텐/NNG
없앤	없애/VV+ㄴ/ETM
국수…	국수/NNG+…/SE
나트륨	나트륨/NNG
줄인	줄이/VV+ㄴ/ETM
김치…	김치/NNG+…/SE


# id : NWRW1800000041.20.3.1
중학생 딸을 둔 주부 송주희 씨(48)는 얼마 전부터 아이에게 밀가루가 들어간 음식을 먹이지 않는다.

중학생	중학/NNG+생/XSN
딸을	딸/NNG+을/JKO
둔	두/VV+ㄴ/ETM
주부	주부/NNG
송주희	송주희/NNP
씨(48)는	씨/NNB+(/SS+48/SN+)/SS+는/JX
얼마	얼마/NNG
전부터	전/NNG+부터/JX
아이에게	아이/NNG+에게/JKB
밀가루가	밀가루/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
음식을	음식/NNG+을/JKO
먹이지	먹이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.20.3.2
밀가루 음식을 쫀득하게 하는 글루텐 성분이 소화에 좋지 않다는 얘기를 듣고 식습관을 바꾸기로 했다.

밀가루	밀가루/NNG
음식을	음식/NNG+을/JKO
쫀득하게	쫀득하/VA+게/EC
하는	하/VX+는/ETM
글루텐	글루텐/NNG
성분이	성분/NNG+이/JKS
소화에	소화/NNG+에/JKB
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
얘기를	얘기/NNG+를/JKO
듣고	듣/VV+고/EC
식습관을	식습관/NNG+을/JKO
바꾸기로	바꾸/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.20.3.3
송 씨는 국수를 만들 때 쌀로 만든 소면을 사용하고, 부대찌개를 끓일 땐 글루텐프리(gluten-free) 햄을 넣는다.

송	송/NNP
씨는	씨/NNB+는/JX
국수를	국수/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
때	때/NNG
쌀로	쌀/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
소면을	소면/NNG+을/JKO
사용하고,	사용/NNG+하/XSV+고/EC+,/SP
부대찌개를	부대찌개/NNG+를/JKO
끓일	끓이/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
글루텐프리(gluten-free)	글루텐프리/NNG+(/SS+gluten/SL+-/SO+free/SL+)/SS
햄을	햄/NNG+을/JKO
넣는다.	넣/VV+는다/EF+./SF


# id : NWRW1800000041.20.4.1
소비자들이 까다롭게 식품 성분을 따지기 시작하면서 과거에는 건강에 문제가 있을 때만 찾던 식품을 일반인이 소비하는 일이 늘어나고 있다.

소비자들이	소비자/NNG+들/XSN+이/JKS
까다롭게	까다롭/VA+게/EC
식품	식품/NNG
성분을	성분/NNG+을/JKO
따지기	따지/VV+기/ETN
시작하면서	시작/NNG+하/XSV+면서/EC
과거에는	과거/NNG+에/JKB+는/JX
건강에	건강/NNG+에/JKB
문제가	문제/NNG+가/JKS
있을	있/VA+을/ETM
때만	때/NNG+만/JX
찾던	찾/VV+던/ETM
식품을	식품/NNG+을/JKO
일반인이	일반인/NNG+이/JKS
소비하는	소비/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.20.4.2
만성 소화 장애가 있거나 밀가루 알레르기가 있는 사람들이 주로 먹었던 글루텐프리 제품이라든지, 고혈압 환자를 겨냥해 나온 저염(低鹽) 식품에 대한 관심도 높아지고 있다.

만성	만성/NNG
소화	소화/NNG
장애가	장애/NNG+가/JKS
있거나	있/VA+거나/EC
밀가루	밀가루/NNG
알레르기가	알레르기/NNG+가/JKS
있는	있/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
주로	주로/MAG
먹었던	먹/VV+었/EP+던/ETM
글루텐프리	글루텐프리/NNG
제품이라든지,	제품/NNG+이라든지/JX+,/SP
고혈압	고/XPN+혈압/NNG
환자를	환자/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
나온	나오/VV+ㄴ/ETM
저염(低鹽)	저염/NNG+(/SS+低鹽/SH+)/SS
식품에	식품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심도	관심/NNG+도/JX
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.20.4.3
이에 따라 업체마다 특허기술을 도입한 신제품을 잇달아 내놓고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
업체마다	업체/NNG+마다/JX
특허기술을	특허/NNG+기술/NNG+을/JKO
도입한	도입/NNG+하/XSV+ㄴ/ETM
신제품을	신/XPN+제품/NNG+을/JKO
잇달아	잇달/VV+아/EC
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.20.5.1
글루텐프리 시장을 가장 적극적으로 공략하고 있는 업체는 아워홈이다.

글루텐프리	글루텐프리/NNG
시장을	시장/NNG+을/JKO
가장	가장/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
공략하고	공략/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
업체는	업체/NNG+는/JX
아워홈이다.	아워홈/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.20.5.2
지난해 글루텐프리 쌀파스타 3종을 내놓은 데 이어 최근에는 쌀비빔면 쌀우동 제품 등을 출시했다.

지난해	지난해/NNG
글루텐프리	글루텐프리/NNG
쌀파스타	쌀/NNG+파스타/NNG
3종을	3/SN+종/NNG+을/JKO
내놓은	내놓/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
최근에는	최근/NNG+에/JKB+는/JX
쌀비빔면	쌀/NNG+비빔면/NNG
쌀우동	쌀/NNG+우동/NNG
제품	제품/NNG
등을	등/NNB+을/JKO
출시했다.	출시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.20.5.3
글루텐프리 면제품 출시 이후 아워홈의 면류 매출은 150%로 껑충 뛰었다.

글루텐프리	글루텐프리/NNG
