# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.91
metadata : {}


# id : NWRW1800000040.91.1.1
인텔, 북한 진출 준비중?

인텔,	인텔/NNP+,/SP
북한	북한/NNP
진출	진출/NNG
준비중?	준비/NNG+중/NNB+?/SF


# id : NWRW1800000040.91.2.1
미 정부에 북한내 ‘상표권 등록’ 신청

미	미/NNP
정부에	정부/NNG+에/JKB
북한내	북한/NNP+내/NNB
‘상표권	‘/SS+상표/NNG+권/XSN
등록’	등록/NNG+’/SS
신청	신청/NNG


# id : NWRW1800000040.91.3.1
“현재로선 사업계획 없다”

“현재로선	“/SS+현재/NNG+로서/JKB+ㄴ/JX
사업계획	사업/NNG+계획/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000040.91.4.1
미국의 대표적인 정보기술(IT) 업체인 인텔이 지난해 8월 미국의 고강도 제재를 받고 있는 북한에서 자사의 상표권을 등록하고 보호할 수 있도록 예외적으로 인정해달라고 요청한 사실이 뒤늦게 밝혀졌다.

미국의	미국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
업체인	업체/NNG+이/VCP+ㄴ/ETM
인텔이	인텔/NNP+이/JKS
지난해	지난해/NNG
8월	8/SN+월/NNB
고강도	고/XPN+강도/NNG
제재를	제재/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
북한에서	북한/NNP+에서/JKB
자사의	자사/NNG+의/JKG
상표권을	상표/NNG+권/XSN+을/JKO
등록하고	등록/NNG+하/XSV+고/EC
보호할	보호/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
예외적으로	예외/NNG+적/XSN+으로/JKB
인정해달라고	인정/NNG+하/XSV+아/EC+달/VX+라고/EC
요청한	요청/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.91.5.1
이런 사실은 미국 공영 라디오방송인 <엔피아르>(NPR)가 최근 정보공개 절차를 밟아 미국 재무부 산하 국외재산통제국(OFAC)에서 입수한 대외비 문서에서 확인됐다.

이런	이런/MMD
사실은	사실/NNG+은/JX
미국	미국/NNP
공영	공영/NNG
라디오방송인	라디오/NNG+방송/NNG+이/VCP+ㄴ/ETM
<엔피아르>(NPR)가	</SS+엔피아르/NNP+>/SS+(/SS+NPR/SL+)/SS+가/JKS
최근	최근/MAG
정보공개	정보/NNG+공개/NNG
절차를	절차/NNG+를/JKO
밟아	밟/VV+아/EC
재무부	재무부/NNG
산하	산하/NNG
국외재산통제국(OFAC)에서	국외/NNG+재산/NNG+통제국/NNG+(/SS+OFAC/SL+)/SS+에서/JKB
입수한	입수/NNG+하/XSV+ㄴ/ETM
대외비	대외비/NNG
문서에서	문서/NNG+에서/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.91.5.2
인텔은 2012년 8월15일 법률 대리인인 ‘노박 드러스’를 통해 제출한 요청서에서 “미국 정부의 대북 제재 규정이 있긴 하지만, 북한에서 상표권을 등록하고 유지·강화해나갈 수 있도록 특정 면허(Specific License)를 부여해달라”고 요청했다.

인텔은	인텔/NNP+은/JX
2012년	2012/SN+년/NNB
8월15일	8/SN+월/NNB+15/SN+일/NNB
법률	법률/NNG
대리인인	대리인/NNG+이/VCP+ㄴ/ETM
‘노박	‘/SS+노박/NNP
드러스’를	드러스/NNP+’/SS+를/JKO
통해	통하/VV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
요청서에서	요청서/NNG+에서/JKB
“미국	“/SS+미국/NNP
정부의	정부/NNG+의/JKG
대북	대북/NNG
제재	제재/NNG
규정이	규정/NNG+이/JKS
있긴	있/VA+기/ETN+ㄴ/JX
하지만,	하/VX+지만/EC+,/SP
북한에서	북한/NNP+에서/JKB
상표권을	상표/NNG+권/XSN+을/JKO
등록하고	등록/NNG+하/XSV+고/EC
유지·강화해나갈	유지/NNG+·/SP+강화/NNG+하/XSV+아/EC+나가/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
특정	특정/NNG
면허(Specific	면허/NNG+(/SS+Specific/SL
License)를	License/SL+)/SS+를/JKO
부여해달라”고	부여/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.91.6.1
미국은 대통령 행정명령 13570호에서 미국 정부의 허가 없이 북한의 상품·서비스·기술을 수입할 수 없도록 규정하고 있다.

미국은	미국/NNP+은/JX
대통령	대통령/NNG
행정명령	행정/NNG+명령/NNG
13570호에서	13570/SN+호/NNB+에서/JKB
미국	미국/NNP
