# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.213
metadata : {}


# id : NWRW1800000030.213.1.1
'양'의 이름으로… 양학선, 체조 신기술 등재 예정

'양'의	'/SS+양/NNP+'/SS+의/JKG
이름으로…	이름/NNG+으로/JKB+…/SE
양학선,	양학선/NNP+,/SP
체조	체조/NNG
신기술	신/XPN+기술/NNG
등재	등재/NNG
예정	예정/NNG


# id : NWRW1800000030.213.2.1
?코리아컵 대회 도마 금메달… 국제연맹 '양'으로 올릴 계획

?코리아컵	?/SF+코리아/NNP+컵/NNG
대회	대회/NNG
도마	도마/NNG
금메달…	금메달/NNG+…/SE
국제연맹	국제/NNG+연맹/NNG
'양'으로	'/SS+양/NNP+'/SS+으로/JKB
올릴	올리/VV+ㄹ/ETM
계획	계획/NNG


# id : NWRW1800000030.213.3.1
국내에서 처음 열린 국제체조대회에서 양학선(19·한체대)이 최고 난도의 신기술을 성공적으로 선보이며 도마 종목 금메달을 목에 걸었다.

국내에서	국내/NNG+에서/JKB
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
국제체조대회에서	국제/NNG+체조/NNG+대회/NNG+에서/JKB
양학선(19·한체대)이	양학선/NNP+(/SS+19/SN+·/SP+한체대/NNP+)/SS+이/JKS
최고	최고/NNG
난도의	난도/NNG+의/JKG
신기술을	신/XPN+기술/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
선보이며	선보이/VV+며/EC
도마	도마/NNG
종목	종목/NNG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.213.3.2
국제체조연맹(FIG)은 조만간 이 신기술에 양학선의 이름을 붙여 채점 규정에 정식 등재할 것으로 보인다.

국제체조연맹(FIG)은	국제체조연맹/NNP+(/SS+FIG/SL+)/SS+은/JX
조만간	조만간/MAG
이	이/MMD
신기술에	신/XPN+기술/NNG+에/JKB
양학선의	양학선/NNP+의/JKG
이름을	이름/NNG+을/JKO
붙여	붙이/VV+어/EC
채점	채점/NNG
규정에	규정/NNG+에/JKB
정식	정식/NNG
등재할	등재/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.213.4.1
9일 경기도 고양시 고양체육관에서 열린 '포스코건설 2011 코리아컵 고양 국제체조대회'에서 양학선은 공중에서 세 바퀴(1080도)를 회전하는 신기술을 펼쳐 1, 2차 시기 평균 16.650점을 획득하며 15.987점을 기록한 세계선수권 챔피언 토마 부엘(25·프랑스)을 제치고 1위를 차지했다.

9일	9/SN+일/NNB
경기도	경기도/NNP
고양시	고양시/NNP
고양체육관에서	고양체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'포스코건설	'/SS+포스코건설/NNP
2011	2011/SN
코리아컵	코리아/NNP+컵/NNG
고양	고양/NNP
국제체조대회'에서	국제/NNG+체조/NNG+대회/NNG+'/SS+에서/JKB
양학선은	양학선/NNP+은/JX
공중에서	공중/NNG+에서/JKB
세	세/MMN
바퀴(1080도)를	바퀴/NNB+(/SS+1080/SN+도/NNB+)/SS+를/JKO
회전하는	회전/NNG+하/XSV+는/ETM
신기술을	신/XPN+기술/NNG+을/JKO
펼쳐	펼치/VV+어/EC
1,	1/SN+,/SP
2차	2/SN+차/NNB
시기	시기/NNG
평균	평균/NNG
16.650점을	16/SN+./SP+650/SN+점/NNB+을/JKO
획득하며	획득/NNG+하/XSV+며/EC
15.987점을	15/SN+./SP+987/SN+점/NNB+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
세계선수권	세계/NNG+선수/NNG+권/XSN
챔피언	챔피언/NNG
토마	토마/NNP
부엘(25·프랑스)을	부엘/NNP+(/SS+25/SN+·/SP+프랑스/NNP+)/SS+을/JKO
제치고	제치/VV+고/EC
1위를	1/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.213.4.2
양학선은 공중에서 두 바퀴 반(900도)을 도는 기존의 '여2' 기술(난도 7.0)보다 반 바퀴 더 회전하는 이 기술을 공식 대회에서는 처음으로 선보였고, FIG 심판진은 이 기술의 난도를 역대 최고인 7.4점으로 인정했다.

양학선은	양학선/NNP+은/JX
공중에서	공중/NNG+에서/JKB
두	두/MMN
바퀴	바퀴/NNB
반(900도)을	반/NNG+(/SS+900/SN+도/NNB+)/SS+을/JKO
도는	돌/VV+는/ETM
기존의	기존/NNG+의/JKG
'여2'	'/SS+여/NNP+2/SN+'/SS
기술(난도	기술/NNG+(/SS+난도/NNG
7.0)보다	7/SN+./SP+0/SN+)/SS+보다/JKB
반	반/NNG
더	더/MAG
회전하는	회전/NNG+하/XSV+는/ETM
이	이/MMD
기술을	기술/NNG+을/JKO
공식	공식/NNG
대회에서는	대회/NNG+에서/JKB+는/JX
처음으로	처음/NNG+으로/JKB
선보였고,	선보이/VV+었/EP+고/EC+,/SP
FIG	FIG/SL
심판진은	심판진/NNG+은/JX
기술의	기술/NNG+의/JKG
난도를	난도/NNG+를/JKO
역대	역대/NNG
