# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.28
metadata : {}


# id : NWRW1800000049.28.1.1
방수기능 도마오른 아이폰7

방수기능	방수/NNG+기능/NNG
도마오른	도마/NNG+오르/VV+ㄴ/ETM
아이폰7	아이폰7/NNP


# id : NWRW1800000049.28.2.1
美 WSJ “물속서 작동 잘 안돼” CNN “제대로 된 방수폰 아니다” 추락때 액정 잘 깨지는 점도 지적

美	美/SH
WSJ	WSJ/SL
“물속서	“/SS+물속/NNG+서/JKB
작동	작동/NNG
잘	잘/MAG
안돼”	안/MAG+되/XSV+어/EF+”/SS
CNN	CNN/SL
“제대로	“/SS+제대로/MAG
된	되/VV+ㄴ/ETM
방수폰	방수/NNG+폰/NNG
아니다”	아니/VCN+다/EF+”/SS
추락때	추락/NNG+때/NNG
액정	액정/NNG
깨지는	깨지/VV+는/ETM
점도	점/NNG+도/JX
지적	지적/NNG


# id : NWRW1800000049.28.3.1
애플 ‘아이폰7’ 시리즈의 방수 기능이 제대로 작동하지 않는다는 지적이 제기됐다.

애플	애플/NNP
‘아이폰7’	‘/SS+아이폰7/NNP+’/SS
시리즈의	시리즈/NNG+의/JKG
방수	방수/NNG
기능이	기능/NNG+이/JKS
제대로	제대로/MAG
작동하지	작동/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
지적이	지적/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.28.3.2
19일(현지 시간) 정보기술(IT) 전문매체인 지디넷은 아이폰7과 아이폰7플러스(사진)를 대상으로 방수 실험을 한 결과 소리가 일부 안 들리는 문제를 확인했다고 보도했다.

19일(현지	19/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
전문매체인	전문/NNG+매체/NNG+이/VCP+ㄴ/ETM
지디넷은	지디넷/NNP+은/JX
아이폰7과	아이폰7/NNP+과/JC
아이폰7플러스(사진)를	아이폰7플러스/NNP+(/SS+사진/NNG+)/SS+를/JKO
대상으로	대상/NNG+으로/JKB
방수	방수/NNG
실험을	실험/NNG+을/JKO
한	하/VV+ㄴ/ETM
결과	결과/NNG
소리가	소리/NNG+가/JKS
일부	일부/NNG
안	안/MAG
들리는	들리/VV+는/ETM
문제를	문제/NNG+를/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.28.4.1
미국 월스트리트저널도 제품 리뷰 기사를 통해 “물속에서 아이폰7 터치스크린이 제대로 작동하지 않아 문자메시지를 쓰기는 불편했다”며 “물 밖에 나와서는 충전하기 전 최소 5시간은 말린 뒤에 써야 한다”고 밝혔다.

미국	미국/NNP
월스트리트저널도	월스트리트저널/NNP+도/JX
제품	제품/NNG
리뷰	리뷰/NNG
기사를	기사/NNG+를/JKO
통해	통하/VV+아/EC
“물속에서	“/SS+물속/NNG+에서/JKB
아이폰7	아이폰7/NNP
터치스크린이	터치스크린/NNG+이/JKS
제대로	제대로/MAG
작동하지	작동/NNG+하/XSV+지/EC
않아	않/VX+아/EC
문자메시지를	문자/NNG+메시지/NNG+를/JKO
쓰기는	쓰/VV+기/ETN+는/JX
불편했다”며	불편/NNG+하/XSA+았/EP+다/EF+”/SS+며/EC
“물	“/SS+물/NNG
밖에	밖/NNG+에/JKB
나와서는	나오/VV+아서/EC+는/JX
충전하기	충전/NNG+하/XSV+기/ETN
전	전/NNG
최소	최소/NNG
5시간은	5/SN+시간/NNB+은/JX
말린	말리/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
써야	쓰/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.28.4.2
또 “애플이 방수 기능에 대한 품질 보증은 해 주지 않는다고 명시한 만큼 물 속에서 갖고 노는 건 자제해야 한다”고 덧붙였다.

또	또/MAG
“애플이	“/SS+애플/NNP+이/JKS
방수	방수/NNG
기능에	기능/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
품질	품질/NNG
보증은	보증/NNG+은/JX
해	하/VV+아/EC
주지	주/VX+지/EC
않는다고	않/VX+는다고/EC
명시한	명시/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
물	물/NNG
속에서	속/NNG+에서/JKB
갖고	갖/VV+고/EC
노는	놀/VV+는/ETM
건	거/NNB+ㄴ/JX
자제해야	자제/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.28.5.1
CNN머니도 “아이폰7은 단지 물이 잘 스며들지 않는 수준이지 방수가 되는 폰은 아니다”라고 보도했다.

CNN머니도	CNN머니/NNP+도/JX
“아이폰7은	“/SS+아이폰7/NNP+은/JX
단지	단지/MAG
물이	물/NNG+이/JKS
잘	잘/MAG
스며들지	스며들/VV+지/EC
않는	않/VX+는/ETM
수준이지	수준/NNG+이/VCP+지/EC
방수가	방수/NNG+가/JKC
되는	되/VV+는/ETM
폰은	폰/NNG+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.28.5.2
아이폰7 시리즈는 IP67등급으로 이론적으로 수심 1m에서 30분 방수가 가능하다.

아이폰7	아이폰7/NNP
시리즈는	시리즈/NNG+는/JX
IP67등급으로	IP/SL+67/SN+등급/NNG+으로/JKB
이론적으로	이론/NNG+적/XSN+으로/JKB
수심	수심/NNG
1m에서	1/SN+m/SW+에서/JKB
30분	30/SN+분/NNB
방수가	방수/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.28.6.1
반면 포천 등 일부 언론은 “애플이 보장한 30분 동안은 문제없이 버틴다”며 “아이폰7은 삼성전자의 최신 방수폰과 경쟁할 수 있는 첫 제품”이라고 반박했다.

반면	반면/NNG
포천	포천/NNP
등	등/NNB
일부	일부/NNG
언론은	언론/NNG+은/JX
“애플이	“/SS+애플/NNP+이/JKS
보장한	보장/NNG+하/XSV+ㄴ/ETM
30분	30/SN+분/NNB
동안은	동안/NNG+은/JX
문제없이	문제없이/MAG
버틴다”며	버티/VV+ㄴ다/EF+”/SS+며/EC
“아이폰7은	“/SS+아이폰7/NNP+은/JX
삼성전자의	삼성전자/NNP+의/JKG
최신	최신/NNG
방수폰과	방수/NNG+폰/NNG+과/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
첫	첫/MMN
제품”이라고	제품/NNG+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.28.7.1
포천은 “아이폰7은 오히려 높은 곳에서 떨어지는 충격에 더 취약하다”며 “그 부분에서는 전작에 비해 전혀 개선되지 않았다”고 지적했다.

포천은	포천/NNP+은/JX
“아이폰7은	“/SS+아이폰7/NNP+은/JX
오히려	오히려/MAG
높은	높/VA+은/ETM
곳에서	곳/NNG+에서/JKB
떨어지는	떨어지/VV+는/ETM
충격에	충격/NNG+에/JKB
더	더/MAG
취약하다”며	취약/NNG+하/XSA+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
부분에서는	부분/NNG+에서/JKB+는/JX
전작에	전작/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
전혀	전혀/MAG
개선되지	개선/NNG+되/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.28.7.2
실험 결과 보도블록에서 정면으로 한 번만 떨어뜨려도 아이폰7과 아이폰7플러스 모두 액정이 산산조각 났다.

실험	실험/NNG
결과	결과/NNG
보도블록에서	보도블록/NNG+에서/JKB
정면으로	정면/NNG+으로/JKB
한	한/MMN
번만	번/NNB+만/JX
떨어뜨려도	떨어뜨리/VV+어도/EC
아이폰7과	아이폰7/NNP+과/JC
아이폰7플러스	아이폰7플러스/NNP
모두	모두/MAG
액정이	액정/NNG+이/JKS
산산조각	산산조각/NNG
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.28.7.3
아이폰7은 두 번 만에, 아이폰7 플러스는 세 번 만에 더 이상 사용할 수 없는 수준으로 부서졌다.

아이폰7은	아이폰7/NNP+은/JX
두	두/MMN
