# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.225
metadata : {}


# id : NWRW1800000026.225.1.1
[Around the World] 日관방 '강제징용' 전향적 발언 개인 청구권 길 열릴지 관심

[Around	[/SS+Around/SL
the	the/SL
World]	World/SL+]/SS
日관방	日/SH+관방/NNG
'강제징용'	'/SS+강제/NNG+징용/NNG+'/SS
전향적	전향/NNG+적/XSN
발언	발언/NNG
개인	개인/NNG
청구권	청구/NNG+권/XSN
길	길/NNG
열릴지	열리/VV+ㄹ지/EF
관심	관심/NNG


# id : NWRW1800000026.225.2.1
강제징용 보상 문제를 해결할 길이 열릴 것인가.

강제징용	강제/NNG+징용/NNG
보상	보상/NNG
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
열릴	열리/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000026.225.3.1
일제하 강제징용자 및 원폭 피폭자에 대한 개인청구권 문제와 관련, 센고쿠 요시토(仙谷由人) 일본 관방장관이 7일 그동안 일본 정부의 입장과는 상당히 다른 전향적인 입장을 표명함에 따라 실질적인 개인보상의 길이 열릴지 주목된다.

일제하	일제/NNG+하/XSN
강제징용자	강제/NNG+징용자/NNG
및	및/MAG
원폭	원폭/NNG
피폭자에	피폭자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개인청구권	개인/NNG+청구/NNG+권/XSN
문제와	문제/NNG+와/JKB
관련,	관련/NNG+,/SP
센고쿠	센고쿠/NNP
요시토(仙谷由人)	요시토/NNP+(/SS+仙谷由人/SH+)/SS
일본	일본/NNP
관방장관이	관방/NNG+장관/NNG+이/JKS
7일	7/SN+일/NNB
그동안	그동안/NNG
정부의	정부/NNG+의/JKG
입장과는	입장/NNG+과/JKB+는/JX
상당히	상당히/MAG
다른	다르/VA+ㄴ/ETM
전향적인	전향/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
표명함에	표명/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
개인보상의	개인/NNG+보상/NNG+의/JKG
길이	길/NNG+이/JKS
열릴지	열리/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.225.4.1
센고쿠 장관은 이날 도쿄 외국특파원협회(FCCJ) 주최 회견에서 한·일 청구권협정으로 정부 청구권과 함께 개인청구권도 소멸됐다는 일본 정부의 공식 입장에 대해 "법률적으로 정당성이 있다고 해서 그것만으로 좋은가, 모두 해결된 것인가라는 문제가 있다"고 말했다.

센고쿠	센고쿠/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
도쿄	도쿄/NNP
외국특파원협회(FCCJ)	외국/NNG+특파원/NNG+협회/NNG+(/SS+FCCJ/SL+)/SS
주최	주최/NNG
회견에서	회견/NNG+에서/JKB
한·일	한·일/NNP
청구권협정으로	청구/NNG+권/XSN+협정/NNG+으로/JKB
정부	정부/NNG
청구권과	청구/NNG+권/XSN+과/JKB
함께	함께/MAG
개인청구권도	개인/NNG+청구/NNG+권/XSN+도/JX
소멸됐다는	소멸/NNG+되/XSV+었/EP+다는/ETM
일본	일본/NNP
정부의	정부/NNG+의/JKG
공식	공식/NNG
입장에	입장/NNG+에/JKB
대해	대하/VV+아/EC
"법률적으로	"/SS+법률/NNG+적/XSN+으로/JKB
정당성이	정당성/NNG+이/JKS
있다고	있/VA+다고/EC
해서	하/VV+아서/EC
그것만으로	그것/NP+만/JX+으로/JKB
좋은가,	좋/VA+은가/EF+,/SP
모두	모두/MAG
해결된	해결/NNG+되/XSV+ㄴ/ETM
것인가라는	것/NNB+이/VCP+ㄴ가/EF+이/VCP+라는/ETM
문제가	문제/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.225.4.2
또 "'법적으로 끝났다'고 했더라도 (양국) 관계가 나빠진다면 정치적으로 개선 가능한 방침을 만들어 판단하지 않으면 안 되는 문제도 있다"고 했다.

또	또/MAG
"'법적으로	"/SS+'/SS+법/NNG+적/XSN+으로/JKB
끝났다'고	끝나/VV+았/EP+다/EF+'/SS+고/JKQ
했더라도	하/VV+았/EP+더라도/EC
(양국)	(/SS+양국/NNG+)/SS
관계가	관계/NNG+가/JKS
나빠진다면	나빠지/VV+ㄴ다면/EC
정치적으로	정치/NNG+적/XSN+으로/JKB
개선	개선/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
방침을	방침/NNG+을/JKO
만들어	만들/VV+어/EC
판단하지	판단/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
되는	되/VV+는/ETM
문제도	문제/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.225.5.1
권철현(權哲賢) 주일대사는 이 발언과 관련, 8일 한국 특파원들과의 간담회에서 "상당히 전향적이어서 발언 내용을 유심히 읽었다"면서 "일본 정부의 견해를 반영했을 가능성이 있다고 본다"고 말했다.

권철현(權哲賢)	권철현/NNP+(/SS+權哲賢/SH+)/SS
주일대사는	주일/NNG+대사/NNG+는/JX
이	이/MMD
발언과	발언/NNG+과/JKB
관련,	관련/NNG+,/SP
8일	8/SN+일/NNB
한국	한국/NNP
특파원들과의	특파원/NNG+들/XSN+과/JKB+의/JKG
간담회에서	간담회/NNG+에서/JKB
"상당히	"/SS+상당히/MAG
전향적이어서	전향/NNG+적/XSN+이/VCP+어서/EC
발언	발언/NNG
내용을	내용/NNG+을/JKO
유심히	유심히/MAG
읽었다"면서	읽/VV+었/EP+다/EF+"/SS+면서/EC
"일본	"/SS+일본/NNP
정부의	정부/NNG+의/JKG
견해를	견해/NNG+를/JKO
반영했을	반영/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.225.6.1
그러나 야당은 물론 현 집권 민주당 내부에도 적극적인 과거사 정리에 대해 부정적 입장을 가진 사람이 적지 않아 센고쿠 장관의 발언이 실현될 수 있을지는 미지수다.

그러나	그러나/MAJ
야당은	야당/NNG+은/JX
물론	물론/MAG
현	현/MMD
집권	집권/NNG
민주당	민주당/NNP
내부에도	내부/NNG+에/JKB+도/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
과거사	과거사/NNG
정리에	정리/NNG+에/JKB
대해	대하/VV+아/EC
부정적	부정/NNG+적/XSN
입장을	입장/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
사람이	사람/NNG+이/JKS
적지	적/VA+지/EC
않아	않/VX+아/EC
센고쿠	센고쿠/NNP
장관의	장관/NNG+의/JKG
발언이	발언/NNG+이/JKS
실현될	실현/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을지는	있/VA+을지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


