# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.125
metadata : {}


# id : NWRW1800000032.125.1.1
미 연준, 이번엔 ‘오퍼레이션 트위스트’?

미	미/NNP
연준,	연준/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
‘오퍼레이션	‘/SS+오퍼레이션/NNG
트위스트’?	트위스트/NNG+’/SS+?/SF


# id : NWRW1800000032.125.2.1
블룸버그 보도…전문가들 “부양효과 제한적”

블룸버그	블룸버그/NNP
보도…전문가들	보도/NNG+…/SE+전문가/NNG+들/XSN
“부양효과	“/SS+부양/NNG+효과/NNG
제한적”	제한/NNG+적/XSN+”/SS


# id : NWRW1800000032.125.3.1
‘이번엔 뭘 내놓나.’

‘이번엔	‘/SS+이번/NNG+에/JKB+ㄴ/JX
뭘	뭐/NP+ㄹ/JKO
내놓나.’	내놓/VV+나/EF+./SF+’/SS


# id : NWRW1800000032.125.4.1
미국 경기침체의 돌파구가 좀체 보이지 않는 가운데 미국 연방준비제도(연준)의 고민도 깊어지고 있다.

미국	미국/NNP
경기침체의	경기/NNG+침체/NNG+의/JKG
돌파구가	돌파구/NNG+가/JKS
좀체	좀체/MAG
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
가운데	가운데/NNG
연방준비제도(연준)의	연방/NNG+준비/NNG+제도/NNG+(/SS+연준/NNG+)/SS+의/JKG
고민도	고민/NNG+도/JX
깊어지고	깊어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.125.4.2
특히 최근 시장의 불안감이 커지면서 대량환매가 본격화돼 연준이 이를 막기 위한 특단의 조처를 내놓을 수밖에 없는 상황이다.

특히	특히/MAG
최근	최근/MAG
시장의	시장/NNG+의/JKG
불안감이	불안감/NNG+이/JKS
커지면서	커지/VV+면서/EC
대량환매가	대량/NNG+환매/NNG+가/JKS
본격화돼	본격/NNG+화/XSN+되/XSV+어/EC
연준이	연준/NNP+이/JKS
이를	이/NP+를/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
특단의	특단/NNG+의/JKG
조처를	조처/NNG+를/JKO
내놓을	내놓/VV+을/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.125.4.3
하지만 이미 2013년 중반까지 ‘제로금리 유지’를 선언해 금리 수단은 묶여있다.

하지만	하지만/MAJ
이미	이미/MAG
2013년	2013/SN+년/NNB
중반까지	중반/NNG+까지/JX
‘제로금리	‘/SS+제로/NNG+금리/NNG
유지’를	유지/NNG+’/SS+를/JKO
선언해	선언/NNG+하/XSV+아/EC
금리	금리/NNG
수단은	수단/NNG+은/JX
묶여있다.	묶이/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000032.125.4.4
시장이 바라는 3차 양적완화 조처 또한 2009년, 2010년 등 두차례나 취한데다 인플레 우려까지 나오는 상황이라 섣불리 쓰기 어려운 카드다.

시장이	시장/NNG+이/JKS
바라는	바라/VV+는/ETM
3차	3/SN+차/NNB
양적완화	양/NNG+적/XSN+완화/NNG
조처	조처/NNG
또한	또한/MAG
2009년,	2009/SN+년/NNB+,/SP
2010년	2010/SN+년/NNB
등	등/NNB
두차례나	두/MMN+차례/NNG+나/JX
취한데다	취하/VV+ㄴ/ETM+데/NNB+다/JX
인플레	인플레/NNG
우려까지	우려/NNG+까지/JX
나오는	나오/VV+는/ETM
상황이라	상황/NNG+이/VCP+라/EC
섣불리	섣불리/MAG
쓰기	쓰/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
카드다.	카드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.125.5.1
이와 관련해 <블룸버그> 통신은 한국시각으로 22일 새벽 연방공개시장위원회(FOMC) 회의를 끝낸 뒤 발표될 경기부양 프로그램은 ‘오퍼레이션 트위스트’정책이 될 것이라고 20일 보도했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
<블룸버그>	</SS+블룸버그/NNP+>/SS
통신은	통신/NNG+은/JX
한국시각으로	한국/NNP+시각/NNG+으로/JKB
22일	22/SN+일/NNB
새벽	새벽/NNG
연방공개시장위원회(FOMC)	연방공개시장위원회/NNP+(/SS+FOMC/SL+)/SS
회의를	회의/NNG+를/JKO
끝낸	끝내/VV+ㄴ/ETM
뒤	뒤/NNG
발표될	발표/NNG+되/XSV+ㄹ/ETM
경기부양	경기/NNG+부양/NNG
프로그램은	프로그램/NNG+은/JX
