# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.411
metadata : {}


# id : NWRW1800000048.411.1.1
검찰, 홍준표 측근 집 압수수색…‘윤씨 회유’ 증거확보 나서

검찰,	검찰/NNG+,/SP
홍준표	홍준표/NNP
측근	측근/NNG
집	집/NNG
압수수색…‘윤씨	압수/NNG+수색/NNG+…/SE+‘/SS+윤/NNP+씨/NNB
회유’	회유/NNG+’/SS
증거확보	증거/NNG+확보/NNG
나서	나서/VV+어/EF


# id : NWRW1800000048.411.2.1
피의자 이완구 14일 소환조사

피의자	피의자/NNG
이완구	이완구/NNP
14일	14/SN+일/NNB
소환조사	소환/NNG+조사/NNG


# id : NWRW1800000048.411.3.1
자원비리 석유공사 압수수색

자원비리	자원/NNG+비리/NNG
석유공사	석유공사/NNP
압수수색	압수/NNG+수색/NNG


# id : NWRW1800000048.411.4.1
‘성완종 리스트’ 특별수사팀(팀장 문무일 검사장)이 12일 중요 참고인인 윤아무개 전 경남기업 부사장 회유 의혹 등을 확인하기 위해 홍준표(61) 경남지사의 측근 집과 사무실을 압수수색했다.

‘성완종	‘/SS+성완종/NNP
리스트’	리스트/NNG+’/SS
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
문무일	문무일/NNP
검사장)이	검사장/NNG+)/SS+이/JKS
12일	12/SN+일/NNB
중요	중요/NNG
참고인인	참고인/NNG+이/VCP+ㄴ/ETM
윤아무개	윤/NNP+아무개/NP
전	전/MMD
경남기업	경남기업/NNP
부사장	부사장/NNG
회유	회유/NNG
의혹	의혹/NNG
등을	등/NNB+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
홍준표(61)	홍준표/NNP+(/SS+61/SN+)/SS
경남지사의	경남/NNP+지사/NNG+의/JKG
측근	측근/NNG
집과	집/NNG+과/JC
사무실을	사무실/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.411.4.2
또 검찰은 불법 정치자금 수수 의혹을 받고 있는 이완구(65) 전 국무총리를 14일 오전 10시 피의자로 소환 조사한다고 밝혔다.

또	또/MAG
검찰은	검찰/NNG+은/JX
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
수수	수수/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
이완구(65)	이완구/NNP+(/SS+65/SN+)/SS
전	전/MMD
국무총리를	국무총리/NNG+를/JKO
14일	14/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
피의자로	피의자/NNG+로/JKB
소환	소환/NNG
조사한다고	조사/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.411.5.1
수사팀은 이날 홍 지사의 최측근으로 꼽히는 나아무개 경남도청 서울본부장과 강아무개 전 비서관의 집과 사무실에 검사와 수사관들을 보내 2011년 당 대표 경선 당시 홍 지사의 일정표와 경선자금 사용내역 등이 담긴 자료, 통장과 휴대전화, 다이어리 등을 확보했다.

수사팀은	수사/NNG+팀/NNG+은/JX
이날	이날/NNG
홍	홍/NNP
지사의	지사/NNG+의/JKG
최측근으로	최/XPN+측근/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
나아무개	나/NNP+아무개/NP
경남도청	경남도청/NNP
서울본부장과	서울/NNP+본부장/NNG+과/JC
강아무개	강/NNP+아무개/NP
전	전/MMD
비서관의	비서관/NNG+의/JKG
집과	집/NNG+과/JC
사무실에	사무실/NNG+에/JKB
검사와	검사/NNG+와/JC
수사관들을	수사관/NNG+들/XSN+을/JKO
보내	보내/VV+어/EC
2011년	2011/SN+년/NNB
당	당/NNG
대표	대표/NNG
경선	경선/NNG
당시	당시/NNG
일정표와	일정표/NNG+와/JC
경선자금	경선/NNG+자금/NNG
사용내역	사용/NNG+내역/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
자료,	자료/NNG+,/SP
통장과	통장/NNG+과/JC
휴대전화,	휴대/NNG+전화/NNG+,/SP
다이어리	다이어리/NNG
등을	등/NNB+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.411.6.1
검찰 관계자는 “홍 지사 조사 이전에 확보한 이들의 진술 부분을 검증하고, 일부 관련자들의 중요 참고인(윤 전 부사장)에 대한 회유 의혹을 확인하기 위해서”라고 압수수색 이유를 밝혔다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“홍	“/SS+홍/NNP
지사	지사/NNG
조사	조사/NNG
이전에	이전/NNG+에/JKB
확보한	확보/NNG+하/XSV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
진술	진술/NNG
부분을	부분/NNG+을/JKO
검증하고,	검증/NNG+하/XSV+고/EC+,/SP
일부	일부/NNG
관련자들의	관련자/NNG+들/XSN+의/JKG
중요	중요/NNG
참고인(윤	참고인/NNG+(/SS+윤/NNP
전	전/MMD
부사장)에	부사장/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
회유	회유/NNG
의혹을	의혹/NNG+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해서”라고	위하/VV+아서/EC+”/SS+라고/JKQ
압수수색	압수/NNG+수색/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.411.6.2
홍 지사와 가까운 김해수 전 청와대 정무비서관, 엄아무개씨가 윤 전 부사장을 불러내거나 전화를 걸어 회유를 시도했다는 의혹과 관련한 증거 확보 차원에서 압수수색을 했다는 설명이다.

홍	홍/NNP
지사와	지사/NNG+와/JKB
