# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.196
metadata : {}


# id : NWRW1800000045.196.1.1
외모-학력 이어 직장 따지는 소개팅 앱

외모-학력	외모/NNG+-/SO+학력/NNG
이어	잇/VV+어/EC
직장	직장/NNG
따지는	따지/VV+는/ETM
소개팅	소개팅/NNG
앱	앱/NNG


# id : NWRW1800000045.196.2.1
삼성-현대 등 대기업 직원 대상… 회사 e메일로 받은 인증번호로 가입 “만남까지 스펙 만능주의” 비판… “신뢰성 높이려는 필터링” 반론도

삼성-현대	삼성/NNP+-/SO+현대/NNP
등	등/NNB
대기업	대/XPN+기업/NNG
직원	직원/NNG
대상…	대상/NNG+…/SE
회사	회사/NNG
e메일로	e/SL+메일/NNG+로/JKB
받은	받/VV+은/ETM
인증번호로	인증/NNG+번호/NNG+로/JKB
가입	가입/NNG
“만남까지	“/SS+만남/NNG+까지/JX
스펙	스펙/NNG
만능주의”	만능주의/NNG+”/SS
비판…	비판/NNG+…/SE
“신뢰성	“/SS+신뢰/NNG+성/XSN
높이려는	높이/VV+려는/ETM
필터링”	필터링/NNG+”/SS
반론도	반론/NNG+도/JX


# id : NWRW1800000045.196.3.1
“메이저 기업에 다니시나요?

“메이저	“/SS+메이저/NNG
기업에	기업/NNG+에/JKB
다니시나요?	다니/VV+시/EP+나/EF+요/JX+?/SF


# id : NWRW1800000045.196.3.2
다양한 메이저 싱글 남녀와 만나보세요.”

다양한	다양/NNG+하/XSA+ㄴ/ETM
메이저	메이저/NNG
싱글	싱글/NNG
남녀와	남녀/NNG+와/JKB
만나보세요.”	만나/VV+아/EC+보/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000045.196.4.1
개인의 외모, 출신 대학 등을 어필해 이성과의 만남을 주선하는 일명 ‘소개팅 애플리케이션(앱)’이 활성화되고 있는 가운데 최근 이 같은 구호를 앞세워 주요 대기업 회사원을 대상으로 하는 앱이 등장해 화제다.

개인의	개인/NNG+의/JKG
외모,	외모/NNG+,/SP
출신	출신/NNG
대학	대학/NNG
등을	등/NNB+을/JKO
어필해	어필/NNG+하/XSV+아/EC
이성과의	이성/NNG+과/JKB+의/JKG
만남을	만남/NNG+을/JKO
주선하는	주선/NNG+하/XSV+는/ETM
일명	일명/NNG
‘소개팅	‘/SS+소개팅/NNG
애플리케이션(앱)’이	애플리케이션/NNG+(/SS+앱/NNG+)/SS+’/SS+이/JKS
활성화되고	활성/NNG+화/XSN+되/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
최근	최근/NNG
이	이/NP
같은	같/VA+은/ETM
구호를	구호/NNG+를/JKO
앞세워	앞세우/VV+어/EC
주요	주요/NNG
대기업	대/XPN+기업/NNG
회사원을	회사원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
하는	하/VV+는/ETM
앱이	앱/NNG+이/JKS
등장해	등장/NNG+하/XSV+아/EC
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.196.4.2
지난달 출시된 앱 ‘메이저’가 그 주인공.

지난달	지난달/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
앱	앱/NNG
‘메이저’가	‘/SS+메이저/NNP+’/SS+가/JKS
그	그/MMD
주인공.	주인공/NNG+./SF


# id : NWRW1800000045.196.4.3
외모, 학력도 모자라 상대방의 직장까지 보는 ‘스펙 만능주의’ 시대가 낳은 어두운 그림자라는 지적과 익명이 가득한 온라인 공간에서 좀 더 정밀한 정보를 얻기 위한 욕구가 표출된 것이라는 등 엇갈린 분석이 나온다.

외모,	외모/NNG+,/SP
학력도	학력/NNG+도/JX
모자라	모자라/VV+아/EC
상대방의	상대방/NNG+의/JKG
직장까지	직장/NNG+까지/JX
보는	보/VV+는/ETM
‘스펙	‘/SS+스펙/NNG
만능주의’	만능주의/NNG+’/SS
시대가	시대/NNG+가/JKS
낳은	낳/VV+은/ETM
어두운	어둡/VA+ㄴ/ETM
그림자라는	그림자/NNG+이/VCP+라는/ETM
지적과	지적/NNG+과/JC
익명이	익명/NNG+이/JKS
가득한	가득/MAG+하/XSA+ㄴ/ETM
온라인	온라인/NNG
공간에서	공간/NNG+에서/JKB
좀	좀/MAG
더	더/MAG
정밀한	정밀/NNG+하/XSA+ㄴ/ETM
정보를	정보/NNG+를/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
욕구가	욕구/NNG+가/JKS
표출된	표출/NNG+되/XSV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
등	등/NNB
엇갈린	엇갈리/VV+ㄴ/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.196.5.1
지난달 5일 ‘페이즐리’가 출시한 앱 메이저는 현재 앱 리스트에 등록된 180여 개 업체의 직원만 가입할 수 있다.

지난달	지난달/NNG
5일	5/SN+일/NNB
‘페이즐리’가	‘/SS+페이즐리/NNP+’/SS+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
앱	앱/NNG
메이저는	메이저/NNP+는/JX
현재	현재/MAG
리스트에	리스트/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
180여	180/SN+여/XSN
개	개/NNB
업체의	업체/NNG+의/JKG
직원만	직원/NNG+만/JX
가입할	가입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.196.5.2
앱에서 제공하는 명단에 있는 본인의 회사를 선택한 뒤 회사의 e메일 계정으로 전송된 인증번호를 입력해야 가입이 가능하다.

앱에서	앱/NNG+에서/JKB
제공하는	제공/NNG+하/XSV+는/ETM
명단에	명단/NNG+에/JKB
있는	있/VA+는/ETM
본인의	본인/NNG+의/JKG
회사를	회사/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
회사의	회사/NNG+의/JKG
e메일	e/SL+메일/NNG
계정으로	계정/NNG+으로/JKB
전송된	전송/NNG+되/XSV+ㄴ/ETM
인증번호를	인증/NNG+번호/NNG+를/JKO
입력해야	입력/NNG+하/XSV+아야/EC
가입이	가입/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.196.5.3
삼성계열(삼성, 한화 등은 계열사별 기본 e메일 주소가 같아 계열로 묶임), 현대자동차, 대한항공 등 업종별 주요 업체는 물론이고 공무원, 초중고교 교사가 포함돼 있는 것도 눈길을 끈다.

삼성계열(삼성,	삼성/NNP+계열/NNG+(/SS+삼성/NNP+,/SP
한화	한화/NNP
등은	등/NNB+은/JX
계열사별	계열사/NNG+별/XSN
기본	기본/NNG
e메일	e/SL+메일/NNG
주소가	주소/NNG+가/JKS
