# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.34
metadata : {}


# id : NWRW1800000025.34.1.1
모비스 “하승진 없는 KCC쯤이야”

모비스	모비스/NNP
“하승진	“/SS+하승진/NNP
없는	없/VA+는/ETM
KCC쯤이야”	KCC/SL+쯤/XSN+이야/JX+”/SS


# id : NWRW1800000025.34.2.1
하승진이 없는 KCC는 선두 모비스의 적수가 되지 못했다.

하승진이	하승진/NNP+이/JKS
없는	없/VA+는/ETM
KCC는	KCC/SL+는/JX
선두	선두/NNG
모비스의	모비스/NNP+의/JKG
적수가	적수/NNG+가/JKC
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.34.2.2
모비스가 7일 울산 홈경기에서 KCC에 22점 차 완승을 거두고 선두를 굳게 지켰다.

모비스가	모비스/NNP+가/JKS
7일	7/SN+일/NNB
울산	울산/NNP
홈경기에서	홈경기/NNG+에서/JKB
KCC에	KCC/SL+에/JKB
22점	22/SN+점/NNB
차	차/NNG
완승을	완승/NNG+을/JKO
거두고	거두/VV+고/EC
선두를	선두/NNG+를/JKO
굳게	굳/VA+게/EC
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.34.2.3
0.5경기 차로 선두 다툼을 벌이던 1, 2위끼리의 맞대결이어서 관심을 모았지만 모비스가 한 차례의 리드도 허용하지 않고 82-60으로 승리하며 싱겁게 끝났다.

0.5경기	0/SN+./SP+5/SN+경기/NNG
차로	차/NNG+로/JKB
선두	선두/NNG
다툼을	다툼/NNG+을/JKO
벌이던	벌이/VV+던/ETM
1,	1/SN+,/SP
2위끼리의	2/SN+위/NNB+끼리/XSN+의/JKG
맞대결이어서	맞대결/NNG+이/VCP+어서/EC
관심을	관심/NNG+을/JKO
모았지만	모으/VV+았/EP+지만/EC
모비스가	모비스/NNP+가/JKS
한	한/MMN
차례의	차례/NNG+의/JKG
리드도	리드/NNG+도/JX
허용하지	허용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
82-60으로	82/SN+-/SO+60/SN+으로/JKB
승리하며	승리/NNG+하/XSV+며/EC
싱겁게	싱겁/VA+게/EC
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.34.3.1
KCC는 올스타전에서 종아리 부상을 당한 하승진 없이 치른 첫 경기였던 5일 오리온스전에서는 이겼지만 선두 모비스는 최하위 오리온스와는 달랐다.

KCC는	KCC/SL+는/JX
올스타전에서	올스타전/NNG+에서/JKB
종아리	종아리/NNG
부상을	부상/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
하승진	하승진/NNP
없이	없이/MAG
치른	치르/VV+ㄴ/ETM
첫	첫/MMN
경기였던	경기/NNG+이/VCP+었/EP+던/ETM
5일	5/SN+일/NNB
오리온스전에서는	오리온스전/NNG+에서/JKB+는/JX
이겼지만	이기/VV+었/EP+지만/EC
선두	선두/NNG
모비스는	모비스/NNP+는/JX
최하위	최/XPN+하위/NNG
