# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.32
metadata : {}


# id : NWRW1800000032.32.1.1
7년만에 ‘다 바뀐’ SM7 /‘독주’ 그랜저에 도전장

7년만에	7/SN+년/NNB+만/NNB+에/JKB
‘다	‘/SS+다/MAG
바뀐’	바뀌/VV+ㄴ/ETM+’/SS
SM7	SM/SL+7/SN
/‘독주’	//SP+‘/SS+독주/NNG+’/SS
그랜저에	그랜저/NNP+에/JKB
도전장	도전장/NNG


# id : NWRW1800000032.32.2.1
닛산 VQ엔진 장착 내달 중순부터 판매

닛산	닛산/NNP
VQ엔진	VQ엔진/NNP
장착	장착/NNG
내달	내달/NNG
중순부터	중순/NNG+부터/JX
판매	판매/NNG


# id : NWRW1800000032.32.3.1
르노삼성자동차의 준대형 세단 ‘에스엠(SM)7’이 출시 7년 만에 ‘올뉴 에스엠7’(사진)로 다시 태어나 현대자동차의 신형 그랜저에 도전장을 던진다.

르노삼성자동차의	르노삼성자동차/NNP+의/JKG
준대형	준/XPN+대형/NNG
세단	세단/NNG
‘에스엠(SM)7’이	‘/SS+에스엠/NNP+(/SS+SM/SL+)/SS+7/SN+’/SS+이/JKS
출시	출시/NNG
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
‘올뉴	‘/SS+올뉴/NNP
에스엠7’(사진)로	에스엠7/NNP+’/SS+(/SS+사진/NNG+)/SS+로/JKB
다시	다시/MAG
태어나	태어나/VV+아/EC
현대자동차의	현대자동차/NNP+의/JKG
신형	신형/NNG
그랜저에	그랜저/NNP+에/JKB
도전장을	도전장/NNG+을/JKO
던진다.	던지/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.32.3.2
올해 초 출시된 신형 그랜저 독주가 계속되는 가운데, 새옷으로 갈아입은 에스엠7이 준대형차 시장의 지각변동을 몰고 올지 관심이 쏠리고 있다.

올해	올해/NNG
초	초/NNB
출시된	출시/NNG+되/XSV+ㄴ/ETM
신형	신형/NNG
그랜저	그랜저/NNP
독주가	독주/NNG+가/JKS
계속되는	계속/NNG+되/XSV+는/ETM
가운데,	가운데/NNG+,/SP
새옷으로	새/MMA+옷/NNG+으로/JKB
갈아입은	갈아입/VV+은/ETM
에스엠7이	에스엠7/NNP+이/JKS
준대형차	준/XPN+대형차/NNG
시장의	시장/NNG+의/JKG
지각변동을	지각/NNG+변동/NNG+을/JKO
몰고	몰/VV+고/EC
올지	오/VX+ㄹ지/EF
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.32.4.1
르노삼성차는 지난 15일 경남 남해 힐튼 리조트에서 ‘올뉴 에스엠7’ 발표회를 열어, 8월 중순부터 신차 판매를 시작한다고 밝혔다.

르노삼성차는	르노삼성차/NNP+는/JX
지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
경남	경남/NNP
남해	남해/NNP
힐튼	힐튼/NNP
리조트에서	리조트/NNG+에서/JKB
‘올뉴	‘/SS+올뉴/NNP
에스엠7’	에스엠7/NNP+’/SS
발표회를	발표회/NNG+를/JKO
열어,	열/VV+어/EC+,/SP
8월	8/SN+월/NNB
중순부터	중순/NNG+부터/JX
신차	신차/NNG
판매를	판매/NNG+를/JKO
시작한다고	시작/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.32.4.2
새로 선보이는 에스엠7은 미국 자동차전문 조사기관 ‘워즈’가 14년 연속 세계 10대 엔진으로 선정한 닛산의 브이큐(VQ)엔진을 탑재했고 2.5ℓ급과 3.5ℓ급에 모두 6단 수동겸용 자동변속기가 장착됐다.

새로	새로/MAG
선보이는	선보이/VV+는/ETM
에스엠7은	에스엠7/NNP+은/JX
미국	미국/NNP
자동차전문	자동차/NNG+전문/NNG
조사기관	조사/NNG+기관/NNG
‘워즈’가	‘/SS+워즈/NNP+’/SS+가/JKS
14년	14/SN+년/NNB
연속	연속/NNG
세계	세계/NNG
10대	10/SN+대/NNG
엔진으로	엔진/NNG+으로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
닛산의	닛산/NNP+의/JKG
브이큐(VQ)엔진을	브이큐/NNP+(/SS+VQ/SL+)/SS+엔진/NNG+을/JKO
탑재했고	탑재/NNG+하/XSV+았/EP+고/EC
2.5ℓ급과	2/SN+./SP+5/SN+ℓ/SW+급/NNG+과/JC
3.5ℓ급에	3/SN+./SP+5/SN+ℓ/SW+급/NNG+에/JKB
모두	모두/MAG
6단	6/SN+단/NNB
수동겸용	수동/NNG+겸용/NNG
자동변속기가	자동/NNG+변속기/NNG+가/JKS
장착됐다.	장착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.32.4.3
최대출력(190마력)은 기존 에스엠7보다 15%가량 향상됐고, 연비도 11㎞/ℓ로 종전(9.8㎞/ℓ)보다 개선됐다.

최대출력(190마력)은	최대/NNG+출력/NNG+(/SS+190/SN+마력/NNB+)/SS+은/JX
기존	기존/NNG
에스엠7보다	에스엠7/NNP+보다/JKB
15%가량	15/SN+%/SW+가량/XSN
향상됐고,	향상/NNG+되/XSV+었/EP+고/EC+,/SP
연비도	연비/NNG+도/JX
11㎞/ℓ로	11/SN+㎞/SW+//SP+ℓ/SW+로/JKB
