# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.249
metadata : {}


# id : NWRW1800000024.249.1.1
“정부 덕 본 자동차업계가 투자 나서야”

“정부	“/SS+정부/NNG
덕	덕/NNG
본	보/VV+ㄴ/ETM
자동차업계가	자동차업/NNG+계/XSN+가/JKS
투자	투자/NNG
나서야”	나서/VV+어야/EC+”/SS


# id : NWRW1800000024.249.2.1
윤증현 기획재정부 장관이 기업들에 적극적인 투자에 나서줄 것을 촉구했다.

윤증현	윤증현/NNP
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
기업들에	기업/NNG+들/XSN+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
투자에	투자/NNG+에/JKB
나서줄	나서/VV+어/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.249.3.1
윤 장관은 15일 오전 정부과천청사에서 열린 위기관리대책회의에 참석해 “정부가 기업 투자를 확대하기 위해 연구개발(R&D) 지원을 강화하는 등 정부가 할 수 있는 일을 거의 다 했다”며 “정부의 적극적인 노력을 반영해 기업들이 적극적인 투자에 나서줘야 한다”고 말했다.

윤	윤/NNP
장관은	장관/NNG+은/JX
15일	15/SN+일/NNB
오전	오전/NNG
정부과천청사에서	정부과천청사/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
위기관리대책회의에	위기관리/NNG+대책/NNG+회의/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
“정부가	“/SS+정부/NNG+가/JKS
기업	기업/NNG
투자를	투자/NNG+를/JKO
확대하기	확대/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
지원을	지원/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
정부가	정부/NNG+가/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일을	일/NNG+을/JKO
거의	거의/MAG
다	다/MAG
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“정부의	“/SS+정부/NNG+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
노력을	노력/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
기업들이	기업/NNG+들/XSN+이/JKS
투자에	투자/NNG+에/JKB
나서줘야	나서/VV+어/EC+주/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.249.3.2
그는 또 “상반기까지는 재정 조기집행으로 버텼지만 하반기 이후까지 버티는 데 어려움이 많아 민간의 설비투자 확대로 경기를 살려야 한다”고 말했다.

그는	그/NP+는/JX
또	또/MAG
“상반기까지는	“/SS+상반기/NNG+까지/JX+는/JX
재정	재정/NNG
