# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.336
metadata : {}


# id : NWRW1800000038.336.1.1
[北 3차 핵실험] 北 "설계값과 완전히 일치"… 국정원 "핵탄두 소형화는 과장광고"

[北	[/SS+北/SH
3차	3/SN+차/NNB
핵실험]	핵/NNG+실험/NNG+]/SS
北	北/SH
"설계값과	"/SS+설계/NNG+값/NNG+과/JKB
완전히	완전히/MAG
일치"…	일치/NNG+"/SS+…/SE
국정원	국정원/NNG
"핵탄두	"/SS+핵탄두/NNG
소형화는	소형/NNG+화/XSN+는/JX
과장광고"	과장/NNG+광고/NNG+"/SS


# id : NWRW1800000038.336.2.1
北, 핵탄두 소형화·경량화 성공했나

北,	北/SH+,/SP
핵탄두	핵탄두/NNG
소형화·경량화	소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN
성공했나	성공/NNG+하/XSV+았/EP+나/EF


# id : NWRW1800000038.336.3.1
북한은 12일 핵실험 직후 조선중앙통신 보도를 통해 "(3차 핵실험은) 이전과 달리 폭발력이 크면서도 소형화, 경량화된 원자탄을 사용하여 높은 수준에서 안전하고 완벽하게 진행됐다"며 "폭발 위력 등 모든 측정 결과들이 설계값과 완전히 일치됨으로써"라고 했다.

북한은	북한/NNP+은/JX
12일	12/SN+일/NNB
핵실험	핵/NNG+실험/NNG
직후	직후/NNG
조선중앙통신	조선중앙통신/NNP
보도를	보도/NNG+를/JKO
통해	통하/VV+아/EC
"(3차	"/SS+(/SS+3/SN+차/NNB
핵실험은)	핵/NNG+실험/NNG+은/JX+)/SS
이전과	이전/NNG+과/JKB
달리	달리/MAG
폭발력이	폭발력/NNG+이/JKS
크면서도	크/VA+면서/EC+도/JX
소형화,	소형/NNG+화/XSN+,/SP
경량화된	경량/NNG+화/XSN+되/XSV+ㄴ/ETM
원자탄을	원자탄/NNG+을/JKO
사용하여	사용/NNG+하/XSV+아/EC
높은	높/VA+은/ETM
수준에서	수준/NNG+에서/JKB
안전하고	안전/NNG+하/XSA+고/EC
완벽하게	완벽/NNG+하/XSA+게/EC
진행됐다"며	진행/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"폭발	"/SS+폭발/NNG
위력	위력/NNG
등	등/NNB
모든	모든/MMN
측정	측정/NNG
결과들이	결과/NNG+들/XSN+이/JKS
설계값과	설계/NNG+값/NNG+과/JKB
완전히	완전히/MAG
일치됨으로써"라고	일치/NNG+되/XSV+ㅁ/ETN+으로써/JKB+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.3.2
원세훈 국정원장은 이날 국회에서 이 같은 북한 주장을 '과장광고'라고 했다.

원세훈	원세훈/NNP
국정원장은	국정원장/NNG+은/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
이	이/NP
같은	같/VA+은/ETM
북한	북한/NNP
주장을	주장/NNG+을/JKO
'과장광고'라고	'/SS+과장/NNG+광고/NNG+'/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.336.3.3
하지만 이런 추세대로 가면 4~5년 내에 무기화에 성공할 가능성이 크다는 게 전문가들의 지적이다.

하지만	하지만/MAJ
이런	이런/MMD
추세대로	추세/NNG+대로/JX
가면	가/VV+면/EC
4~5년	4/SN+~/SO+5/SN+년/NNB
내에	내/NNB+에/JKB
무기화에	무기/NNG+화/XSN+에/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.336.4.1
◇"국정원, 소형화 단계 아직 이르지 못해"

◇"국정원,	◇/SW+"/SS+국정원/NNG+,/SP
소형화	소형/NNG+화/XSN
단계	단계/NNG
아직	아직/MAG
이르지	이르/VV+지/EC
못해"	못하/VX+아/EF+"/SS


# id : NWRW1800000038.336.5.1
핵무기 소형화·경량화의 기준은 직경 88㎝, 무게 1t이다.

핵무기	핵무기/NNG
소형화·경량화의	소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN+의/JKG
기준은	기준/NNG+은/JX
직경	직경/NNG
88㎝,	88/SN+㎝/SW+,/SP
무게	무게/NNG
1t이다.	1/SN+t/SW+이/VCP+다/EF+./SF


# id : NWRW1800000038.336.5.2
이 경우 북한이 보유한 스커드나 노동 미사일에 실을 수 있을 것으로 평가하고 있다.

이	이/MMD
경우	경우/NNG
북한이	북한/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
스커드나	스커드/NNG+나/JC
노동	노동/NNG
미사일에	미사일/NNG+에/JKB
실을	싣/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
평가하고	평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.336.5.3
한·미는 북한이 보유한 핵무기는 2~3t 수준으로, 미사일에 싣지 못하는 수준으로 보고 있다.

한·미는	한·미/NNP+는/JX
북한이	북한/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
핵무기는	핵무기/NNG+는/JX
2~3t	2/SN+~/SO+3/SN+t/SW
수준으로,	수준/NNG+으로/JKB+,/SP
미사일에	미사일/NNG+에/JKB
싣지	싣/VV+지/EC
못하는	못하/VX+는/ETM
수준으로	수준/NNG+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.336.6.1
북한 주장대로 소형화·경량화에 성공했는지 여부는 실제 핵무기를 눈으로 관측하기 전까지는 불가능하다.

북한	북한/NNP
주장대로	주장/NNG+대로/JX
소형화·경량화에	소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN+에/JKB
성공했는지	성공/NNG+하/XSV+았/EP+는지/EC
여부는	여부/NNG+는/JX
실제	실제/NNG
핵무기를	핵무기/NNG+를/JKO
눈으로	눈/NNG+으로/JKB
관측하기	관측/NNG+하/XSV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.336.6.2
원세훈 국정원장은 이날 국회 정보위에서 "(소형화·경량화) 단계에 이르지 못한 것으로 파악하고 있다. 노력하고 있는 중으로 보면 된다"고 말했다고 의원들이 전했다.

원세훈	원세훈/NNP
국정원장은	국정원장/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
정보위에서	정보위/NNG+에서/JKB
"(소형화·경량화)	"/SS+(/SS+소형/NNG+화/XSN+·/SP+경량/NNG+화/XSN+)/SS
단계에	단계/NNG+에/JKB
이르지	이르/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF
노력하고	노력/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
