# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.308
metadata : {}


# id : NWRW1800000056.308.1.1
[댓글중계] 촛불 염원 업고 여정에 오른 ‘문재인 호’

[댓글중계]	[/SS+댓글/NNG+중계/NNG+]/SS
촛불	촛불/NNG
염원	염원/NNG
업고	업/VV+고/EC
여정에	여정/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
‘문재인	‘/SS+문재인/NNP
호’	호/NA+’/SS


# id : NWRW1800000056.308.2.1
“참여정부를 뛰어넘어 완전히 새로운 대한민국, 나라다운 나라로 확장해야 합니다.”

“참여정부를	“/SS+참여/NNG+정부/NNG+를/JKO
뛰어넘어	뛰어넘/VV+어/EC
완전히	완전히/MAG
새로운	새롭/VA+ㄴ/ETM
대한민국,	대한민국/NNP+,/SP
나라다운	나라/NNG+답/XSA+ㄴ/ETM
나라로	나라/NNG+로/JKB
확장해야	확장/NNG+하/XSV+아야/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000056.308.2.2
문재인 대통령의 노무현 전 대통령 8주기 추도식 인사말 중 한 대목이다.

문재인	문재인/NNP
대통령의	대통령/NNG+의/JKG
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
8주기	8/SN+주기/NNB
추도식	추도식/NNG
인사말	인사말/NNG
중	중/NNB
한	한/MMN
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.308.2.3
‘파격’으로 표현되는 정부 인선부터 검찰개혁을 향한 시동, 당선 후에도 국민과 격 없이 부대끼는 모습까지.

‘파격’으로	‘/SS+파격/NNG+’/SS+으로/JKB
표현되는	표현/NNG+되/XSV+는/ETM
정부	정부/NNG
인선부터	인선/NNG+부터/JX
검찰개혁을	검찰/NNG+개혁/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
시동,	시동/NNG+,/SP
당선	당선/NNG
후에도	후/NNG+에/JKB+도/JX
국민과	국민/NNG+과/JKB
격	격/NNG
없이	없이/MAG
