# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.372
metadata : {}


# id : NWRW1800000022.372.1.1
현실보다 더 생생한 스포츠게임 세계 게임을 하는 순간 국가대표 선수가 된다;실제 선수들의 모습·능력 그대로 반영해 몰입 높여

현실보다	현실/NNG+보다/JKB
더	더/MAG
생생한	생생하/VA+ㄴ/ETM
스포츠게임	스포츠게임/NNG
세계	세계/NNG
게임을	게임/NNG+을/JKO
하는	하/VV+는/ETM
순간	순간/NNG
국가대표	국가/NNG+대표/NNG
선수가	선수/NNG+가/JKC
된다;실제	되/VV+ㄴ다/EF+;/SP+실제/NNG
선수들의	선수/NNG+들/XSN+의/JKG
모습·능력	모습/NNG+·/SP+능력/NNG
그대로	그대로/MAG
반영해	반영/NNG+하/XSV+아/EC
몰입	몰입/NNG
높여	높이/VV+어/EF


# id : NWRW1800000022.372.2.1
영국 프리미어리그에서 뛰는 박지성 선수는 축구 게임 '위닝 일레븐' 마니아로 유명하다.

영국	영국/NNP
프리미어리그에서	프리미어리그/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
박지성	박지성/NNP
선수는	선수/NNG+는/JX
축구	축구/NNG
게임	게임/NNG
'위닝	'/SS+위닝/NNP
일레븐'	일레븐/NNP+'/SS
마니아로	마니아/NNG+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000022.372.2.2
경기가 없는 날, TV 앞에 앉아서 게임 컨트롤러를 손에 쥔다.

경기가	경기/NNG+가/JKS
없는	없/VA+는/ETM
날,	날/NNG+,/SP
TV	TV/SL
앞에	앞/NNG+에/JKB
앉아서	앉/VV+아서/EC
게임	게임/NNG
컨트롤러를	컨트롤러/NNG+를/JKO
손에	손/NNG+에/JKB
쥔다.	쥐/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.372.2.3
단순한 시간 때우기가 아니다.

단순한	단순/NNG+하/XSA+ㄴ/ETM
시간	시간/NNG
때우기가	때우/VV+기/ETN+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.372.2.4
인공지능 선수들이 전술에 따라 움직이는 모습을 보면서 실제 경기의 흐름을 머릿속에 그려본다는 것이다.

인공지능	인공/NNG+지능/NNG
선수들이	선수/NNG+들/XSN+이/JKS
전술에	전술/NNG+에/JKB
따라	따르/VV+아/EC
움직이는	움직이/VV+는/ETM
모습을	모습/NNG+을/JKO
보면서	보/VV+면서/EC
실제	실제/NNG
경기의	경기/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
머릿속에	머릿속/NNG+에/JKB
그려본다는	그리/VV+어/EC+보/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.372.3.1
현실감 넘치는 스포츠 게임이 인기를 끌고 있다.

현실감	현실감/NNG
넘치는	넘치/VV+는/ETM
스포츠	스포츠/NNG
게임이	게임/NNG+이/JKS
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.3.2
실제와 같은 모습의 선수가 등장하는 것은 이제 기본.

실제와	실제/NNG+와/JKB
같은	같/VA+은/ETM
모습의	모습/NNG+의/JKG
선수가	선수/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
이제	이제/MAG
기본.	기본/NNG+./SF


# id : NWRW1800000022.372.3.3
내가 움직이면 화면 속 선수가 그대로 따라 하는 체감형 스포츠 게임도 등장했다.

내가	내/NP+가/JKS
움직이면	움직이/VV+면/EC
화면	화면/NNG
속	속/NNG
선수가	선수/NNG+가/JKS
그대로	그대로/MAG
따라	따르/VV+아/EC
하는	하/VV+는/ETM
체감형	체감/NNG+형/XSN
스포츠	스포츠/NNG
게임도	게임/NNG+도/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.372.3.4
감독이 돼서 전술을 짜거나 구단을 운영하는 경영 체험 스포츠 게임도 있다.

감독이	감독/NNG+이/JKC
돼서	되/VV+어서/EC
전술을	전술/NNG+을/JKO
짜거나	짜/VV+거나/EC
구단을	구단/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
경영	경영/NNG
체험	체험/NNG
스포츠	스포츠/NNG
게임도	게임/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.372.4.1
스포츠 게임은 스포츠 마니아들의 지지를 등에 업고 높은 판매 실적을 올리고 있다.

스포츠	스포츠/NNG
게임은	게임/NNG+은/JX
마니아들의	마니아/NNG+들/XSN+의/JKG
지지를	지지/NNG+를/JKO
등에	등/NNG+에/JKB
업고	업/VV+고/EC
높은	높/VA+은/ETM
판매	판매/NNG
실적을	실적/NNG+을/JKO
올리고	올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.372.4.2
미국 일렉트로닉아츠(EA)의 신작 축구 게임인 'FIFA 10'은 이달 초 유럽에서 판매를 시작, 일주일 만에 170만장이 판매되는 신기록을 세웠다.

미국	미국/NNP
일렉트로닉아츠(EA)의	일렉트로닉아츠/NNP+(/SS+EA/SL+)/SS+의/JKG
신작	신작/NNG
축구	축구/NNG
게임인	게임/NNG+이/VCP+ㄴ/ETM
'FIFA	'/SS+FIFA/SL
10'은	10/SN+'/SS+은/JX
이달	이달/NNG
초	초/NNB
유럽에서	유럽/NNP+에서/JKB
판매를	판매/NNG+를/JKO
시작,	시작/NNG+,/SP
일주일	일주일/NNG
만에	만/NNB+에/JKB
170만장이	170/SN+만/NR+장/NNB+이/JKS
판매되는	판매/NNG+되/XSV+는/ETM
