# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.374
metadata : {}


# id : NWRW1800000042.374.1.1
[NEWS&VIEW] 경제 살리기 예산… 내년 20兆(2009년 글로벌 금융위기 이후 최대폭) 더 푼다

[NEWS&VIEW]	[/SS+NEWS/SL+&/SW+VIEW/SL+]/SS
경제	경제/NNG
살리기	살리/VV+기/ETN
예산…	예산/NNG+…/SE
내년	내년/NNG
20兆(2009년	20/SN+兆/SH+(/SS+2009/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
최대폭)	최대/NNG+폭/NNG+)/SS
더	더/MAG
푼다	풀/VV+ㄴ다/EF


# id : NWRW1800000042.374.2.1
당초 계획보다 8兆 더 늘려 376兆, 복지 115兆… 비중 30% 첫 돌파

당초	당초/NNG
계획보다	계획/NNG+보다/JKB
8兆	8/SN+兆/SH
더	더/MAG
늘려	늘리/VV+어/EC
376兆,	376/SN+兆/SH+,/SP
복지	복지/NNG
115兆…	115/SN+兆/SH+…/SE
비중	비중/NNG
30%	30/SN+%/SW
첫	첫/MMN
돌파	돌파/NNG


# id : NWRW1800000042.374.3.1
정부가 경기 부양을 위해 내년 재정 지출을 올해보다 20조원 늘린 '수퍼 예산'을 편성했다.

정부가	정부/NNG+가/JKS
경기	경기/NNG
부양을	부양/NNG+을/JKO
위해	위하/VV+아/EC
내년	내년/NNG
재정	재정/NNG
지출을	지출/NNG+을/JKO
올해보다	올해/NNG+보다/JKB
20조원	20/SN+조/NR+원/NNB
늘린	늘리/VV+ㄴ/ETM
'수퍼	'/SS+수퍼/NNG
예산'을	예산/NNG+'/SS+을/JKO
편성했다.	편성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.3.2
글로벌 금융 위기(2009년) 이후 가장 큰 폭의 확대 예산안이다.

글로벌	글로벌/NNG
금융	금융/NNG
위기(2009년)	위기/NNG+(/SS+2009/SN+년/NNB+)/SS
이후	이후/NNG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
확대	확대/NNG
예산안이다.	예산안/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.3.3
376조원 규모로 중장기 국가재정운용계획에 따른 당초 계획보다도 8조원이 늘어났다.

376조원	376/SN+조/NR+원/NNB
규모로	규모/NNG+로/JKB
중장기	중장기/NNG
국가재정운용계획에	국가/NNG+재정/NNG+운용/NNG+계획/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
당초	당초/NNG
계획보다도	계획/NNG+보다/JKB+도/JX
8조원이	8/SN+조/NR+원/NNB+이/JKS
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.3.4
통상적인 추가경정예산이 5조~6조원 수준인 것을 감안하면, 1.5회의 추경을 예산안에 미리 집어넣은 것이나 마찬가지다.

통상적인	통상/NNG+적/XSN+이/VCP+ㄴ/ETM
추가경정예산이	추가/NNG+경정/NNG+예산/NNG+이/JKS
5조~6조원	5/SN+조/NR+~/SO+6/SN+조/NR+원/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
것을	것/NNB+을/JKO
감안하면,	감안/NNG+하/XSV+면/EC+,/SP
1.5회의	1/SN+./SP+5/SN+회/NNB+의/JKG
추경을	추경/NNG+을/JKO
예산안에	예산안/NNG+에/JKB
미리	미리/MAG
집어넣은	집어넣/VV+은/ETM
것이나	것/NNB+이나/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.3.5
경기 침체로 기업의 수익과 가계 소득이 줄어들어 세수(稅收)가 감소하는 상황이지만, 적자 재정을 감수하고서라도 경제 회복의 불을 댕기겠다는 뜻이다.

경기	경기/NNG
침체로	침체/NNG+로/JKB
기업의	기업/NNG+의/JKG
수익과	수익/NNG+과/JC
가계	가계/NNG
소득이	소득/NNG+이/JKS
줄어들어	줄어들/VV+어/EC
세수(稅收)가	세수/NNG+(/SS+稅收/SH+)/SS+가/JKS
감소하는	감소/NNG+하/XSV+는/ETM
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
적자	적자/NNG
재정을	재정/NNG+을/JKO
감수하고서라도	감수/NNG+하/XSV+고서/EC+라도/JX
경제	경제/NNG
회복의	회복/NNG+의/JKG
불을	불/NNG+을/JKO
댕기겠다는	댕기/VV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.4.1
정부는 18일 정홍원 국무총리 주재로 국무회의를 열고 이 같은 내년도 예산안을 확정했다.

정부는	정부/NNG+는/JX
18일	18/SN+일/NNB
정홍원	정홍원/NNP
국무총리	국무총리/NNG
주재로	주재/NNG+로/JKB
국무회의를	국무/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
내년도	내년도/NNG
예산안을	예산안/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.4.2
오는 23일 국회에 제출할 예정이다.

오는	오/VV+는/ETM
23일	23/SN+일/NNB
국회에	국회/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.4.3
정 총리는 "내년 예산안은 적극적인 재정 운용을 통해 경제 활성화와 민생 안정에 주력하려는 정부의 확고한 의지가 담겨 있다"고 말했다.

정	정/NNP
총리는	총리/NNG+는/JX
"내년	"/SS+내년/NNG
예산안은	예산안/NNG+은/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
재정	재정/NNG
운용을	운용/NNG+을/JKO
통해	통하/VV+아/EC
경제	경제/NNG
활성화와	활성/NNG+화/XSN+와/JC
민생	민생/NNG
안정에	안정/NNG+에/JKB
주력하려는	주력/NNG+하/XSV+려는/ETM
정부의	정부/NNG+의/JKG
확고한	확고하/VA+ㄴ/ETM
의지가	의지/NNG+가/JKS
담겨	담기/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.374.5.1
정부가 적자를 감수하면서 재정 지출을 늘리기로 한 것은, 경제가 살아나고 소득과 투자가 확대되면 세수도 늘어나 재정 적자를 감당할 수 있다고 보기 때문이다.

정부가	정부/NNG+가/JKS
적자를	적자/NNG+를/JKO
감수하면서	감수/NNG+하/XSV+면서/EC
재정	재정/NNG
지출을	지출/NNG+을/JKO
늘리기로	늘리/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것은,	것/NNB+은/JX+,/SP
경제가	경제/NNG+가/JKS
살아나고	살아나/VV+고/EC
소득과	소득/NNG+과/JC
투자가	투자/NNG+가/JKS
확대되면	확대/NNG+되/XSV+면/EC
세수도	세수/NNG+도/JX
늘어나	늘어나/VV+아/EC
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보기	보/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.5.2
이런 선순환을 만들기 위해 우선은 침체된 민간 부문에 활력을 불어넣는 방법으로 재정 지출을 늘린다는 것이다.

이런	이런/MMD
선순환을	선순환/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
우선은	우선/NNG+은/JX
침체된	침체/NNG+되/XSV+ㄴ/ETM
민간	민간/NNG
부문에	부문/NNG+에/JKB
활력을	활력/NNG+을/JKO
불어넣는	불어넣/VV+는/ETM
방법으로	방법/NNG+으로/JKB
재정	재정/NNG
지출을	지출/NNG+을/JKO
늘린다는	늘리/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000042.374.5.3
또 내년에 이런 선순환을 만들지 못하면, 급속한 고령화로 2017년부터는 경제활동에 참여하는 인구가 줄어들기 때문에 다시는 기회가 없을 수도 있다고 판단하고 있다.

또	또/MAG
내년에	내년/NNG+에/JKB
이런	이런/MMD
선순환을	선순환/NNG+을/JKO
만들지	만들/VV+지/EC
못하면,	못하/VX+면/EC+,/SP
급속한	급속/NNG+하/XSA+ㄴ/ETM
고령화로	고령/NNG+화/XSN+로/JKB
2017년부터는	2017/SN+년/NNB+부터/JX+는/JX
경제활동에	경제/NNG+활동/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
인구가	인구/NNG+가/JKS
줄어들기	줄어들/VV+기/ETN
때문에	때문/NNB+에/JKB
다시는	다시/MAG+는/JX
기회가	기회/NNG+가/JKS
없을	없/VA+을/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000042.374.6.1
재정 지출이 커진 데는 눈덩이처럼 불어나는 복지 예산의 영향도 크다.

재정	재정/NNG
지출이	지출/NNG+이/JKS
커진	커지/VV+ㄴ/ETM
데는	데/NNB+는/JX
눈덩이처럼	눈덩이/NNG+처럼/JKB
불어나는	불어나/VV+는/ETM
복지	복지/NNG
예산의	예산/NNG+의/JKG
영향도	영향/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000042.374.6.2
115조5000억원으로 사상 처음 예산의 30%를 넘어서게 된다.

115조5000억원으로	115/SN+조/NR+5000/SN+억/NR+원/NNB+으로/JKB
사상	사상/NNG
처음	처음/NNG
예산의	예산/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
넘어서게	넘어서/VV+게/EC
