# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.388
metadata : {}


# id : NWRW1800000028.388.1.1
“야당 때려잡기 수사” /분노 터트린 민주당

“야당	“/SS+야당/NNG
때려잡기	때려잡/VV+기/ETN
수사”	수사/NNG+”/SS
/분노	//SP+분노/NNG
터트린	터트리/VV+ㄴ/ETM
민주당	민주당/NNP


# id : NWRW1800000028.388.2.1
“아니면 말고 식으로 무차별 수사를 해 야당을 때려잡으려 한다면 가만있지 않겠다.”

“아니면	“/SS+아니/VCN+면/EC
말고	말/VV+고/EC
식으로	식/NNB+으로/JKB
무차별	무/XPN+차별/NNG
수사를	수사/NNG+를/JKO
해	하/VV+아/EC
야당을	야당/NNG+을/JKO
때려잡으려	때려잡/VV+으려/EC
한다면	하/VX+ㄴ다면/EC
가만있지	가만있/VV+지/EC
않겠다.”	않/VX+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000028.388.2.2
그동안 “한번 지켜보겠다”던 박지원 민주당 원내대표의 태도도 공세적으로 돌아섰다.

그동안	그동안/NNG
“한번	“/SS+한번/MAG
지켜보겠다”던	지켜보/VV+겠/EP+다/EF+”/SS+던/ETM
박지원	박지원/NNP
민주당	민주당/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
태도도	태도/NNG+도/JX
공세적으로	공세/NNG+적/XSN+으로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.388.2.3
정치권을 겨냥한 검찰의 수사가 어디로 튈지 예의주시하면서도 연말 예산국회를 앞두고 야당을 옥죄려는 ‘표적사정’ 의도가 짙다고 의심하는 것이다.

정치권을	정치/NNG+권/XSN+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
검찰의	검찰/NNG+의/JKG
수사가	수사/NNG+가/JKS
어디로	어디/NP+로/JKB
튈지	튀/VV+ㄹ지/EF
예의주시하면서도	예의/NNG+주시/NNG+하/XSV+면서/EC+도/JX
연말	연말/NNG
예산국회를	예산/NNG+국회/NNG+를/JKO
앞두고	앞두/VV+고/EC
야당을	야당/NNG+을/JKO
옥죄려는	옥죄/VV+려는/ETM
‘표적사정’	‘/SS+표적/NNG+사정/NNG+’/SS
의도가	의도/NNG+가/JKS
짙다고	짙/VA+다고/EC
의심하는	의심/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.388.2.4
태광그룹과 씨앤그룹 등 기업비리와 전국청원경찰친목협의회(청목회)의 입법로비 의혹, 경기도 고양 식사지구 재개발 사업 로비 수사 등에 민주당 의원들의 이니셜과 이름이 계속 오르내리고 있기 때문이다.

태광그룹과	태광그룹/NNP+과/JC
씨앤그룹	씨앤그룹/NNP
등	등/NNB
기업비리와	기업/NNG+비리/NNG+와/JC
전국청원경찰친목협의회(청목회)의	전국청원경찰친목협의회/NNP+(/SS+청목회/NNP+)/SS+의/JKG
입법로비	입법/NNG+로비/NNG
의혹,	의혹/NNG+,/SP
경기도	경기도/NNP
고양	고양/NNP
식사지구	식사지구/NNP
재개발	재/XPN+개발/NNG
사업	사업/NNG
로비	로비/NNG
수사	수사/NNG
등에	등/NNB+에/JKB
민주당	민주당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
이니셜과	이니셜/NNG+과/JC
이름이	이름/NNG+이/JKS
계속	계속/MAG
오르내리고	오르내리/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.388.2.5
박 원내대표는 31일 <한겨레>와의 통화에서 “잘못이 있다면 여야를 가리지 않고 책임을 져야 한다”면서도 “이명박 정부가 4대강 사업 예산을 다루는 예산국회를 앞두고 야당을 때려잡으려는 사정정국으로 몰아가고 있다”고 말했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
31일	31/SN+일/NNB
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“잘못이	“/SS+잘못/NNG+이/JKS
있다면	있/VA+다면/EC
여야를	여야/NNG+를/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다”면서도	하/VX+ㄴ다/EF+”/SS+면서/EC+도/JX
“이명박	“/SS+이명박/NNP
정부가	정부/NNG+가/JKS
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
예산을	예산/NNG+을/JKO
다루는	다루/VV+는/ETM
예산국회를	예산/NNG+국회/NNG+를/JKO
앞두고	앞두/VV+고/EC
야당을	야당/NNG+을/JKO
때려잡으려는	때려잡/VV+으려는/ETM
사정정국으로	사정/NNG+정국/NNG+으로/JKB
몰아가고	몰아가/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.388.2.6
그는 “(금품수수 혐의를 받는 천신일씨 등) 이명박 대통령 측근 비리를 덮으려고 정치권에 대한 무리한 수사를 하고 있다”며 “이명박 정부가 공정사회를 말하고자 한다면 자기들의 잘못부터 파헤쳐야 한다”고 덧붙였다.

그는	그/NP+는/JX
“(금품수수	“/SS+(/SS+금품/NNG+수수/NNG
혐의를	혐의/NNG+를/JKO
받는	받/VV+는/ETM
천신일씨	천신일/NNP+씨/NNB
등)	등/NNB+)/SS
이명박	이명박/NNP
대통령	대통령/NNG
측근	측근/NNG
비리를	비리/NNG+를/JKO
덮으려고	덮/VV+으려고/EC
정치권에	정치/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
수사를	수사/NNG+를/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이명박	“/SS+이명박/NNP
정부가	정부/NNG+가/JKS
공정사회를	공정/NNG+사회/NNG+를/JKO
말하고자	말/NNG+하/XSV+고자/EC
한다면	하/VX+ㄴ다면/EC
자기들의	자기/NNG+들/XSN+의/JKG
잘못부터	잘못/NNG+부터/JX
파헤쳐야	파헤치/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.388.2.7
그는 “1일부터 진행되는 대정부질문에서 편파사정 문제 등을 철저히 따지겠다”고 밝혔다.

그는	그/NP+는/JX
“1일부터	“/SS+1/SN+일/NNB+부터/JX
진행되는	진행/NNG+되/XSV+는/ETM
대정부질문에서	대정부/NNG+질문/NNG+에서/JKB
