# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.355
metadata : {}


# id : NWRW1800000056.355.1.1
후보들 일정 취소하고 산불 피해 현장으로

후보들	후보/NNG+들/XSN
일정	일정/NNG
취소하고	취소/NNG+하/XSV+고/EC
산불	산불/NNG
피해	피해/NNG
현장으로	현장/NNG+으로/JKB


# id : NWRW1800000056.355.2.1
문 “소방 독립시켜 재난대응 강화”

문	문/NNP
“소방	“/SS+소방/NNG
독립시켜	독립/NNG+시키/XSV+어/EC
재난대응	재난/NNG+대응/NNG
강화”	강화/NNG+”/SS


# id : NWRW1800000056.355.3.1
안 “피해자 지원활동대책 신속히”

안	안/NNP
“피해자	“/SS+피해자/NNG
지원활동대책	지원/NNG+활동/NNG+대책/NNG
신속히”	신속히/MAG+”/SS


# id : NWRW1800000056.355.4.1
심 “산불 예방·조기진압 시스템 갖추겠다”

심	심/NNP
“산불	“/SS+산불/NNG
예방·조기진압	예방/NNG+·/SP+조기/NNG+진압/NNG
시스템	시스템/NNG
갖추겠다”	갖추/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000056.355.5.1
유 “빨리 특별재난구역 선포해야”

유	유/NNP
“빨리	“/SS+빨리/MAG
특별재난구역	특별/NNG+재난/NNG+구역/NNG
선포해야”	선포/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000056.355.6.1
홍 후보 대신 부신 현장 자원봉사

홍	홍/NNP
후보	후보/NNG
대신	대신/NNG
부신	부신/NNG
현장	현장/NNG
자원봉사	자원봉사/NNG


# id : NWRW1800000056.355.7.1
대선을 이틀 앞둔 7일 대통령 후보들은 예정된 유세 일정을 급히 취소하고 산불로 큰 피해를 입은 강원도 강릉을 잇따라 찾았다.

대선을	대선/NNG+을/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
7일	7/SN+일/NNB
대통령	대통령/NNG
후보들은	후보/NNG+들/XSN+은/JX
예정된	예정/NNG+되/XSV+ㄴ/ETM
유세	유세/NNG
일정을	일정/NNG+을/JKO
급히	급히/MAG
취소하고	취소/NNG+하/XSV+고/EC
산불로	산불/NNG+로/JKB
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
입은	입/VV+은/ETM
강원도	강원도/NNP
강릉을	강릉/NNP+을/JKO
잇따라	잇따르/VV+아/EC
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.7.2
후보들은 대피소를 찾아 화마로 상처 입은 이재민들을 위로하고 재난 방지 약속도 내놨다.

후보들은	후보/NNG+들/XSN+은/JX
대피소를	대피소/NNG+를/JKO
찾아	찾/VV+아/EC
화마로	화마/NNG+로/JKB
상처	상처/NNG
입은	입/VV+은/ETM
이재민들을	이재민/NNG+들/XSN+을/JKO
위로하고	위로/NNG+하/XSV+고/EC
재난	재난/NNG
방지	방지/NNG
약속도	약속/NNG+도/JX
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.355.8.1
본래 이날 강릉에서 선거운동을 펼칠 예정이었던 문재인 더불어민주당 후보는 거리 유세 대신 대피소가 꾸려진 강릉 성산초등학교를 찾아 피해 주민들을 위로했다.

본래	본래/NNG
이날	이날/NNG
강릉에서	강릉/NNP+에서/JKB
선거운동을	선거/NNG+운동/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
문재인	문재인/NNP
