# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.329
metadata : {}


# id : NWRW1800000037.329.1.1
[北 3차 핵실험]“불확실성 커져” 불안… “별 일 없을것” 무신경

[北	[/SS+北/SH
3차	3/SN+차/NNB
핵실험]“불확실성	핵/NNG+실험/NNG+]/SS+“/SS+불확실/NNG+성/XSN
커져”	커지/VV+어/EF+”/SS
불안…	불안/NNG+…/SE
“별	“/SS+별/MMA
일	일/NNG
없을것”	없/VA+을/ETM+것/NNB+”/SS
무신경	무/XPN+신경/NNG


# id : NWRW1800000037.329.2.1
■ 시민들 엇갈린 반응

■	■/SW
시민들	시민/NNG+들/XSN
엇갈린	엇갈리/VV+ㄴ/ETM
반응	반응/NNG


# id : NWRW1800000037.329.3.1
12일 오후 북한의 3차 핵실험 소식이 전해지자 많은 시민들이 불안해했다.

12일	12/SN+일/NNB
오후	오후/NNG
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
소식이	소식/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
많은	많/VA+은/ETM
시민들이	시민/NNG+들/XSN+이/JKS
불안해했다.	불안/NNG+하/XSA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.329.3.2
최성진 씨(42)는 “박근혜 당선인의 취임을 앞두고 남북관계도 발전적 변화가 있지 않을까 기대했는데 북한이 또다시 재를 뿌렸다”며 “경제도 불안한데 핵실험까지 터져 불확실성만 커질 것 같다”고 말했다.

최성진	최성진/NNP
씨(42)는	씨/NNB+(/SS+42/SN+)/SS+는/JX
“박근혜	“/SS+박근혜/NNP
당선인의	당선인/NNG+의/JKG
취임을	취임/NNG+을/JKO
앞두고	앞두/VV+고/EC
남북관계도	남북/NNP+관계/NNG+도/JX
발전적	발전/NNG+적/XSN
변화가	변화/NNG+가/JKS
있지	있/VA+지/EC
않을까	않/VX+을까/EF
기대했는데	기대/NNG+하/XSV+았/EP+는데/EC
북한이	북한/NNP+이/JKS
또다시	또다시/MAG
재를	재/NNG+를/JKO
뿌렸다”며	뿌리/VV+었/EP+다/EF+”/SS+며/EC
“경제도	“/SS+경제/NNG+도/JX
