# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.364
metadata : {}


# id : NWRW1800000052.364.1.1
청와대, 북 미사일 들먹이며 ‘우병우 감싸기’

청와대,	청와대/NNP+,/SP
북	북/NNP
미사일	미사일/NNG
들먹이며	들먹이/VV+며/EC
‘우병우	‘/SS+우병우/NNP
감싸기’	감싸/VV+기/ETN+’/SS


# id : NWRW1800000052.364.2.1
더민주 “박대통령이 입장 밝혀야”

더민주	더민주/NNP
“박대통령이	“/SS+박/NNP+대통령/NNG+이/JKS
입장	입장/NNG
밝혀야”	밝히/VV+어야/EC+”/SS


# id : NWRW1800000052.364.3.1
국민의당 “비상상황… 전면개각을”

국민의당	국민의당/NNP
“비상상황…	“/SS+비상/NNG+상황/NNG+…/SE
전면개각을”	전면/NNG+개각/NNG+을/JKO+”/SS


# id : NWRW1800000052.364.4.1
정진석 새누리 원내대표도 “청와대에 진상규명 요구하겠다”

정진석	정진석/NNP
새누리	새누리/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
“청와대에	“/SS+청와대/NNP+에/JKB
진상규명	진상/NNG+규명/NNG
요구하겠다”	요구/NNG+하/XSV+겠/EP+다/EF+”/SS


# id : NWRW1800000052.364.5.1
청 “안보·경제 위기에 정치공세·국정흔들기 자제해야”

청	청/NNP
“안보·경제	“/SS+안보/NNG+·/SP+경제/NNG
위기에	위기/NNG+에/JKB
정치공세·국정흔들기	정치/NNG+공세/NNG+·/SP+국정/NNG+흔들/VV+기/ETN
자제해야”	자제/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000052.364.6.1
넥슨과의 1300억원대 부동산 거래를 포함해 우병우 청와대 민정수석을 둘러싼 의혹이 확산되자 19일 정치권은 “우 수석을 해임하고 즉각 수사에 착수하라”며 청와대를 압박했다.

넥슨과의	넥슨/NNP+과/JKB+의/JKG
1300억원대	1300/SN+억/NR+원/NNB+대/XSN
부동산	부동산/NNG
거래를	거래/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
우병우	우병우/NNP
청와대	청와대/NNP
민정수석을	민정/NNG+수석/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
확산되자	확산/NNG+되/XSV+자/EC
19일	19/SN+일/NNB
정치권은	정치/NNG+권/XSN+은/JX
“우	“/SS+우/NNP
수석을	수석/NNG+을/JKO
해임하고	해임/NNG+하/XSV+고/EC
즉각	즉각/MAG
수사에	수사/NNG+에/JKB
착수하라”며	착수/NNG+하/XSV+라/EF+”/SS+며/EC
청와대를	청와대/NNP+를/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.6.2
하지만 청와대는 이 사안에 안보·경제 위기 등 별개의 사안을 갖다붙이며 “국정 흔들기는 자제돼야 한다”고 방어에 나섰다.

하지만	하지만/MAJ
청와대는	청와대/NNP+는/JX
이	이/MMD
사안에	사안/NNG+에/JKB
안보·경제	안보/NNG+·/SP+경제/NNG
위기	위기/NNG
등	등/NNB
별개의	별개/NNG+의/JKG
사안을	사안/NNG+을/JKO
갖다붙이며	갖/VV+다/EC+붙이/VV+며/EC
“국정	“/SS+국정/NNG
흔들기는	흔들/VV+기/ETN+는/JX
자제돼야	자제/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
방어에	방어/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.364.7.1
우상호 더불어민주당 원내대표는 이날 오전 원내대책회의에서 “오늘 일간지마다 우병우 청와대 민정수석과 관련한 의혹이 집중 보도되고 있다.

우상호	우상호/NNP
더불어민주당	더불어민주당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
“오늘	“/SS+오늘/MAG
일간지마다	일간지/NNG+마다/JX
우병우	우병우/NNP
청와대	청와대/NNP
민정수석과	민정/NNG+수석/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의혹이	의혹/NNG+이/JKS
집중	집중/NNG
보도되고	보도/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.364.7.2
최고 권력 실세를 어떻게 조사할 것인지 박 대통령이 입장을 밝혀야 한다”고 말했다.

최고	최고/NNG
권력	권력/NNG
실세를	실세/NNG+를/JKO
어떻게	어떻/VA+게/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
박	박/NNP
대통령이	대통령/NNG+이/JKS
입장을	입장/NNG+을/JKO
밝혀야	밝히/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.7.3
우 원내대표는 “진경준 검사장 사건은 특임검사를 임명해 진실을 밝혔는데 청와대 민정수석은 과연 누가 조사할 수 있는가 하는 문제가 있다.

우	우/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“진경준	“/SS+진경준/NNP
검사장	검사장/NNG
사건은	사건/NNG+은/JX
특임검사를	특임/NNG+검사/NNG+를/JKO
임명해	임명/NNG+하/XSV+아/EC
진실을	진실/NNG+을/JKO
밝혔는데	밝히/VV+었/EP+는데/EC
청와대	청와대/NNP
민정수석은	민정/NNG+수석/NNG+은/JX
과연	과연/MAG
누가	누구/NP+가/JKS
조사할	조사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는가	있/VA+는가/EF
하는	하/VV+는/ETM
문제가	문제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.364.7.4
현직에 있는 동안은 조사가 어려우므로 즉각 우 수석을 해임하고 별도 조사를 진행해야 한다”고 목소리를 높였다.

현직에	현직/NNG+에/JKB
있는	있/VA+는/ETM
동안은	동안/NNG+은/JX
조사가	조사/NNG+가/JKS
어려우므로	어렵/VA+으므로/EC
즉각	즉각/MAG
우	우/NNP
수석을	수석/NNG+을/JKO
해임하고	해임/NNG+하/XSV+고/EC
별도	별도/NNG
조사를	조사/NNG+를/JKO
진행해야	진행/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.364.7.5
이어 그는 “권력의 도덕성과 관련된 심대한 문제이므로 이 문제를 박 대통령이 어떻게 다루는지에 따라 국민들이 대통령의 부정부패 척결 의지를 판단할 것”이라고 경고했다.

이어	이어/MAG
그는	그/NP+는/JX
“권력의	“/SS+권력/NNG+의/JKG
도덕성과	도덕/NNG+성/XSN+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
심대한	심대하/VA+ㄴ/ETM
문제이므로	문제/NNG+이/VCP+므로/EC
이	이/MMD
문제를	문제/NNG+를/JKO
박	박/NNP
대통령이	대통령/NNG+이/JKS
어떻게	어떻/VA+게/EC
다루는지에	다루/VV+는지/EF+에/JKB
따라	따르/VV+아/EC
국민들이	국민/NNG+들/XSN+이/JKS
대통령의	대통령/NNG+의/JKG
부정부패	부정부패/NNG
척결	척결/NNG
의지를	의지/NNG+를/JKO
판단할	판단/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.8.1
박지원 국민의당 비상대책위원장은 청와대와 내각 개편을 박 대통령에게 촉구했다.

박지원	박지원/NNP
국민의당	국민의당/NNP
비상대책위원장은	비상/NNG+대책/NNG+위원장/NNG+은/JX
청와대와	청와대/NNP+와/JC
내각	내각/NNG
개편을	개편/NNG+을/JKO
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.8.2
박 위원장은 의원총회에서 “박 대통령은 눈을 확 뜨고 생생히 보셔야 한다.

박	박/NNP
위원장은	위원장/NNG+은/JX
의원총회에서	의원/NNG+총회/NNG+에서/JKB
“박	“/SS+박/NNP
대통령은	대통령/NNG+은/JX
눈을	눈/NNG+을/JKO
확	확/MAG
뜨고	뜨/VV+고/EC
생생히	생생히/MAG
보셔야	보/VV+시/EP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.364.8.3
서민 경기는 죽었고 홍기택(전 산업은행장), 나향욱(교육부 전 정책기획관), 진경준, 우병우 사태에서 보듯 공직 기강은 땅에 떨어졌다”고 말했다.

서민	서민/NNG
경기는	경기/NNG+는/JX
죽었고	죽/VV+었/EP+고/EC
홍기택(전	홍기택/NNP+(/SS+전/MMD
산업은행장),	산업은행장/NNG+)/SS+,/SP
나향욱(교육부	나향욱/NNP+(/SS+교육부/NNG
전	전/MMD
정책기획관),	정책/NNG+기획관/NNG+)/SS+,/SP
진경준,	진경준/NNP+,/SP
우병우	우병우/NNP
사태에서	사태/NNG+에서/JKB
보듯	보/VV+듯/EC
공직	공직/NNG
기강은	기강/NNG+은/JX
땅에	땅/NNG+에/JKB
떨어졌다”고	떨어지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.364.8.4
그는 “만사의 시작인 인사 검증의 실무를 책임지는 사람이 각종 의혹의 한가운데에 있다.

그는	그/NP+는/JX
“만사의	“/SS+만사/NNG+의/JKG
시작인	시작/NNG+이/VCP+ㄴ/ETM
인사	인사/NNG
검증의	검증/NNG+의/JKG
실무를	실무/NNG+를/JKO
책임지는	책임지/VV+는/ETM
사람이	사람/NNG+이/JKS
각종	각종/NNG
의혹의	의혹/NNG+의/JKG
한가운데에	한/XPN+가운데/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.364.8.5
박 대통령은 우 수석을 즉각 사퇴시키고, 우 수석은 할 말이 있다면 검찰에 가서 조사를 받으며 말해야 한다”고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
우	우/NNP
수석을	수석/NNG+을/JKO
즉각	즉각/MAG
사퇴시키고,	사퇴/NNG+시키/XSV+고/EC+,/SP
수석은	수석/NNG+은/JX
