# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.406
metadata : {}


# id : NWRW1800000054.406.1.1
당국, 4월에 '살충제 계란' 알았다

당국,	당국/NNG+,/SP
4월에	4/SN+월/NNB+에/JKB
'살충제	'/SS+살충제/NNG
계란'	계란/NNG+'/SS
알았다	알/VV+았/EP+다/EF


# id : NWRW1800000054.406.2.1
소비자연맹, 농식품부·식약처에 살충제 검출 통보하고 조치 요구… 식품당국, 적극적 대응 안해

소비자연맹,	소비자/NNG+연맹/NNG+,/SP
농식품부·식약처에	농식품부/NNG+·/SP+식약처/NNG+에/JKB
살충제	살충제/NNG
검출	검출/NNG
통보하고	통보/NNG+하/XSV+고/EC
조치	조치/NNG
요구…	요구/NNG+…/SE
식품당국,	식품/NNG+당국/NNG+,/SP
적극적	적극/NNG+적/XSN
대응	대응/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000054.406.3.1
이미 넉 달 전에 소비자단체가 "피프로닐 등 살충제가 들어 있는 계란이 시중에 유통 중이니 빨리 조처해달라"고 식품 당국에 알린 것으로 밝혀졌다.

이미	이미/MAG
넉	넉/MMN
달	달/NNB
전에	전/NNG+에/JKB
소비자단체가	소비자/NNG+단체/NNG+가/JKS
"피프로닐	"/SS+피프로닐/NNG
등	등/NNB
살충제가	살충제/NNG+가/JKS
들어	들/VV+어/EC
있는	있/VX+는/ETM
계란이	계란/NNG+이/JKS
시중에	시중/NNG+에/JKB
유통	유통/NNG
중이니	중/NNB+이/VCP+니/EC
빨리	빨리/MAG
조처해달라"고	조처/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
식품	식품/NNG
당국에	당국/NNG+에/JKB
알린	알리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.406.3.2
그럼에도 류영진 식품의약품안전처장은 지난 10일 기자 간담회에서 "국내산 계란에 대해 모니터링하고 있으니 국민들은 안심하고 드셔도 문제가 없다"고 말했다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
류영진	류영진/NNP
식품의약품안전처장은	식품/NNG+의약품/NNG+안전처장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
기자	기자/NNG
간담회에서	간담회/NNG+에서/JKB
"국내산	"/SS+국내/NNG+산/XSN
계란에	계란/NNG+에/JKB
대해	대하/VV+아/EC
모니터링하고	모니터링/NNG+하/XSV+고/EC
있으니	있/VX+으니/EC
국민들은	국민/NNG+들/XSN+은/JX
안심하고	안심/NNG+하/XSV+고/EC
드셔도	들/VV+시/EP+어도/EC
문제가	문제/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.406.4.1
한국소비자연맹은 "지난 4월 6일 '유통 달걀의 농약 관리 방안 토론회'에서 이미 피프로닐과 비펜트린이 기준치를 초과한 샘플이 각각 하나씩 있었다고 공개한 바 있다"며 "올 1~2월 국내 마트 등 51곳에서 계란 샘플을 구해 두 분석 기관에 의뢰한 결과였다"고 16일 밝혔다.

한국소비자연맹은	한국소비자연맹/NNP+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
6일	6/SN+일/NNB
'유통	'/SS+유통/NNG
달걀의	달걀/NNG+의/JKG
농약	농약/NNG
관리	관리/NNG
방안	방안/NNG
토론회'에서	토론회/NNG+'/SS+에서/JKB
이미	이미/MAG
피프로닐과	피프로닐/NNG+과/JC
비펜트린이	비펜트린/NNG+이/JKS
기준치를	기준/NNG+치/XSN+를/JKO
초과한	초과/NNG+하/XSV+ㄴ/ETM
샘플이	샘플/NNG+이/JKS
각각	각각/MAG
하나씩	하나/NR+씩/XSN
있었다고	있/VA+었/EP+다고/EC
공개한	공개/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"올	"/SS+올/NNG
1~2월	1/SN+~/SO+2/SN+월/NNB
국내	국내/NNG
마트	마트/NNG
등	등/NNB
51곳에서	51/SN+곳/NNG+에서/JKB
계란	계란/NNG
샘플을	샘플/NNG+을/JKO
구해	구하/VV+아/EC
두	두/MMN
분석	분석/NNG
기관에	기관/NNG+에/JKB
의뢰한	의뢰/NNG+하/XSV+ㄴ/ETM
결과였다"고	결과/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
16일	16/SN+일/NNB
