# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.40
metadata : {}


# id : NWRW1800000030.40.1.1
주룽지 前총리 인기 끌자… 中정부 인터넷 통제

주룽지	주룽지/NNP
前총리	前/SH+총리/NNG
인기	인기/NNG
끌자…	끌/VV+자/EC+…/SE
中정부	中/SH+정부/NNG
인터넷	인터넷/NNG
통제	통제/NNG


# id : NWRW1800000030.40.2.1
•'예스맨' 공무원 비판 발언 등 재임시절 연설문 담은 책 출간 앞두고 화제 집중

•'예스맨'	•/SW+'/SS+예스맨/NNG+'/SS
공무원	공무원/NNG
비판	비판/NNG
발언	발언/NNG
등	등/NNB
재임시절	재임/NNG+시절/NNG
연설문	연설문/NNG
담은	담/VV+은/ETM
책	책/NNG
출간	출간/NNG
앞두고	앞두/VV+고/EC
화제	화제/NNG
집중	집중/NNG


# id : NWRW1800000030.40.3.1
"만약 이번 임기의 정부가 모두 예스맨(好好先生)만 있다면 우리는 정말 국민 앞에 고개를 들 수 없을 것이다…여러분은 나와 싸워라.

"만약	"/SS+만약/MAG
이번	이번/NNG
임기의	임기/NNG+의/JKG
정부가	정부/NNG+가/JKS
모두	모두/MAG
예스맨(好好先生)만	예스맨/NNG+(/SS+好好先生/SH+)/SS+만/JX
있다면	있/VA+다면/EC
우리는	우리/NP+는/JX
정말	정말/MAG
국민	국민/NNG
앞에	앞/NNG+에/JKB
고개를	고개/NNG+를/JKO
들	들/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것이다…여러분은	것/NNB+이/VCP+다/EF+…/SE+여러분/NP+은/JX
나와	나/NP+와/JKB
싸워라.	싸우/VV+어라/EF+./SF


# id : NWRW1800000030.40.3.2
내가 도량이 좁아 쉽게 화를 낼 수는 있지만 그것 때문에 자르거나 보복을 하는 일은 결코 없을 것이다."

내가	내/NP+가/JKS
도량이	도량/NNG+이/JKS
좁아	좁/VA+아/EC
쉽게	쉽/VA+게/EC
화를	화/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수는	수/NNB+는/JX
있지만	있/VA+지만/EC
그것	그것/NP
때문에	때문/NNB+에/JKB
자르거나	자르/VV+거나/EC
보복을	보복/NNG+을/JKO
하는	하/VV+는/ETM
일은	일/NNG+은/JX
결코	결코/MAG
없을	없/VA+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000030.40.4.1
주룽지(朱鎔基·83·사진) 전 총리가 다시 베이징 정가의 중심에 섰다.

주룽지(朱鎔基·83·사진)	주룽지/NNP+(/SS+朱鎔基/SH+·/SP+83/SN+·/SP+사진/NNG+)/SS
전	전/MMD
총리가	총리/NNG+가/JKS
다시	다시/MAG
베이징	베이징/NNP
정가의	정가/NNG+의/JKG
중심에	중심/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.40.4.2
고령의 그가 다시 현직을 맡을 가능성은 없지만 그가 1998년 부총리로 발탁된 이후 2003년 총리를 퇴임할 때까지 공개되지 않았던 연설·사신 등을 묶은 책이 출간되면서 다시 중국 내 여론의 초점으로 떠오르고 있는 것이다.

고령의	고령/NNG+의/JKG
그가	그/NP+가/JKS
다시	다시/MAG
현직을	현직/NNG+을/JKO
맡을	맡/VV+을/ETM
가능성은	가능/NNG+성/XSN+은/JX
없지만	없/VA+지만/EC
1998년	1998/SN+년/NNB
부총리로	부총리/NNG+로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
2003년	2003/SN+년/NNB
총리를	총리/NNG+를/JKO
퇴임할	퇴임/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
공개되지	공개/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
연설·사신	연설/NNG+·/SP+사신/NNG
등을	등/NNB+을/JKO
묶은	묶/VV+은/ETM
책이	책/NNG+이/JKS
출간되면서	출간/NNG+되/XSV+면서/EC
중국	중국/NNP
내	내/NNB
여론의	여론/NNG+의/JKG
초점으로	초점/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.40.5.1
◆주룽지 연설 실은 신문 매진

◆주룽지	◆/SW+주룽지/NNP
연설	연설/NNG
실은	싣/VV+은/ETM
신문	신문/NNG
매진	매진/NNG


# id : NWRW1800000030.40.6.1
중국 내 대표적인 비판적 신문 주간 남방주말(南方周末)은 지난 8일자에 주 전 총리의 재임 당시 비공개 연설과 발언 등이 담긴 '주룽지 강화실록' 출판 소식을 전하면서 주 전 총리의 연설 내용을 3개 면에 걸쳐 게재했다.

중국	중국/NNP
내	나/NP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
비판적	비판/NNG+적/XSN
신문	신문/NNG
주간	주간/NNG
남방주말(南方周末)은	남방주말/NNP+(/SS+南方周末/SH+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
8일자에	8/SN+일/NNB+자/NNG+에/JKB
주	주/NNP
전	전/MMD
