# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.382
metadata : {}


# id : NWRW1800000021.382.1.1
[김화성 전문기자의 아하, 이맛!]청국장

[김화성	[/SS+김화성/NNP
전문기자의	전문/NNG+기자/NNG+의/JKG
아하,	아하/IC+,/SP
이맛!]청국장	이/MMD+맛/NNG+!/SF+]/SS+청국장/NNG


# id : NWRW1800000021.382.2.1
‘소꿉장난같이 꿈을 키우던 부엌/19공탄 깔고 앉아 자지러지던 뚝배기/겸상 가운데 돗자리 꽃방석에 앉혀놓고/총각김치 경쾌하게 깨물던 단칸방//그것이 행복이었던 것을/난기류에 밀려 변방 에돌다/빌딩 숲에 정박한 빛바랜 부평초/자글자글 진동하던 그 냄새가 마냥 그립다’ <권오범의 ‘청국장’에서>

‘소꿉장난같이	‘/SS+소꿉장난/NNG+같이/JKB
꿈을	꿈/NNG+을/JKO
키우던	키우/VV+던/ETM
부엌/19공탄	부엌/NNG+//SP+19공탄/NNG
깔고	깔/VV+고/EC
앉아	앉/VV+아/EC
자지러지던	자지러지/VV+던/ETM
뚝배기/겸상	뚝배기/NNG+//SP+겸상/NNG
가운데	가운데/NNG
돗자리	돗자리/NNG
꽃방석에	꽃방석/NNG+에/JKB
앉혀놓고/총각김치	앉히/VV+어/EC+놓/VX+고/EC+//SP+총각김치/NNG
경쾌하게	경쾌하/VA+게/EC
깨물던	깨물/VV+던/ETM
단칸방//그것이	단칸방/NNG+//SP+//SP+그것/NP+이/JKS
행복이었던	행복/NNG+이/VCP+었/EP+던/ETM
것을/난기류에	것/NNB+을/JKO+//SP+난기류/NNG+에/JKB
밀려	밀리/VV+어/EC
변방	변방/NNG
에돌다/빌딩	에돌/VV+다/EF+//SP+빌딩/NNG
숲에	숲/NNG+에/JKB
정박한	정박/NNG+하/XSV+ㄴ/ETM
빛바랜	빛바래/VA+ㄴ/ETM
부평초/자글자글	부평초/NNG+//SP+자글자글/MAG
진동하던	진동/NNG+하/XSV+던/ETM
그	그/MMD
냄새가	냄새/NNG+가/JKS
마냥	마냥/MAG
그립다’	그립/VA+다/EF+’/SS
<권오범의	</SS+권오범/NNP+의/JKG
‘청국장’에서>	‘/SS+청국장/NNG+’/SS+에서/JKB+>/SS


# id : NWRW1800000021.382.3.1
뚝배기가 자글자글 흐느낀다.

뚝배기가	뚝배기/NNG+가/JKS
자글자글	자글자글/MAG
흐느낀다.	흐느끼/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.3.2
들썩들썩 어깨를 들먹이며 운다.

들썩들썩	들썩들썩/MAG
어깨를	어깨/NNG+를/JKO
들먹이며	들먹이/VV+며/EC
운다.	울/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.3.3
네모진 두부조각들이 서로 어깨를 부여잡고 ‘시일야방성대곡’ 한다.

네모진	네모지/VA+ㄴ/ETM
두부조각들이	두부/NNG+조각/NNG+들/XSN+이/JKS
서로	서로/MAG
어깨를	어깨/NNG+를/JKO
부여잡고	부여잡/VV+고/EC
‘시일야방성대곡’	‘/SS+시일야방성대곡/NNG+’/SS
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.3.4
빙 둘러 가장자리엔 덕지덕지 울어 넘친 ‘흙탕 눈물’ 자국, 아하 어릴 적 무명 베옷에 물든 황토물….

빙	빙/MAG
둘러	두르/VV+어/EC
가장자리엔	가장자리/NNG+에/JKB+ㄴ/JX
덕지덕지	덕지덕지/MAG
울어	울/VV+어/EC
넘친	넘치/VV+ㄴ/ETM
‘흙탕	‘/SS+흙탕/NNG
눈물’	눈물/NNG+’/SS
자국,	자국/NNG+,/SP
아하	아하/IC
어릴	어리/VA+ㄹ/ETM
적	적/NNB
무명	무명/NNG
베옷에	베옷/NNG+에/JKB
물든	물들/VV+ㄴ/ETM
황토물….	황토물/NNG+…/SE+./SF


# id : NWRW1800000021.382.4.1
큼큼하고 고릿한 냄새, 시큼퀴퀴 두엄자리 냄새, 저릿한 홍어 삭는 냄새, 장마철 헛간 벽에 걸린 눅눅한 시래기 냄새, 후텁지근한 한여름 장독대 젓국 냄새, 하얗게 버캐가 낀, 시어터진 묵은 지 냄새….

큼큼하고	큼큼/MAG+하/XSA+고/EC
고릿한	고릿하/VA+ㄴ/ETM
냄새,	냄새/NNG+,/SP
시큼퀴퀴	시큼/MAG+퀴퀴/XR
두엄자리	두엄자리/NNG
저릿한	저릿하/VA+ㄴ/ETM
홍어	홍어/NNG
삭는	삭/VV+는/ETM
장마철	장마철/NNG
헛간	헛간/NNG
벽에	벽/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
눅눅한	눅눅하/VA+ㄴ/ETM
시래기	시래기/NNG
후텁지근한	후텁지근하/VA+ㄴ/ETM
한여름	한/XPN+여름/NNG
장독대	장독대/NNG
젓국	젓국/NNG
하얗게	하얗/VA+게/EC
버캐가	버캐/NNG+가/JKS
낀,	끼/VV+ㄴ/ETM+,/SP
시어터진	시어터지/VA+ㄴ/ETM
묵은	묵/VV+은/ETM
지	지/NNG
냄새….	냄새/NNG+…/SE+./SF


# id : NWRW1800000021.382.5.1
간장 된장 청국장은 모두 콩의 아들이다.

간장	간장/NNG
된장	된장/NNG
청국장은	청국장/NNG+은/JX
모두	모두/MAG
콩의	콩/NNG+의/JKG
아들이다.	아들/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.5.2
간장이 맏형, 된장이 둘째, 청국장은 막내이다.

간장이	간장/NNG+이/JKS
맏형,	맏/XPN+형/NNG+,/SP
된장이	된장/NNG+이/JKS
둘째,	둘째/NR+,/SP
청국장은	청국장/NNG+은/JX
막내이다.	막내/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.5.3
된장은 콩을 삶고 쪄서 만든 메주로 쑨다.

된장은	된장/NNG+은/JX
콩을	콩/NNG+을/JKO
삶고	삶/VV+고/EC
쪄서	찌/VV+어서/EC
만든	만들/VV+ㄴ/ETM
메주로	메주/NNG+로/JKB
쑨다.	쑤/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.5.4
메주를 볏짚으로 묶어 겨우내 매달아둬야 한다.

메주를	메주/NNG+를/JKO
볏짚으로	볏짚/NNG+으로/JKB
묶어	묶/VV+어/EC
겨우내	겨우내/MAG
매달아둬야	매달/VV+아/EC+두/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.382.5.5
잘 띄운 메주를 염분 15% 정도의 소금물에 50일쯤 담가두면 국물이 우러난다.

잘	잘/MAG
띄운	띄우/VV+ㄴ/ETM
메주를	메주/NNG+를/JKO
염분	염분/NNG
15%	15/SN+%/SW
정도의	정도/NNG+의/JKG
소금물에	소금물/NNG+에/JKB
50일쯤	50/SN+일/NNB+쯤/XSN
담가두면	담그/VV+아/EC+두/VX+면/EC
국물이	국물/NNG+이/JKS
우러난다.	우러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.382.5.6
바로 그것이 간장이다.

바로	바로/MAG
그것이	그것/NP+이/JKS
간장이다.	간장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.5.7
된장은 국물이 빠진 메주를 으깨어 항아리에서 숙성시킨 것이다.

된장은	된장/NNG+은/JX
국물이	국물/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
메주를	메주/NNG+를/JKO
으깨어	으깨/VV+어/EC
항아리에서	항아리/NNG+에서/JKB
숙성시킨	숙성/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.382.5.8
