# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.303
metadata : {}


# id : NWRW1800000024.303.1.1
“당당한 연설 눈에 선한데”…“아버지같은 분”

“당당한	“/SS+당당/MAG+하/XSA+ㄴ/ETM
연설	연설/NNG
눈에	눈/NNG+에/JKB
선한데”…“아버지같은	선하/VA+ㄴ데/EC+”/SS+…/SE+“/SS+아버지/NNG+같/VA+은/ETM
분”	분/NNB+”/SS


# id : NWRW1800000024.303.2.1
김대중 전 대통령 서거 이틀째인 19일, 공식 분향소가 차려진 서울시청 앞 서울광장에는 이른 아침부터 대중가요 ‘목포의 눈물’이 애절하게 울려퍼졌다.

김대중	김대중/NNP
전	전/MMD
대통령	대통령/NNG
서거	서거/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
19일,	19/SN+일/NNB+,/SP
공식	공식/NNG
분향소가	분향소/NNG+가/JKS
차려진	차리/VV+어/EC+지/VX+ㄴ/ETM
서울시청	서울시청/NNP
앞	앞/NNG
서울광장에는	서울광장/NNP+에/JKB+는/JX
이른	이르/VA+ㄴ/ETM
아침부터	아침/NNG+부터/JX
대중가요	대중가요/NNG
‘목포의	‘/SS+목포/NNP+의/JKG
눈물’이	눈물/NNG+’/SS+이/JKS
애절하게	애절하/VA+게/EC
울려퍼졌다.	울리/VV+어/EC+퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.2.2
김 전 대통령이 생전에 가장 즐겨불렀던 노래다.

김	김/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
생전에	생전/NNG+에/JKB
가장	가장/MAG
즐겨불렀던	즐기/VV+어/EC+부르/VV+었/EP+던/ETM
노래다.	노래/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.303.2.3
이날 분향소에선 ‘목포의 눈물’ ‘광야에서’ 등이 번갈아 흘러나오는 가운데, 김 전 대통령을 추모하는 시민들의 발길이 하루 종일 이어졌다.

이날	이날/NNG
분향소에선	분향소/NNG+에서/JKB+ㄴ/JX
‘목포의	‘/SS+목포/NNP+의/JKG
눈물’	눈물/NNG+’/SS
‘광야에서’	‘/SS+광야에서/NNP+’/SS
등이	등/NNB+이/JKS
번갈아	번갈/VV+아/EC
흘러나오는	흘러나오/VV+는/ETM
가운데,	가운데/NNG+,/SP
김	김/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
추모하는	추모/NNG+하/XSV+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
발길이	발길/NNG+이/JKS
하루	하루/NNG
종일	종일/NNG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.3.1
임길춘(88)씨는 “내 고향인 전남 나주 근처에서 태어났고, 연배도 비슷해 마음속으로 가깝게 여겨온 큰 정치인의 서거가 마음 아파 분향소를 찾았다”고 말했다.

임길춘(88)씨는	임길춘/NNP+(/SS+88/SN+)/SS+씨/NNB+는/JX
“내	“/SS+나/NP+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
전남	전남/NNP
나주	나주/NNP
근처에서	근처/NNG+에서/JKB
태어났고,	태어나/VV+았/EP+고/EC+,/SP
연배도	연배/NNG+도/JX
비슷해	비슷하/VA+아/EC
마음속으로	마음속/NNG+으로/JKB
가깝게	가깝/VA+게/EC
여겨온	여기/VV+어/EC+오/VX+ㄴ/ETM
큰	크/VA+ㄴ/ETM
정치인의	정치인/NNG+의/JKG
서거가	서거/NNG+가/JKS
마음	마음/NNG
아파	아프/VA+아/EC
분향소를	분향소/NNG+를/JKO
찾았다”고	찾/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.303.3.2
임씨는 “‘목포의 눈물’을 듣고 있자니 마음이 짠하다”며 “정책의 잘잘못을 따지곤 하는데, 오늘 만큼은 김 전 대통령이 선한 마음으로 국민에게 참 잘했다는 사실만 기억하고 싶다”고 했다.

임씨는	임/NNP+씨/NNB+는/JX
“‘목포의	“/SS+‘/SS+목포/NNP+의/JKG
눈물’을	눈물/NNG+’/SS+을/JKO
듣고	듣/VV+고/EC
있자니	있/VX+자니/EC
마음이	마음/NNG+이/JKS
짠하다”며	짠하/VA+다/EF+”/SS+며/EC
“정책의	“/SS+정책/NNG+의/JKG
잘잘못을	잘잘못/NNG+을/JKO
따지곤	따지/VV+곤/EC
하는데,	하/VX+는데/EC+,/SP
오늘	오늘/NNG
만큼은	만큼/JKB+은/JX
김	김/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
선한	선/NNG+하/XSA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
국민에게	국민/NNG+에게/JKB
참	참/MAG
잘했다는	잘/MAG+하/XSV+았/EP+다는/ETM
사실만	사실/NNG+만/JX
기억하고	기억/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.303.4.1
이날 첫 조문은 애초 예정보다 2시간가량 늦은 오전 10시50분께, 정세균 대표 등 민주당 의원과 당직자 150여명이 대표 분향을 하며 시작됐다.

이날	이날/NNG
첫	첫/MMN
조문은	조문/NNG+은/JX
애초	애초/NNG
예정보다	예정/NNG+보다/JKB
2시간가량	2/SN+시간/NNB+가량/XSN
늦은	늦/VA+은/ETM
오전	오전/NNG
10시50분께,	10/SN+시/NNB+50/SN+분/NNB+께/XSN+,/SP
정세균	정세균/NNP
대표	대표/NNG
등	등/NNB
민주당	민주당/NNP
의원과	의원/NNG+과/JC
당직자	당직자/NNG
150여명이	150/SN+여/XSN+명/NNB+이/JKS
분향을	분향/NNG+을/JKO
하며	하/VV+며/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.4.2
가로 22m, 세로 8m 크기의 분향소는 국화 2만여 송이로 채워진 뒤, 한가운데에 김 전 대통령의 영정이 놓였다.

가로	가로/NNG
22m,	22/SN+m/SW+,/SP
세로	세로/NNG
8m	8/SN+m/SW
크기의	크기/NNG+의/JKG
분향소는	분향소/NNG+는/JX
국화	국화/NNG
2만여	2/SN+만/NR+여/XSN
송이로	송이/NNG+로/JKB
채워진	채우/VV+어/EC+지/VX+ㄴ/ETM
뒤,	뒤/NNG+,/SP
한가운데에	한/XPN+가운데/NNG+에/JKB
김	김/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
영정이	영정/NNG+이/JKS
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.4.3
민주당 지도부는 “정치와 민주주의를 지키는 모든 분의 아버지 같은 분이 돌아가셨다”고 안타까워했다.

민주당	민주당/NNP
지도부는	지도부/NNG+는/JX
“정치와	“/SS+정치/NNG+와/JC
민주주의를	민주주의/NNG+를/JKO
지키는	지키/VV+는/ETM
모든	모든/MMN
분의	분/NNB+의/JKG
아버지	아버지/NNG
같은	같/VA+은/ETM
분이	분/NNB+이/JKS
돌아가셨다”고	돌아가/VV+시/EP+었/EP+다/EF+”/SS+고/JKQ
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.303.5.1
이어 시민들의 조문이 이어졌다.

이어	이어/MAG
시민들의	시민/NNG+들/XSN+의/JKG
조문이	조문/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.5.2
30도를 넘나드는 무더위 속에서도 시민들은 50여m가량 줄을 서서, 차분하게 차례를 기다렸다.

30도를	30/SN+도/NNB+를/JKO
넘나드는	넘나들/VV+는/ETM
무더위	무더위/NNG
속에서도	속/NNG+에서/JKB+도/JX
시민들은	시민/NNG+들/XSN+은/JX
50여m가량	50/SN+여/XSN+m/SW+가량/XSN
줄을	줄/NNG+을/JKO
서서,	서/VV+어서/EC+,/SP
차분하게	차분하/VA+게/EC
차례를	차례/NNG+를/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.303.5.3
초등학교 동창과 온 정광섭(63)씨는 “우리 시대 영웅의 마지막길에 꼭 와 보고 싶었다”며 “1971년 대통령 선거 때 서대문 홍제초등학교에서 연설하는 모습을 봤는데, 그때부터 지금까지 김 전 대통령은 언제나 당당한 모습이었다”고 회고했다.

초등학교	초등학교/NNG
동창과	동창/NNG+과/JC
온	오/VV+ㄴ/ETM
정광섭(63)씨는	정광섭/NNP+(/SS+63/SN+)/SS+씨/NNB+는/JX
“우리	“/SS+우리/NP
시대	시대/NNG
영웅의	영웅/NNG+의/JKG
마지막길에	마지막/NNG+길/NNG+에/JKB
꼭	꼭/MAG
와	오/VV+아/EC
보고	보/VX+고/EC
싶었다”며	싶/VX+었/EP+다/EF+”/SS+며/EC
