# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.265
metadata : {}


# id : NWRW1800000054.265.1.1
[72회 청룡기 고교야구선수권] 청룡 만난 백호, 펄펄 날다

[72회	[/SS+72/SN+회/NNB
청룡기	청룡기/NNG
고교야구선수권]	고교/NNG+야구/NNG+선수/NNG+권/XSN+]/SS
청룡	청룡/NNG
만난	만나/VV+ㄴ/ETM
백호,	백호/NNG+,/SP
펄펄	펄펄/MAG
날다	날/VV+다/EF


# id : NWRW1800000054.265.2.1
서울고 강백호, 솔로 홈런에 마무리 투수까지… 경남고 6대3 꺾어

서울고	서울고/NNP
강백호,	강백호/NNP+,/SP
솔로	솔로/NNG
홈런에	홈런/NNG+에/JKB
마무리	마무리/NNG
투수까지…	투수/NNG+까지/JX+…/SE
경남고	경남고/NNP
6대3	6/SN+대/NNB+3/SN
꺾어	꺾/VV+어/EF


# id : NWRW1800000054.265.3.1
푸른 용을 가리는 곳에서 흰 호랑이가 주인공이 됐다.

푸른	푸르/VA+ㄴ/ETM
용을	용/NNG+을/JKO
가리는	가리/VV+는/ETM
곳에서	곳/NNG+에서/JKB
흰	희/VA+ㄴ/ETM
호랑이가	호랑이/NNG+가/JKS
주인공이	주인공/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.3.2
서울고 강백호(3학년)는 5일 열린 제72회 청룡기 전국고교야구선수권대회(조선일보·스포츠조선·대한야구소프트볼협회 공동 주최)에서 맹활약하며 팀의 16강 진출을 이끌었다.

서울고	서울고/NNP
강백호(3학년)는	강백호/NNP+(/SS+3/SN+학년/NNG+)/SS+는/JX
5일	5/SN+일/NNB
열린	열리/VV+ㄴ/ETM
제72회	제/XPN+72/SN+회/NNB
청룡기	청룡기/NNG
전국고교야구선수권대회(조선일보·스포츠조선·대한야구소프트볼협회	전국/NNG+고교/NNG+야구/NNG+선수/NNG+권/XSN+대회/NNG+(/SS+조선일보/NNP+·/SP+스포츠조선/NNP+·/SP+대한야구소프트볼협회/NNP
공동	공동/NNG
주최)에서	주최/NNG+)/SS+에서/JKB
맹활약하며	맹활약/NNG+하/XSV+며/EC
팀의	팀/NNG+의/JKG
16강	16/SN+강/NNB
진출을	진출/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.265.3.3
강백호는 1학년이던 2015년 당시 청룡기에서 고척스카이돔 개장 첫 홈런을 터뜨리며 주목받은 선수다.

강백호는	강백호/NNP+는/JX
1학년이던	1/SN+학년/NNG+이/VCP+던/ETM
2015년	2015/SN+년/NNB
당시	당시/NNG
청룡기에서	청룡기/NNG+에서/JKB
고척스카이돔	고척스카이돔/NNP
개장	개장/NNG
첫	첫/MMN
홈런을	홈런/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
주목받은	주목/NNG+받/XSV+은/ETM
선수다.	선수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.265.3.4
지난해 팀을 청룡기 준우승으로 이끌었고 3학년인 올해엔 대회 MVP까지 노린다.

지난해	지난해/NNG
팀을	팀/NNG+을/JKO
청룡기	청룡기/NNG
