# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.93
metadata : {}


# id : NWRW1800000032.93.1.1
“중동 민주화 바람 북에도 영향 줄것”미 스탠퍼드대 세미나

“중동	“/SS+중동/NNP
민주화	민주/NNG+화/XSN
바람	바람/NNG
북에도	북/NNP+에/JKB+도/JX
영향	영향/NNG
줄것”미	주/VV+ㄹ/ETM+것/NNB+”/SS+미/NNP
스탠퍼드대	스탠퍼드대/NNP
세미나	세미나/NNG


# id : NWRW1800000032.93.2.1
미 스탠퍼드대 세미나

미	미/NNP
스탠퍼드대	스탠퍼드대/NNP
세미나	세미나/NNG


# id : NWRW1800000032.93.3.1
중동과 북아프리카를 휩쓸고 있는 ‘재스민 혁명’의 바람이 북한에도 확산될 가능성이 제기됐다.

중동과	중동/NNP+과/JC
북아프리카를	북아프리카/NNP+를/JKO
휩쓸고	휩쓸/VV+고/EC
있는	있/VX+는/ETM
‘재스민	‘/SS+재스민/NNG
혁명’의	혁명/NNG+’/SS+의/JKG
바람이	바람/NNG+이/JKS
북한에도	북한/NNP+에/JKB+도/JX
확산될	확산/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.93.4.1
미국 스탠퍼드대 한국학 프로그램 창설 열돌을 맞아 24일(현지시각) ‘조선민주주의인민공화국 2012’를 주제로 스탠퍼드대에서 열린 특별세미나에서 한국과 미국의 전문가들은 중동과 북한의 사정이 다른 만큼 재스민 혁명식 변화를 즉각 북한에서 기대하기는 어렵지만, 현 북한 체제가 매우 불안한 상황이라는 데 동의했다.

미국	미국/NNP
스탠퍼드대	스탠퍼드대/NNP
한국학	한국학/NNG
프로그램	프로그램/NNG
창설	창설/NNG
열돌을	열/NR+돌/NNB+을/JKO
맞아	맞/VV+아/EC
24일(현지시각)	24/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
‘조선민주주의인민공화국	‘/SS+조선민주주의인민공화국/NNP
2012’를	2012/SN+’/SS+를/JKO
주제로	주제/NNG+로/JKB
스탠퍼드대에서	스탠퍼드대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
특별세미나에서	특별/NNG+세미나/NNG+에서/JKB
한국과	한국/NNP+과/JC
미국의	미국/NNP+의/JKG
전문가들은	전문가/NNG+들/XSN+은/JX
중동과	중동/NNP+과/JC
북한의	북한/NNP+의/JKG
사정이	사정/NNG+이/JKS
다른	다르/VA+ㄴ/ETM
만큼	만큼/NNB
재스민	재스민/NNG
혁명식	혁명식/NNG
변화를	변화/NNG+를/JKO
즉각	즉각/MAG
북한에서	북한/NNP+에서/JKB
기대하기는	기대/NNG+하/XSV+기/ETN+는/JX
어렵지만,	어렵/VA+지만/EC+,/SP
현	현/MMD
북한	북한/NNP
체제가	체제/NNG+가/JKS
매우	매우/MAG
불안한	불안/NNG+하/XSA+ㄴ/ETM
상황이라는	상황/NNG+이/VCP+라는/ETM
데	데/NNB
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.93.5.1
데이비드 스트라우브 스탠퍼드대 한국학 프로그램 부소장은 “북한이 금방 붕괴하거나 민주화가 되리라고는 생각하지 않는다.

데이비드	데이비드/NNP
스트라우브	스트라우브/NNP
스탠퍼드대	스탠퍼드대/NNP
한국학	한국학/NNG
프로그램	프로그램/NNG
부소장은	부소장/NNG+은/JX
“북한이	“/SS+북한/NNP+이/JKS
금방	금방/MAG
붕괴하거나	붕괴/NNG+하/XSV+거나/EC
민주화가	민주/NNG+화/XSN+가/JKC
되리라고는	되/VV+리라고/EC+는/JX
생각하지	생각/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000032.93.5.2
적어도 수년 혹은 수십년은 걸릴 것”이라며 철저한 주민통제를 이유로 들었다.

적어도	적어도/MAG
수년	수년/NNG
혹은	혹은/MAG
수십년은	수십/NR+년/NNB+은/JX
걸릴	걸리/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
주민통제를	주민/NNG+통제/NNG+를/JKO
이유로	이유/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.93.5.3
신기욱 스탠퍼드대 아태연구소 소장은 “중동의 민주화운동이 곧바로 북한에 영향을 미치긴 힘들지만, 중국에 민주화 바람이 불 경우 북한이 중국의 변화에서 자유롭지는 못할 것”이라며 간접 영향권에 들어 있음을 시사했다.

신기욱	신기욱/NNP
스탠퍼드대	스탠퍼드대/NNP
아태연구소	아태연구소/NNP
소장은	소장/NNG+은/JX
“중동의	“/SS+중동/NNP+의/JKG
민주화운동이	민주/NNG+화/XSN+운동/NNG+이/JKS
곧바로	곧바로/MAG
북한에	북한/NNP+에/JKB
영향을	영향/NNG+을/JKO
미치긴	미치/VV+기/ETN+ㄴ/JX
힘들지만,	힘들/VA+지만/EC+,/SP
중국에	중국/NNP+에/JKB
민주화	민주/NNG+화/XSN
바람이	바람/NNG+이/JKS
불	불/VV+ㄹ/ETM
경우	경우/NNG
북한이	북한/NNP+이/JKS
중국의	중국/NNP+의/JKG
변화에서	변화/NNG+에서/JKB
자유롭지는	자유/NNG+롭/XSA+지/EC+는/JX
못할	못하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
간접	간접/NNG
영향권에	영향/NNG+권/XSN+에/JKB
들어	들/VV+어/EC
있음을	있/VX+음/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.93.5.4
김형오 전 국회의장은 “장마당에서 외부세계 소식이 암암리에 전해지고 있고, 북아프리카와 중동 사태로 인해 심리적 동요도 있다고 한다”고 말했다.

김형오	김형오/NNP
전	전/MMD
국회의장은	국회/NNG+의장/NNG+은/JX
“장마당에서	“/SS+장마당/NNG+에서/JKB
외부세계	외부/NNG+세계/NNG
소식이	소식/NNG+이/JKS
암암리에	암암리/NNG+에/JKB
전해지고	전하/VV+아/EC+지/VX+고/EC
있고,	있/VX+고/EC+,/SP
북아프리카와	북아프리카/NNP+와/JC
중동	중동/NNP
사태로	사태/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
심리적	심리/NNG+적/XSN
동요도	동요/NNG+도/JX
있다고	있/VA+다고/EC
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.93.6.1
이와 별도로 핵문제에 대한 우려도 제기됐다.

이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
핵문제에	핵/NNG+문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.93.6.2
현재 스탠퍼드대 객원연구원으로 있는 유명환 전 외교통상부 장관은 “북한 영변지역에 진행중인 경수로 공사는 심각한 안전상의 우려를 야기하고 있다”며 “일부에서는 북한의 핵무기보다 (영변 경수로) 핵 안전 문제가 더 긴급한 문제라고 얘기하고 있다”고 밝혔다.

현재	현재/MAG
스탠퍼드대	스탠퍼드대/NNP
객원연구원으로	객원/NNG+연구원/NNG+으로/JKB
있는	있/VA+는/ETM
유명환	유명환/NNP
전	전/MMD
외교통상부	외교/NNG+통상부/NNG
장관은	장관/NNG+은/JX
“북한	“/SS+북한/NNP
영변지역에	영변/NNP+지역/NNG+에/JKB
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
