# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.324
metadata : {}


# id : NWRW1800000033.324.1.1
[北 로켓발사 실패 이후] 오바마 “北압박 계속… 더 고립시킬 것”

[北	[/SS+北/SH
로켓발사	로켓/NNG+발사/NNG
실패	실패/NNG
이후]	이후/NNG+]/SS
오바마	오바마/NNP
“北압박	“/SS+北/SH+압박/NNG
계속…	계속/MAG+…/SE
더	더/MAG
고립시킬	고립/NNG+시키/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000033.324.2.1
■국제사회 제재 본격화

■국제사회	■/SW+국제/NNG+사회/NNG
제재	제재/NNG
본격화	본격/NNG+화/XSN


# id : NWRW1800000033.324.3.1
북한의 장거리 로켓 발사에 대한 국제사회의 대북 징벌 움직임이 구체화되고 있다.

북한의	북한/NNP+의/JKG
장거리	장거리/NNG
로켓	로켓/NNG
발사에	발사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
대북	대북/NNG
징벌	징벌/NNG
움직임이	움직임/NNG+이/JKS
구체화되고	구체/NNG+화/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.324.4.1
버락 오바마 미국 대통령은 13일(현지 시간) 콜롬비아에서 열리는 미주기구(OAS) 정상회의에 참석하기 위해 출국하기 전 스페인어방송 텔레문도TV와의 인터뷰에서 “주민들은 굶주리는데 북한은 수많은 돈을 로켓 발사에 허비하고 있다.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
13일(현지	13/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
콜롬비아에서	콜롬비아/NNP+에서/JKB
열리는	열리/VV+는/ETM
미주기구(OAS)	미주기구/NNP+(/SS+OAS/SL+)/SS
정상회의에	정상/NNG+회의/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
출국하기	출국/NNG+하/XSV+기/ETN
전	전/NNG
스페인어방송	스페인어/NNP+방송/NNG
텔레문도TV와의	텔레문도TV/NNP+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“주민들은	“/SS+주민/NNG+들/XSN+은/JX
굶주리는데	굶주리/VV+는데/EC
북한은	북한/NNP+은/JX
수많은	수많/VA+은/ETM
돈을	돈/NNG+을/JKO
로켓	로켓/NNG
발사에	발사/NNG+에/JKB
허비하고	허비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.324.4.2
수십 년간 미사일 개발에 매달려왔지만 잘하는 것 같지는 않다”며 “우리는 북한에 대한 압박을 계속 강화하는 동시에 그들이 다른 길을 갈 때까지 고립시킬 것이다.

수십	수십/NR
년간	년/NNB+간/XSN
미사일	미사일/NNG
개발에	개발/NNG+에/JKB
매달려왔지만	매달리/VV+어/EC+오/VX+았/EP+지만/EC
잘하는	잘/MAG+하/XSV+는/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않다”며	않/VX+다/EF+”/SS+며/EC
“우리는	“/SS+우리/NP+는/JX
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박을	압박/NNG+을/JKO
계속	계속/MAG
강화하는	강화/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
그들이	그/NP+들/XSN+이/JKS
다른	다른/MMD
길을	길/NNG+을/JKO
갈	가/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
고립시킬	고립/NNG+시키/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.324.4.3
이를 위해 다른 나라와 공조할 것”이라고 했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
다른	다른/MMD
나라와	나라/NNG+와/JKB
