# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.261
metadata : {}


# id : NWRW1800000052.261.1.1
‘자살 생각’ 남성은 아내 없으면 2배, 여성은 남편 있으면 2배

‘자살	‘/SS+자살/NNG
생각’	생각/NNG+’/SS
남성은	남성/NNG+은/JX
아내	아내/NNG
없으면	없/VA+으면/EC
2배,	2/SN+배/NNG+,/SP
여성은	여성/NNG+은/JX
남편	남편/NNG
있으면	있/VA+으면/EC
2배	2/SN+배/NNG


# id : NWRW1800000052.261.2.1
충북보건과학대·단국대 교수팀 노인 2669명 조사

충북보건과학대·단국대	충북보건과학대/NNP+·/SP+단국대/NNP
교수팀	교수/NNG+팀/NNG
노인	노인/NNG
2669명	2669/SN+명/NNB
조사	조사/NNG


# id : NWRW1800000052.261.3.1
독거 남성은 부부가구 남성보다 자살 생각 2.3배

독거	독거/NNG
남성은	남성/NNG+은/JX
부부가구	부부/NNG+가구/NNG
남성보다	남성/NNG+보다/JKB
자살	자살/NNG
생각	생각/NNG
2.3배	2/SN+./SP+3/SN+배/NNG


# id : NWRW1800000052.261.4.1
부부가구 여성 노인은 남편보다 자살 생각 2배

부부가구	부부/NNG+가구/NNG
여성	여성/NNG
노인은	노인/NNG+은/JX
남편보다	남편/NNG+보다/JKB
자살	자살/NNG
생각	생각/NNG
2배	2/SN+배/NNG


# id : NWRW1800000052.261.5.1
수면부족·우울감 느끼는 것도 비슷한 경향 보여

수면부족·우울감	수면/NNG+부족/NNG+·/SP+우울감/NNG
느끼는	느끼/VV+는/ETM
것도	것/NNB+도/JX
비슷한	비슷하/VA+ㄴ/ETM
경향	경향/NNG
보여	보이/VV+어/EF


# id : NWRW1800000052.261.6.1
혼자 사는 남성노인은 아내와 함께 사는 남성노인보다, 남편과 같이 사는 여성노인은 남편보다 각각 자살 생각을 많이 하는 것으로 나타났다.

혼자	혼자/MAG
사는	살/VV+는/ETM
남성노인은	남성/NNG+노인/NNG+은/JX
아내와	아내/NNG+와/JKB
함께	함께/MAG
남성노인보다,	남성/NNG+노인/NNG+보다/JKB+,/SP
남편과	남편/NNG+과/JKB
같이	같이/MAG
여성노인은	여성/NNG+노인/NNG+은/JX
남편보다	남편/NNG+보다/JKB
각각	각각/MAG
자살	자살/NNG
생각을	생각/NNG+을/JKO
많이	많이/MAG
하는	하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.261.7.1
28일 박보영 충북보건과학대 간호학과 교수·권호장 단국대 예방의학과 교수팀이 2010~2012년 시행된 제5회 국민건강영양조사에 참여한 65살 이상 노인 2669명(남성 1225명, 여성 1444명)을 대상으로 조사한 결과를 보면, 혼자 사는 남성노인은 ‘지난 1년간 자살을 생각해 본 적이 있다’고 답한 비율이 아내와 함께 사는 남성노인의 2.3배였다.

28일	28/SN+일/NNB
박보영	박보영/NNP
충북보건과학대	충북보건과학대/NNP
간호학과	간호학과/NNG
교수·권호장	교수/NNG+·/SP+권호장/NNP
단국대	단국대/NNP
예방의학과	예방/NNG+의학과/NNG
교수팀이	교수/NNG+팀/NNG+이/JKS
2010~2012년	2010/SN+~/SO+2012/SN+년/NNB
시행된	시행/NNG+되/XSV+ㄴ/ETM
제5회	제/XPN+5/SN+회/NNB
국민건강영양조사에	국민/NNG+건강/NNG+영양/NNG+조사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
65살	65/SN+살/NNB
이상	이상/NNG
노인	노인/NNG
2669명(남성	2669/SN+명/NNB+(/SS+남성/NNG
1225명,	1225/SN+명/NNB+,/SP
여성	여성/NNG
1444명)을	1444/SN+명/NNB+)/SS+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
혼자	혼자/MAG
사는	살/VV+는/ETM
남성노인은	남성/NNG+노인/NNG+은/JX
‘지난	‘/SS+지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
자살을	자살/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
답한	답/NNG+하/XSV+ㄴ/ETM
비율이	비율/NNG+이/JKS
아내와	아내/NNG+와/JKB
함께	함께/MAG
남성노인의	남성/NNG+노인/NNG+의/JKG
2.3배였다.	2/SN+./SP+3/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.261.7.2
남편과 함께 사는 여성노인의 경우 자살을 생각해 본 비율이 남편의 2배였다.

남편과	남편/NNG+과/JKB
함께	함께/MAG
사는	살/VV+는/ETM
여성노인의	여성/NNG+노인/NNG+의/JKG
경우	경우/NNG
자살을	자살/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
비율이	비율/NNG+이/JKS
남편의	남편/NNG+의/JKG
2배였다.	2/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.261.7.3
이번 연구결과는 <한국보건간호학회지> 최근호에 실렸다.

이번	이번/NNG
연구결과는	연구/NNG+결과/NNG+는/JX
<한국보건간호학회지>	</SS+한국보건간호학회지/NNP+>/SS
최근호에	최근/NNG+호/NNB+에/JKB
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.261.8.1
잠자는 시간이 8시간 이하로 ‘수면 불충분’을 호소하는 비율 역시 남성노인의 경우 1인 가구가 부부가구보다 1.8배였다.

잠자는	잠자/VV+는/ETM
시간이	시간/NNG+이/JKS
8시간	8/SN+시간/NNB
이하로	이하/NNG+로/JKB
‘수면	‘/SS+수면/NNG
불충분’을	불충분/NNG+’/SS+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
비율	비율/NNG
역시	역시/MAG
남성노인의	남성/NNG+노인/NNG+의/JKG
경우	경우/NNG
1인	1/SN+인/NNG
가구가	가구/NNG+가/JKS
부부가구보다	부부/NNG+가구/NNG+보다/JKB
1.8배였다.	1/SN+./SP+8/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.261.8.2
부부가구인 경우에는 여성이 남성보다 수면시간이 불충분한 경우가 1.6배였다.

부부가구인	부부/NNG+가구/NNG+이/VCP+ㄴ/ETM
경우에는	경우/NNG+에/JKB+는/JX
여성이	여성/NNG+이/JKS
남성보다	남성/NNG+보다/JKB
수면시간이	수면/NNG+시간/NNG+이/JKS
불충분한	불충분/NNG+하/XSA+ㄴ/ETM
경우가	경우/NNG+가/JKS
1.6배였다.	1/SN+./SP+6/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.261.8.3
2주 이상 연속해서 우울감을 느꼈다고 답한 비율도 혼자 사는 남성노인이 부부가구인 남성노인보다 1.4배, 부부가구인 경우 여성이 남성보다 1.8배였다.

2주	2/SN+주/NNB
이상	이상/NNG
연속해서	연속/NNG+하/XSV+아서/EC
우울감을	우울감/NNG+을/JKO
느꼈다고	느끼/VV+었/EP+다고/EC
답한	답/NNG+하/XSV+ㄴ/ETM
비율도	비율/NNG+도/JX
혼자	혼자/MAG
사는	살/VV+는/ETM
남성노인이	남성/NNG+노인/NNG+이/JKS
부부가구인	부부/NNG+가구/NNG+이/VCP+ㄴ/ETM
남성노인보다	남성/NNG+노인/NNG+보다/JKB
1.4배,	1/SN+./SP+4/SN+배/NNG+,/SP
경우	경우/NNG
여성이	여성/NNG+이/JKS
남성보다	남성/NNG+보다/JKB
1.8배였다.	1/SN+./SP+8/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.261.8.4
연구팀은 연구 결과에 대해 “노년기에 배우자와의 동거 여부 및 성별에 따른 정신건강의 차이를 확인했다는 데 의의가 있다”며 “앞으로 노년기 정신건강을 위한 정책을 마련할 때 기초자료로 활용할 수 있을 것”이라고 밝혔다.

연구팀은	연구/NNG+팀/NNG+은/JX
연구	연구/NNG
결과에	결과/NNG+에/JKB
대해	대하/VV+아/EC
“노년기에	“/SS+노년기/NNG+에/JKB
배우자와의	배우자/NNG+와/JKB+의/JKG
동거	동거/NNG
여부	여부/NNG
및	및/MAG
성별에	성별/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정신건강의	정신/NNG+건강/NNG+의/JKG
차이를	차이/NNG+를/JKO
확인했다는	확인/NNG+하/XSV+았/EP+다는/ETM
데	데/NNB
의의가	의의/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
노년기	노년기/NNG
정신건강을	정신/NNG+건강/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책을	정책/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
때	때/NNG
기초자료로	기초/NNG+자료/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.261.9.1
이번 연구에서 연구팀은 조사대상자를 성별에 따라 혼자 사는 1인가구와 배우자와 함께 사는 부부가구로 구분했는데, 남성노인의 경우 대다수가 배우자와 함께 살고 있었고 여성노인은 독거비율이 상대적으로 높았다.

이번	이번/NNG
연구에서	연구/NNG+에서/JKB
연구팀은	연구/NNG+팀/NNG+은/JX
조사대상자를	조사/NNG+대상자/NNG+를/JKO
성별에	성별/NNG+에/JKB
따라	따르/VV+아/EC
혼자	혼자/MAG
사는	살/VV+는/ETM
1인가구와	1/SN+인/NNG+가구/NNG+와/JC
배우자와	배우자/NNG+와/JKB
함께	함께/MAG
부부가구로	부부/NNG+가구/NNG+로/JKB
구분했는데,	구분/NNG+하/XSV+았/EP+는데/EC+,/SP
남성노인의	남성/NNG+노인/NNG+의/JKG
경우	경우/NNG
대다수가	대/XPN+다수/NNG+가/JKS
살고	살/VV+고/EC
있었고	있/VX+었/EP+고/EC
여성노인은	여성/NNG+노인/NNG+은/JX
독거비율이	독거/NNG+비율/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000052.261.9.2
남성노인의 부부가구 비율은 89.3%로 나타났고 1인가구는 10.7%에 불과했으나, 여성노인은 부부가구 비율이 55.4%, 1인가구는 44.6%로 조사됐다.

남성노인의	남성/NNG+노인/NNG+의/JKG
부부가구	부부/NNG+가구/NNG
비율은	비율/NNG+은/JX
89.3%로	89/SN+./SP+3/SN+%/SW+로/JKB
나타났고	나타나/VV+았/EP+고/EC
1인가구는	1/SN+인/NNG+가구/NNG+는/JX
10.7%에	10/SN+./SP+7/SN+%/SW+에/JKB
불과했으나,	불과/MAG+하/XSA+았/EP+으나/EC+,/SP
여성노인은	여성/NNG+노인/NNG+은/JX
비율이	비율/NNG+이/JKS
55.4%,	55/SN+./SP+4/SN+%/SW+,/SP
44.6%로	44/SN+./SP+6/SN+%/SW+로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


