# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.60
metadata : {}


# id : NWRW1800000046.60.1.1
자연 그대로를 조각한 大家, 그의 소박함을 기리다

자연	자연/NNG
그대로를	그대로/NNG+를/JKO
조각한	조각/NNG+하/XSV+ㄴ/ETM
大家,	大家/SH+,/SP
그의	그/NP+의/JKG
소박함을	소박하/VA+ㅁ/ETN+을/JKO
기리다	기리/VV+다/EF


# id : NWRW1800000046.60.2.1
韓 추상 조각의 선구자 김종영, 탄생 100년 기념展 3곳서 열려

韓	韓/SH
추상	추상/NNG
조각의	조각/NNG+의/JKG
선구자	선구자/NNG
김종영,	김종영/NNP+,/SP
탄생	탄생/NNG
100년	100/SN+년/NNB
기념展	기념/NNG+展/SH
3곳서	3/SN+곳/NNG+서/JKB
열려	열리/VV+어/EF


# id : NWRW1800000046.60.3.1
추상 조각 속에 산도 있고 바람도 있다.

추상	추상/NNG
조각	조각/NNG
속에	속/NNG+에/JKB
산도	산/NNG+도/JX
있고	있/VA+고/EC
바람도	바람/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.60.3.2
둥글둥글한 나무 조각은 사람의 몸을, 기하학적 선으로 이뤄진 돌 조각은 나뭇잎을 닮았다.

둥글둥글한	둥글둥글/MAG+하/XSA+ㄴ/ETM
나무	나무/NNG
조각은	조각/NNG+은/JX
사람의	사람/NNG+의/JKG
몸을,	몸/NNG+을/JKO+,/SP
기하학적	기하학/NNG+적/XSN
선으로	선/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
돌	돌/NNG
나뭇잎을	나뭇잎/NNG+을/JKO
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.3.3
한국 추상 조각의 선구자 우성(又誠) 김종영(1915~1982) 탄생 100주년을 맞아 관련 전시가 풍성하다.

한국	한국/NNP
추상	추상/NNG
조각의	조각/NNG+의/JKG
선구자	선구자/NNG
우성(又誠)	우성/NNP+(/SS+又誠/SH+)/SS
김종영(1915~1982)	김종영/NNP+(/SS+1915/SN+~/SO+1982/SN+)/SS
탄생	탄생/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
관련	관련/NNG
전시가	전시/NNG+가/JKS
풍성하다.	풍성/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.60.4.1
경남 창원에서 태어난 김종영은 어린 시절 할아버지와 아버지에게 한학과 서예를 배웠다.

경남	경남/NNP
창원에서	창원/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
김종영은	김종영/NNP+은/JX
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
할아버지와	할아버지/NNG+와/JC
아버지에게	아버지/NNG+에게/JKB
한학과	한학/NNG+과/JC
서예를	서예/NNG+를/JKO
배웠다.	배우/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.60.4.2
휘문고보를 거쳐 1930년대 일본 동경미술학교에서 유학했다.

휘문고보를	휘문고보/NNP+를/JKO
거쳐	거치/VV+어/EC
1930년대	1930/SN+년대/NNB
일본	일본/NNP
동경미술학교에서	동경미술학교/NNP+에서/JKB
유학했다.	유학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.4.3
서울대 교수를 지내며(1948~1980) 많은 제자를 길러낸 교육자였고 현대 한국 조각의 기반을 닦은 개척자였다.

서울대	서울대/NNP
교수를	교수/NNG+를/JKO
지내며(1948~1980)	지내/VV+며/EC+(/SS+1948/SN+~/SO+1980/SN+)/SS
많은	많/VA+은/ETM
제자를	제자/NNG+를/JKO
길러낸	기르/VV+어/EC+내/VX+ㄴ/ETM
교육자였고	교육자/NNG+이/VCP+었/EP+고/EC
현대	현대/NNG
한국	한국/NNP
조각의	조각/NNG+의/JKG
기반을	기반/NNG+을/JKO
닦은	닦/VV+은/ETM
개척자였다.	개척자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.60.4.4
그는 "내 작품의 주요 모티브는 인물, 식물, 산"이라고 했다.

그는	그/NP+는/JX
"내	"/SS+나/NP+의/JKG
작품의	작품/NNG+의/JKG
주요	주요/NNG
모티브는	모티브/NNG+는/JX
인물,	인물/NNG+,/SP
식물,	식물/NNG+,/SP
산"이라고	산/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.4.5
기술은 단순하고 소박할수록 좋다며 자신의 작품 세계를 '불각(不刻)의 미(손대지 않은 아름다움)'라고 소개했다.

기술은	기술/NNG+은/JX
단순하고	단순/NNG+하/XSA+고/EC
소박할수록	소박하/VA+ㄹ수록/EC
좋다며	좋/VA+다며/EC
자신의	자신/NNG+의/JKG
작품	작품/NNG
세계를	세계/NNG+를/JKO
'불각(不刻)의	'/SS+불각/NNG+(/SS+不刻/SH+)/SS+의/JKG
미(손대지	미/NNG+(/SS+손대/VV+지/EC
않은	않/VX+은/ETM
아름다움)'라고	아름다움/NNG+)/SS+'/SS+라고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.4.6
자연의 본질, 재료의 특성을 완전히 꿰뚫고 최소한의 손질로만 이를 되살려낸다는 말이다.

자연의	자연/NNG+의/JKG
본질,	본질/NNG+,/SP
재료의	재료/NNG+의/JKG
특성을	특성/NNG+을/JKO
완전히	완전히/MAG
꿰뚫고	꿰뚫/VV+고/EC
최소한의	최소한/NNG+의/JKG
손질로만	손질/NNG+로/JKB+만/JX
이를	이/NP+를/JKO
되살려낸다는	되살리/VV+어/EC+내/VX+ㄴ다는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.60.5.1
서울대미술관과 김종영미술관에서 '불각의 아름다움, 조각가 김종영과 그 시대'전이 동시에 열리고 있다.

서울대미술관과	서울대미술관/NNP+과/JC
김종영미술관에서	김종영미술관/NNP+에서/JKB
'불각의	'/SS+불각/NNG+의/JKG
아름다움,	아름다움/NNG+,/SP
조각가	조각가/NNG
김종영과	김종영/NNP+과/JC
그	그/MMD
시대'전이	시대/NNG+'/SS+전/NA+이/JKS
동시에	동시/NNG+에/JKB
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.60.5.2
최태만 국민대 교수가 예술감독을 맡았다.

최태만	최태만/NNP
국민대	국민대/NNP
교수가	교수/NNG+가/JKS
예술감독을	예술/NNG+감독/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.60.6.1
서울대미술관 전시는 1950년대 제작한 초기 추상 조각 3점으로 시작한다.

서울대미술관	서울대미술관/NNP
전시는	전시/NNG+는/JX
1950년대	1950/SN+년대/NNB
제작한	제작/NNG+하/XSV+ㄴ/ETM
초기	초기/NNG
추상	추상/NNG
조각	조각/NNG
3점으로	3/SN+점/NNB+으로/JKB
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.60.6.2
'새'와 '꿈', '전설'.

'새'와	'/SS+새/NNG+'/SS+와/JC
'꿈',	'/SS+꿈/NNG+'/SS+,/SP
'전설'.	'/SS+전설/NNP+'/SS+./SF


# id : NWRW1800000046.60.6.3
특히 그가 1953년 제2회 '국전'에 출품한 '새〈사진〉'는 한국 최초 추상 조각으로서 미술사에 한 획을 긋는 작품이다.

특히	특히/MAG
그가	그/NP+가/JKS
1953년	1953/SN+년/NNB
제2회	제/XPN+2/SN+회/NNB
'국전'에	'/SS+국전/NNG+'/SS+에/JKB
출품한	출품/NNG+하/XSV+ㄴ/ETM
'새〈사진〉'는	'/SS+새/NNG+〈/SS+사진/NNG+〉/SS+'/SS+는/JX
한국	한국/NNP
최초	최초/NNG
추상	추상/NNG
조각으로서	조각/NNG+으로서/JKB
미술사에	미술사/NNG+에/JKB
한	한/MMN
획을	획/NNG+을/JKO
긋는	긋/VV+는/ETM
