# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.329
metadata : {}


# id : NWRW1800000033.329.1.1
北전투기, 전술조치선 근접… 공군 대응출격

北전투기,	北/SH+전투기/NNG+,/SP
전술조치선	전술/NNG+조치선/NNG
근접…	근접/NNG+…/SE
공군	공군/NNG
대응출격	대응/NNG+출격/NNG


# id : NWRW1800000033.329.2.1
5일 수호이기 개성상공 접근

5일	5/SN+일/NNB
수호이기	수호이기/NNP
개성상공	개성/NNP+상공/NNG
접근	접근/NNG


# id : NWRW1800000033.329.3.1
北 5월 중순 이후 출격 급증… 軍, 서북도서 도발 대책 마련

北	北/SH
5월	5/SN+월/NNB
중순	중순/NNG
이후	이후/NNG
출격	출격/NNG
급증…	급증/NNG+…/SE
軍,	軍/SH+,/SP
서북도서	서북/NNG+도서/NNG
도발	도발/NNG
대책	대책/NNG
마련	마련/NNG


# id : NWRW1800000033.329.4.1
북한 공군의 수호이(SU-25) 전투기 1대가 5일 전술조치선(TAL)을 넘어 개성 상공까지 접근해 한국 공군 전투기 4대가 대응 출격했다고 군 당국이 밝혔다.

북한	북한/NNP
공군의	공군/NNG+의/JKG
수호이(SU-25)	수호이/NNP+(/SS+SU/SL+-/SO+25/SN+)/SS
전투기	전투기/NNG
1대가	1/SN+대/NNB+가/JKS
5일	5/SN+일/NNB
전술조치선(TAL)을	전술/NNG+조치선/NNG+(/SS+TAL/SL+)/SS+을/JKO
넘어	넘/VV+어/EC
개성	개성/NNP
상공까지	상공/NNG+까지/JX
접근해	접근/NNG+하/XSV+아/EC
한국	한국/NNP
공군	공군/NNG
4대가	4/SN+대/NNB+가/JKS
대응	대응/NNG
출격했다고	출격/NNG+하/XSV+았/EP+다고/EC
군	군/NNG
당국이	당국/NNG+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.329.4.2
군 고위 관계자는 6일 “북한 전투기는 TAL을 넘어 개성 상공까지 두세 차례 위협 비행하다 아군 전투기들이 출격하자 되돌아갔다”며 “이후 특이한 동향은 관측되지 않고 있다”고 말했다.

군	군/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
6일	6/SN+일/NNB
“북한	“/SS+북한/NNP
전투기는	전투기/NNG+는/JX
TAL을	TAL/SL+을/JKO
넘어	넘/VV+어/EC
개성	개성/NNP
상공까지	상공/NNG+까지/JX
두세	두세/MMN
