# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.74
metadata : {}


# id : NWRW1800000021.74.1.1
[수도권]경인운하 해사부두 어디로…

[수도권]경인운하	[/SS+수도/NNG+권/XSN+]/SS+경인운하/NNP
해사부두	해사/NNG+부두/NNG
어디로…	어디/NP+로/JKB+…/SE


# id : NWRW1800000021.74.2.1
이달 말 착공되는 경인운하사업의 주요 시설 중 하나인 해사부두(바닷모래야적장) 용지 선정을 둘러싸고 당국과 주민들이 마찰을 빚어 표류할 조짐을 보이고 있다.

이달	이달/NNG
말	말/NNB
착공되는	착공/NNG+되/XSV+는/ETM
경인운하사업의	경인운하/NNP+사업/NNG+의/JKG
주요	주요/NNG
시설	시설/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
해사부두(바닷모래야적장)	해사/NNG+부두/NNG+(/SS+바닷모래/NNG+야적장/NNG+)/SS
용지	용지/NNG
선정을	선정/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
당국과	당국/NNG+과/JC
주민들이	주민/NNG+들/XSN+이/JKS
마찰을	마찰/NNG+을/JKO
빚어	빚/VV+어/EC
표류할	표류/NNG+하/XSV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.74.3.1
해사부두 예정지였던 경기 김포시 고촌면 주민들이 강력 반발해 국토해양부가 다른 곳에 짓기로 했지만 대체지를 마련하기가 쉽지 않은 상황이다.

해사부두	해사/NNG+부두/NNG
예정지였던	예정지/NNG+이/VCP+었/EP+던/ETM
경기	경기/NNP
김포시	김포시/NNP
고촌면	고촌면/NNP
주민들이	주민/NNG+들/XSN+이/JKS
강력	강력/NNG
반발해	반발/NNG+하/XSV+아/EC
국토해양부가	국토/NNG+해양부/NNG+가/JKS
다른	다른/MMD
곳에	곳/NNG+에/JKB
짓기로	짓/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
대체지를	대체지/NNG+를/JKO
마련하기가	마련/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.74.4.1
○ 주민 반대로 새 용지 검토

○	○/SW
주민	주민/NNG
반대로	반대/NNG+로/JKB
새	새/MMA
용지	용지/NNG
검토	검토/NNG


# id : NWRW1800000021.74.5.1
해사부두는 4만3000여 m² 규모로 당초 행주대교 남단에 지을 예정이었지만 철새 경유지와 가깝다는 지적이 나와 서울 난지도 부근에 세우기로 했다.

해사부두는	해사/NNG+부두/NNG+는/JX
4만3000여	4/SN+만/NR+3000/SN+여/XSN
m²	m²/SW
규모로	규모/NNG+로/JKB
당초	당초/NNG
행주대교	행주대교/NNP
남단에	남단/NNG+에/JKB
지을	짓/VV+을/ETM
예정이었지만	예정/NNG+이/VCP+었/EP+지만/EC
철새	철새/NNG
경유지와	경유지/NNG+와/JKB
가깝다는	가깝/VA+다는/ETM
지적이	지적/NNG+이/JKS
나와	나오/VV+아/EC
서울	서울/NNP
난지도	난지도/NNP
부근에	부근/NNG+에/JKB
세우기로	세우/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.74.5.2
그러나 서울 도심에 부두를 설립하는 방안을 서울시가 반대해 김포터미널(약 200만 m²) 바로 옆으로 낙착됐다.

그러나	그러나/MAJ
서울	서울/NNP
도심에	도심/NNG+에/JKB
부두를	부두/NNG+를/JKO
설립하는	설립/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
서울시가	서울시/NNP+가/JKS
반대해	반대/NNG+하/XSV+아/EC
김포터미널(약	김포터미널/NNP+(/SS+약/MMA
200만	200/SN+만/NR
m²)	m²/SW+)/SS
바로	바로/MAG
옆으로	옆/NNG+으로/JKB
낙착됐다.	낙착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.74.6.1
그러자 고촌면 주민들은 ‘고촌면 해사부두 설치 반대를 위한 비상대책위원회’를 구성해 해사부두 설치에 반대하는 성명을 발표하고 이달 1일 고촌면 신곡초교에서 집회를 열었다.

그러자	그러/VV+자/EC
고촌면	고촌면/NNP
주민들은	주민/NNG+들/XSN+은/JX
‘고촌면	‘/SS+고촌면/NNP
해사부두	해사/NNG+부두/NNG
설치	설치/NNG
반대를	반대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
비상대책위원회’를	비상/NNG+대책/NNG+위원회/NNG+’/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
설치에	설치/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
성명을	성명/NNG+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
이달	이달/NNG
1일	1/SN+일/NNB
신곡초교에서	신곡초교/NNP+에서/JKB
집회를	집회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.74.7.1
김찬식 비대위원장은 “해사부두에서 날리는 먼지와 소금기 섞인 모래는 호흡기질환을 일으키고 생물의 동화작용을 막아 주변을 사막화하기 때문에 절대 받아들일 수 없다”고 주장했다.

김찬식	김찬식/NNP
비대위원장은	비대위원장/NNG+은/JX
“해사부두에서	“/SS+해사/NNG+부두/NNG+에서/JKB
날리는	날리/VV+는/ETM
먼지와	먼지/NNG+와/JKB
소금기	소금/NNG+기/XSN
섞인	섞이/VV+ㄴ/ETM
모래는	모래/NNG+는/JX
호흡기질환을	호흡기/NNG+질환/NNG+을/JKO
일으키고	일으키/VV+고/EC
생물의	생물/NNG+의/JKG
동화작용을	동화/NNG+작용/NNG+을/JKO
막아	막/VV+아/EC
주변을	주변/NNG+을/JKO
사막화하기	사막/NNG+화/XSN+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
절대	절대/MAG
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.74.7.2
주민 이모 씨(38)는 “해사부두를 주택가 근처에 짓는 것은 쾌적한 환경을 만들고 녹색성장을 실현하겠다는 경인운하 본래 취지에 정면으로 위배된다”고 말했다.

주민	주민/NNG
이모	이/NNP+모/NP
씨(38)는	씨/NNB+(/SS+38/SN+)/SS+는/JX
“해사부두를	“/SS+해사/NNG+부두/NNG+를/JKO
주택가	주택가/NNG
근처에	근처/NNG+에/JKB
짓는	짓/VV+는/ETM
것은	것/NNB+은/JX
쾌적한	쾌적하/VA+ㄴ/ETM
환경을	환경/NNG+을/JKO
만들고	만들/VV+고/EC
녹색성장을	녹색/NNG+성장/NNG+을/JKO
실현하겠다는	실현/NNG+하/XSV+겠/EP+다는/ETM
경인운하	경인운하/NNP
본래	본래/NNG
취지에	취지/NNG+에/JKB
정면으로	정면/NNG+으로/JKB
위배된다”고	위배/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.74.8.1
현재 한국수자원공사와 비대위, 김포시 등이 참여하는 태스크포스(TF)가 구성돼 대체 용지를 물색하고 있다.

현재	현재/MAG
한국수자원공사와	한국수자원공사/NNP+와/JC
비대위,	비대위/NNG+,/SP
김포시	김포시/NNP
등이	등/NNB+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
태스크포스(TF)가	태스크포스/NNG+(/SS+TF/SL+)/SS+가/JKS
구성돼	구성/NNG+되/XSV+어/EC
대체	대체/NNG
용지를	용지/NNG+를/JKO
물색하고	물색/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.74.8.2
국토부 관계자는 “경인운하 세부설계안을 검토해 4, 5월경 용지를 최종 결정할 예정”이라고 말했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“경인운하	“/SS+경인운하/NNP
세부설계안을	세부/NNG+설계안/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
4,	4/SN+,/SP
5월경	5/SN+월/NNB+경/XSN
용지를	용지/NNG+를/JKO
최종	최종/NNG
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.74.9.1
○ 이러지도 저러지도 못하는 해사부두

○	○/SW
이러지도	이러/VV+지/EC+도/JX
저러지도	저러/VV+지/EC+도/JX
못하는	못하/VX+는/ETM
해사부두	해사/NNG+부두/NNG


# id : NWRW1800000021.74.10.1
모래는 경인운하를 통해 운송할 물동량의 주요 부분을 차지한다.

모래는	모래/NNG+는/JX
경인운하를	경인운하/NNP+를/JKO
통해	통하/VV+아/EC
운송할	운송/NNG+하/XSV+ㄹ/ETM
물동량의	물동량/NNG+의/JKG
주요	주요/NNG
부분을	부분/NNG+을/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.74.11.1
