# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.93
metadata : {}


# id : NWRW1800000045.93.1.1
[토요판 커버스토리]부모님과 함께 떠날 만한 여행지는

[토요판	[/SS+토요판/NNG
커버스토리]부모님과	커버스토리/NNG+]/SS+부모/NNG+님/XSN+과/JKB
함께	함께/MAG
떠날	떠나/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
여행지는	여행지/NNG+는/JX


# id : NWRW1800000045.93.2.1
남해 독일마을… 대구 近代골목… 걷다보면 얘기꽃 활짝

남해	남해/NNP
독일마을…	독일/NNP+마을/NNG+…/SE
대구	대구/NNP
近代골목…	近代/SH+골목/NNG+…/SE
걷다보면	걷/VV+다/EC+보/VX+면/EC
얘기꽃	얘기꽃/NNG
활짝	활짝/MAG


# id : NWRW1800000045.93.3.1
부모님을 모시고 여행을 가고 싶지만 막상 마땅한 여행지를 찾지 못할 때가 많습니다.

부모님을	부모/NNG+님/XSN+을/JKO
모시고	모시/VV+고/EC
여행을	여행/NNG+을/JKO
가고	가/VV+고/EC
싶지만	싶/VX+지만/EC
막상	막상/MAG
마땅한	마땅하/VA+ㄴ/ETM
여행지를	여행지/NNG+를/JKO
찾지	찾/VV+지/EC
못할	못하/VX+ㄹ/ETM
때가	때/NNG+가/JKS
많습니다.	많/VA+습니다/EF+./SF


# id : NWRW1800000045.93.3.2
동남아시아의 휴양지나 일본의 유명 온천처럼 편하게 쉬는 곳을 찾아보다가도 “아직은 그럴 나이가 아니다”라는 부모님의 말씀에 고민이 더 깊어지기 일쑤입니다.

동남아시아의	동남아시아/NNP+의/JKG
휴양지나	휴양지/NNG+나/JC
일본의	일본/NNP+의/JKG
유명	유명/NNG
온천처럼	온천/NNG+처럼/JKB
편하게	편하/VA+게/EC
쉬는	쉬/VV+는/ETM
곳을	곳/NNG+을/JKO
찾아보다가도	찾아보/VV+다가/EC+도/JX
“아직은	“/SS+아직/MAG+은/JX
그럴	그러/VV+ㄹ/ETM
나이가	나이/NNG+가/JKC
아니다”라는	아니/VCN+다/EF+”/SS+이/VCP+라는/ETM
부모님의	부모/NNG+님/XSN+의/JKG
말씀에	말씀/NNG+에/JKB
고민이	고민/NNG+이/JKS
더	더/MAG
깊어지기	깊어지/VV+기/ETN
일쑤입니다.	일쑤/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.93.4.1
그래서 ‘여행 전문가’에게 직접 물었습니다.

그래서	그래서/MAJ
‘여행	‘/SS+여행/NNG
전문가’에게	전문가/NNG+’/SS+에게/JKB
직접	직접/MAG
물었습니다.	묻/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000045.93.5.1
“휴양지나 온천처럼 식상한 곳은 싫어하세요.

“휴양지나	“/SS+휴양지/NNG+나/JC
온천처럼	온천/NNG+처럼/JKB
식상한	식상/NNG+하/XSA+ㄴ/ETM
곳은	곳/NNG+은/JX
싫어하세요.	싫어하/VV+시/EP+어요/EF+./SF


# id : NWRW1800000045.93.5.2
그렇다고 젊은 사람들 다니는 배낭여행을 가자니 힘들어하실 것 같습니다.

그렇다고	그렇/VA+다고/EC
젊은	젊/VA+은/ETM
사람들	사람/NNG+들/XSN
다니는	다니/VV+는/ETM
배낭여행을	배낭여행/NNG+을/JKO
가자니	가/VV+자니/EC
힘들어하실	힘들/VA+어/EC+하/VX+시/EP+ㄹ/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


# id : NWRW1800000045.93.5.3
도대체 부모님을 만족시켜 드릴 만한 국내외 여행지는 어디일까요.”

도대체	도대체/MAG
부모님을	부모/NNG+님/XSN+을/JKO
만족시켜	만족/NNG+시키/XSV+어/EC
드릴	드리/VX+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
국내외	국내외/NNG
여행지는	여행지/NNG+는/JX
어디일까요.”	어디/NP+이/VCP+ㄹ까/EF+요/JX+./SF+”/SS


# id : NWRW1800000045.93.6.1
대한민국여행작가협동조합 이동미 이사장은 “부모님이 나이가 있는 편이라면 ‘남해 독일마을’과 ‘대구 근대(近代) 골목’을 추천한다”며 “이곳에 가면 뒤따라오시기만 하던 어른들이 앞서 걸으며 당시 생활상을 설명하는 모습을 볼 수 있을 것”이라고 답했습니다.

대한민국여행작가협동조합	대한민국여행작가협동조합/NNP
이동미	이동미/NNP
이사장은	이사장/NNG+은/JX
“부모님이	“/SS+부모/NNG+님/XSN+이/JKS
나이가	나이/NNG+가/JKS
있는	있/VA+는/ETM
편이라면	편/NNB+이/VCP+라면/EC
‘남해	‘/SS+남해/NNP
독일마을’과	독일/NNP+마을/NNG+’/SS+과/JC
‘대구	‘/SS+대구/NNP
근대(近代)	근대/NNG+(/SS+近代/SH+)/SS
골목’을	골목/NNG+’/SS+을/JKO
추천한다”며	추천/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이곳에	“/SS+이곳/NP+에/JKB
가면	가/VV+면/EC
뒤따라오시기만	뒤따라오/VV+시/EP+기/ETN+만/JX
하던	하/VX+던/ETM
어른들이	어른/NNG+들/XSN+이/JKS
앞서	앞서/VV+어/EC
걸으며	걷/VV+으며/EC
당시	당시/NNG
생활상을	생활상/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
답했습니다.	답/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000045.93.7.1
경남 남해 독일마을은 1960년대 가족과 나라를 위해 먼 타국으로 떠났던 교포들이 돌아와 꾸린 작은 마을입니다.

경남	경남/NNP
남해	남해/NNP
독일마을은	독일/NNP+마을/NNG+은/JX
1960년대	1960/SN+년대/NNB
가족과	가족/NNG+과/JC
나라를	나라/NNG+를/JKO
위해	위하/VV+아/EC
먼	멀/VA+ㄴ/ETM
타국으로	타국/NNG+으로/JKB
떠났던	떠나/VV+았/EP+던/ETM
교포들이	교포/NNG+들/XSN+이/JKS
돌아와	돌아오/VV+아/EC
꾸린	꾸리/VV+ㄴ/ETM
작은	작/VA+은/ETM
마을입니다.	마을/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.93.7.2
남해 바다를 배경으로 독일식 건축물들이 자리 잡고 있어 이국적 풍경이 인상적입니다.

남해	남해/NNP
