# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.44
metadata : {}


# id : NWRW1800000033.44.1.1
전기車 사실상 실패 ‘충격’…하이브리드가 살길

전기車	전기/NNG+車/SH
사실상	사실/NNG+상/XSN
실패	실패/NNG
‘충격’…하이브리드가	‘/SS+충격/NNG+’/SS+…/SE+하이브리드/NNG+가/JKS
살길	살길/NNG


# id : NWRW1800000033.44.2.1
“3년간 21개 하이브리드 모델 출시” 도요타 “매년 100만대 판매”… 전기자동차엔 회의적 시각

“3년간	“/SS+3/SN+년/NNB+간/XSN
21개	21/SN+개/NNB
하이브리드	하이브리드/NNG
모델	모델/NNG
출시”	출시/NNG+”/SS
도요타	도요타/NNP
“매년	“/SS+매년/MAG
100만대	100/SN+만/NR+대/NNB
판매”…	판매/NNG+”/SS+…/SE
전기자동차엔	전기/NNG+자동차/NNG+에/JKB+ㄴ/JX
회의적	회의/NNG+적/XSN
시각	시각/NNG


# id : NWRW1800000033.44.3.1
도요타자동차가 앞으로 3년간 21개의 하이브리드 모델을 선보이며 매년 100만 대 이상 팔겠다는 목표를 밝혔다.

도요타자동차가	도요타자동차/NNP+가/JKS
앞으로	앞/NNG+으로/JKB
3년간	3/SN+년/NNB+간/XSN
21개의	21/SN+개/NNB+의/JKG
하이브리드	하이브리드/NNG
모델을	모델/NNG+을/JKO
선보이며	선보이/VV+며/EC
매년	매년/MAG
100만	100/SN+만/NR
대	대/NNB
이상	이상/NNG
팔겠다는	팔/VV+겠/EP+다는/ETM
목표를	목표/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.44.3.2
지난해 도요타는 세계적으로 62만8900대의 하이브리드 차를 팔았다.

지난해	지난해/NNG
도요타는	도요타/NNP+는/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
62만8900대의	62/SN+만/NR+8900/SN+대/NNB+의/JKG
하이브리드	하이브리드/NNG
차를	차/NNG+를/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.44.4.1
도요타는 24일 일본 도쿄 오다이바의 메가웹에서 가진 ‘도요타 환경기술개발 설명회’를 통해 2015년까지의 친환경차 로드맵을 발표했다.

도요타는	도요타/NNP+는/JX
24일	24/SN+일/NNB
일본	일본/NNP
도쿄	도쿄/NNP
오다이바의	오다이바/NNP+의/JKG
메가웹에서	메가웹/NNP+에서/JKB
가진	가지/VV+ㄴ/ETM
‘도요타	‘/SS+도요타/NNP
환경기술개발	환경/NNG+기술/NNG+개발/NNG
설명회’를	설명회/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
2015년까지의	2015/SN+년/NNB+까지/JX+의/JKG
친환경차	친/XPN+환경/NNG+차/NNG
로드맵을	로드맵/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.44.4.2
도요타는 올해부터 2015년까지 3년간 신형 하이브리드 모델 21종을 내놓을 예정이다.

도요타는	도요타/NNP+는/JX
올해부터	올해/NNG+부터/JX
2015년까지	2015/SN+년/NNB+까지/JX
3년간	3/SN+년/NNB+간/XSN
신형	신형/NNG
하이브리드	하이브리드/NNG
모델	모델/NNG
21종을	21/SN+종/NNG+을/JKO
내놓을	내놓/VV+을/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.44.4.3
이 가운데 14종은 새로운 모델로 선보일 예정이며 7종은 ‘프리우스’ 등 이미 출시한 하이브리드 차량을 개선한 모델이다.

이	이/NP
가운데	가운데/NNG
14종은	14/SN+종/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
모델로	모델/NNG+로/JKB
선보일	선보이/VV+ㄹ/ETM
예정이며	예정/NNG+이/VCP+며/EC
7종은	7/SN+종/NNG+은/JX
‘프리우스’	‘/SS+프리우스/NNP+’/SS
등	등/NNB
이미	이미/MAG
출시한	출시/NNG+하/XSV+ㄴ/ETM
하이브리드	하이브리드/NNG
차량을	차량/NNG+을/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
