# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.118
metadata : {}


# id : NWRW1800000036.118.1.1
난 왜 ‘야동’에 관심 없지?‘성’스러운 고민 빠진 15살

난	나/NP+ㄴ/JX
왜	왜/MAG
‘야동’에	‘/SS+야동/NNG+’/SS+에/JKB
관심	관심/NNG
없지?‘성’스러운	없/VA+지/EF+?/SF+‘/SS+성/NNG+’/SS+스럽/XSA+ㄴ/ETM
고민	고민/NNG
빠진	빠지/VV+ㄴ/ETM
15살	15/SN+살/NNB


# id : NWRW1800000036.118.2.1
[한겨레] 유럽 청소년문학 대가의 소설

[한겨레]	[/SS+한겨레/NNP+]/SS
유럽	유럽/NNP
청소년문학	청소년/NNG+문학/NNG
대가의	대가/NNG+의/JKG
소설	소설/NNG


# id : NWRW1800000036.118.3.1
성적 호기심 없는 소년 통해

성적	성/NNG+적/XSN
호기심	호기심/NNG
없는	없/VA+는/ETM
소년	소년/NNG
통해	통하/VV+아/EF


# id : NWRW1800000036.118.4.1
좌충우돌 정체성 찾기 담아

좌충우돌	좌충우돌/NNG
정체성	정체/NNG+성/XSN
찾기	찾/VV+기/ETN
담아	담/VV+아/EF


# id : NWRW1800000036.118.5.1
<나는, 심각하다>크리스티네 뇌스틀링거 지음, 이미화 옮김/한겨레틴틴·1만원

<나는,	</SS+나/NP+는/JX+,/SP
심각하다>크리스티네	심각하/VA+다/EF+>/SS+크리스티네/NNP
뇌스틀링거	뇌스틀링거/NNP
지음,	짓/VV+음/ETN+,/SP
이미화	이미화/NNP
옮김/한겨레틴틴·1만원	옮기/VV+ㅁ/ETN+//SP+한겨레틴틴/NNG+·/SP+1/SN+만/NR+원/NNB


# id : NWRW1800000036.118.6.1
‘청소년’과 ‘성’을 연결지으면, 야한 잡지나 동영상을 부모 몰래 들여다보거나 이성친구를 만들어 직간접적으로 알게 된 ‘어른들이 하는 일’을 해보고 싶어 안달난 청소년들의 모습 등이 자연스럽게 떠오른다.

‘청소년’과	‘/SS+청소년/NNG+’/SS+과/JC
‘성’을	‘/SS+성/NNG+’/SS+을/JKO
연결지으면,	연결/NNG+짓/VV+으면/EC+,/SP
야한	야하/VA+ㄴ/ETM
잡지나	잡지/NNG+나/JC
동영상을	동영상/NNG+을/JKO
부모	부모/NNG
몰래	몰래/MAG
들여다보거나	들여다보/VV+거나/EC
이성친구를	이성/NNG+친구/NNG+를/JKO
만들어	만들/VV+어/EC
직간접적으로	직간접/NNG+적/XSN+으로/JKB
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
‘어른들이	‘/SS+어른/NNG+들/XSN+이/JKS
하는	하/VV+는/ETM
일’을	일/NNG+’/SS+을/JKO
해보고	해보/VV+고/EC
싶어	싶/VX+어/EC
안달난	안달/NNG+나/VV+ㄴ/ETM
청소년들의	청소년/NNG+들/XSN+의/JKG
모습	모습/NNG
등이	등/NNB+이/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.118.6.2
그러나 흔히 생각하는 것처럼 모든 청소년들이 성에 대한 주체할 수 없는 호기심과 발산할 수 없는 성적 충동으로 괴로워하는 것은 아니다.

그러나	그러나/MAJ
흔히	흔히/MAG
생각하는	생각/NNG+하/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
모든	모든/MMN
청소년들이	청소년/NNG+들/XSN+이/JKS
성에	성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주체할	주체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
호기심과	호기심/NNG+과/JC
발산할	발산/NNG+하/XSV+ㄹ/ETM
성적	성/NNG+적/XSN
충동으로	충동/NNG+으로/JKB
괴로워하는	괴로워하/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000036.118.6.3
어쩌면 그런 선입견은 ‘청소년의 눈높이에서 그들의 욕구를 이해해야 한다’는 어른들의 강박관념 속에서 만들어진 것인지도 모른다.

어쩌면	어쩌면/MAG
그런	그런/MMD
선입견은	선입견/NNG+은/JX
‘청소년의	‘/SS+청소년/NNG+의/JKG
눈높이에서	눈높이/NNG+에서/JKB
그들의	그/NP+들/XSN+의/JKG
욕구를	욕구/NNG+를/JKO
이해해야	이해/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
어른들의	어른/NNG+들/XSN+의/JKG
강박관념	강박/NNG+관념/NNG
속에서	속/NNG+에서/JKB
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
것인지도	것/NNB+이/VCP+ㄴ지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.118.7.1
어린이·청소년 문학의 대가로 꼽히는 오스트리아 출신 작가 크리스티네 뇌스틀링거의 신작 <나는, 심각하다>는 청소년과 성을 주제로 삼은 소설이다.

어린이·청소년	어린이/NNG+·/SP+청소년/NNG
문학의	문학/NNG+의/JKG
대가로	대가/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
오스트리아	오스트리아/NNP
출신	출신/NNG
작가	작가/NNG
크리스티네	크리스티네/NNP
뇌스틀링거의	뇌스틀링거/NNP+의/JKG
신작	신작/NNG
<나는,	</SS+나/NP+는/JX+,/SP
심각하다>는	심각하/VA+다/EF+>/SS+는/JX
청소년과	청소년/NNG+과/JC
성을	성/NNG+을/JKO
주제로	주제/NNG+로/JKB
삼은	삼/VV+은/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.118.7.2
그러나 성적 호기심을 억누르지 못하는 전형적인 주인공 대신 ‘나는 왜 여자친구를 사귀지 않는가?’ ‘나는 왜 야한 비디오 따위에 관심이 없을까?’ 고민하는 주인공이 등장한다.

그러나	그러나/MAJ
성적	성/NNG+적/XSN
호기심을	호기심/NNG+을/JKO
억누르지	억누르/VV+지/EC
못하는	못하/VX+는/ETM
