# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.68
metadata : {}


# id : NWRW1800000033.68.1.1
美 청년들 ‘광산으로’… 신입 5만달러 파격 연봉

美	美/SH
청년들	청년/NNG+들/XSN
‘광산으로’…	‘/SS+광산/NNG+으로/JKB+’/SS+…/SE
신입	신입/NNG
5만달러	5/SN+만/NR+달러/NNB
파격	파격/NNG
연봉	연봉/NNG


# id : NWRW1800000033.68.2.1
취업난에 고교생들 몰려

취업난에	취업난/NNG+에/JKB
고교생들	고교/NNG+생/XSN+들/XSN
몰려	몰리/VV+어/EF


# id : NWRW1800000033.68.3.1
미국 북서부 아이다호 북쪽 실버밸리 고등학교에서 지난달 23일 3개 광산업체가 참가하는 광원 취업 설명회가 열렸다.

미국	미국/NNP
북서부	북서부/NNG
아이다호	아이다호/NNP
북쪽	북쪽/NNG
실버밸리	실버밸리/NNP
고등학교에서	고등학교/NNG+에서/JKB
지난달	지난달/NNG
23일	23/SN+일/NNB
3개	3/SN+개/NNB
광산업체가	광산업체/NNG+가/JKS
참가하는	참가/NNG+하/XSV+는/ETM
광원	광원/NNG
취업	취업/NNG
설명회가	설명회/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.68.3.2
학생 1000명도 안 되는 작은 고교에서 광산업체들이 취업설명회를 연 것은 이 지역에 있는 은 광산 덕분이다.

학생	학생/NNG
1000명도	1000/SN+명/NNB+도/JX
안	안/MAG
되는	되/VV+는/ETM
작은	작/VA+은/ETM
고교에서	고교/NNG+에서/JKB
광산업체들이	광산업체/NNG+들/XSN+이/JKS
취업설명회를	취업/NNG+설명회/NNG+를/JKO
연	열/VV+ㄴ/ETM
것은	것/NNB+은/JX
이	이/MMD
지역에	지역/NNG+에/JKB
있는	있/VA+는/ETM
은	은/NNG
광산	광산/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.68.4.1
실버밸리 광산은 1970년대까지만 해도 미국 전체 은 생산량의 절반을 차지할 정도로 호황을 누렸으나 은 수요가 크게 줄면서 폐쇄 직전까지 갔고 광원들은 도시를 떠났다.

실버밸리	실버밸리/NNP
광산은	광산/NNG+은/JX
1970년대까지만	1970/SN+년대/NNB+까지/JX+만/JX
해도	하/VV+아도/EC
미국	미국/NNP
전체	전체/NNG
은	은/NNG
생산량의	생산량/NNG+의/JKG
절반을	절반/NNG+을/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
호황을	호황/NNG+을/JKO
누렸으나	누리/VV+었/EP+으나/EC
수요가	수요/NNG+가/JKS
크게	크/VA+게/EC
줄면서	줄/VV+면서/EC
폐쇄	폐쇄/NNG
직전까지	직전/NNG+까지/JX
갔고	가/VV+았/EP+고/EC
광원들은	광원/NNG+들/XSN+은/JX
도시를	도시/NNG+를/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.68.4.2
그러나 최근 1년간 국제 은값이 온스당 45달러(약 5만원)를 넘나드는 사상 최고치 행진을 계속하면서 다시 광원이 되려는 발길이 급증하고 있다.

그러나	그러나/MAJ
최근	최근/MAG
1년간	1/SN+년/NNB+간/XSN
국제	국제/NNG
은값이	은/NNG+값/NNG+이/JKS
온스당	온스/NNB+당/XSN
45달러(약	45/SN+달러/NNB+(/SS+약/MMA
5만원)를	5/SN+만/NR+원/NNB+)/SS+를/JKO
넘나드는	넘나들/VV+는/ETM
사상	사상/NNG
최고치	최고/NNG+치/XSN
행진을	행진/NNG+을/JKO
계속하면서	계속/NNG+하/XSV+면서/EC
다시	다시/MAG
광원이	광원/NNG+이/JKC
되려는	되/VV+려는/ETM
발길이	발길/NNG+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.68.4.3
이날 설명회에서 광산업체들은 고교 졸업 예정자들을 상대로 5만 달러라는 파격적인 연봉을 제시했다.

이날	이날/NNG
설명회에서	설명회/NNG+에서/JKB
광산업체들은	광산업체/NNG+들/XSN+은/JX
고교	고교/NNG
졸업	졸업/NNG
예정자들을	예정자/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
5만	5/SN+만/NR
달러라는	달러/NNB+이/VCP+라는/ETM
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
연봉을	연봉/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.68.4.4
설명회에는 학생뿐만 아니라 교사들까지 자리를 메워 이 지역의 뜨거운 광원 취업 열기를 보여 줬다고 미국공영라디오(NPR)가 18일 전했다.

설명회에는	설명회/NNG+에/JKB+는/JX
학생뿐만	학생/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
교사들까지	교사/NNG+들/XSN+까지/JX
자리를	자리/NNG+를/JKO
메워	메우/VV+어/EC
이	이/MMD
지역의	지역/NNG+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
광원	광원/NNG
취업	취업/NNG
열기를	열기/NNG+를/JKO
보여	보이/VV+어/EC
줬다고	주/VX+었/EP+다고/EC
미국공영라디오(NPR)가	미국공영라디오/NNP+(/SS+NPR/SL+)/SS+가/JKS
18일	18/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.68.5.1
최근 국제 금속 가격이 급등하면서 대표적인 ‘3D(기피)’ 업종으로 취급 받아온 광원이 다시 각광받고 있다.

최근	최근/MAG
국제	국제/NNG
금속	금속/NNG
가격이	가격/NNG+이/JKS
급등하면서	급등/NNG+하/XSV+면서/EC
