# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.216
metadata : {}


# id : NWRW1800000046.216.1.1
日 야구 '대은 사마', 욘사마 인기 못잖네

日	日/SH
야구	야구/NNG
'대은	'/SS+대은/NNP
사마',	사마/NNG+'/SS+,/SP
욘사마	욘사마/NNP
인기	인기/NNG
못잖네	못잖/VA+네/EF


# id : NWRW1800000046.216.2.1
日롯데 투수 이대은, 개막 4연승 '퍼시픽리그 다승 선두'

日롯데	日/SH+롯데/NNP
투수	투수/NNG
이대은,	이대은/NNP+,/SP
개막	개막/NNG
4연승	4/SN+연승/NNG
'퍼시픽리그	'/SS+퍼시픽리그/NNG
다승	다승/NNG
선두'	선두/NNG+'/SS


# id : NWRW1800000046.216.3.1
일본 프로야구에 '한류(韓流)' 바람이 분다.

일본	일본/NNP
프로야구에	프로/NNG+야구/NNG+에/JKB
'한류(韓流)'	'/SS+한류/NNG+(/SS+韓流/SH+)/SS+'/SS
바람이	바람/NNG+이/JKS
분다.	불/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.216.3.2
주인공은 준수한 외모와 실력을 갖춘 지바 롯데의 투수 이대은(26).

주인공은	주인공/NNG+은/JX
준수한	준수/NNG+하/XSV+ㄴ/ETM
외모와	외모/NNG+와/JC
실력을	실력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
지바	지바/NNP
롯데의	롯데/NNP+의/JKG
투수	투수/NNG
이대은(26).	이대은/NNP+(/SS+26/SN+)/SS+./SF


# id : NWRW1800000046.216.3.3
그는 25일 라쿠텐 골든이글스와 벌인 원정 경기에 선발 등판해 7이닝을 2실점(6피안타 4삼진)으로 막고 7대3 승리를 이끌었다.

그는	그/NP+는/JX
25일	25/SN+일/NNB
라쿠텐	라쿠텐/NNP
골든이글스와	골든이글스/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
원정	원정/NNG
경기에	경기/NNG+에/JKB
선발	선발/NNG
등판해	등판/NNG+하/XSV+아/EC
7이닝을	7/SN+이닝/NNG+을/JKO
2실점(6피안타	2/SN+실점/NNG+(/SS+6/SN+피/XPN+안타/NNG
4삼진)으로	4/SN+삼진/NNG+)/SS+으로/JKB
막고	막/VV+고/EC
7대3	7/SN+대/NNB+3/SN
승리를	승리/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.3.4
4연패에 빠져 있던 팀을 구한 역투였다.

4연패에	4/SN+연패/NNG+에/JKB
빠져	빠지/VV+어/EC
있던	있/VX+던/ETM
팀을	팀/NNG+을/JKO
구한	구하/VV+ㄴ/ETM
역투였다.	역투/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.216.4.1
이대은은 1회 말 상대 선두 타자 마쓰이 가즈오에게 솔로 홈런을 맞아 불안하게 출발했다.

이대은은	이대은/NNP+은/JX
1회	1/SN+회/NNB
말	말/NNB
상대	상대/NNG
선두	선두/NNG
타자	타자/NNG
마쓰이	마쓰이/NNP
가즈오에게	가즈오/NNP+에게/JKB
솔로	솔로/NNG
홈런을	홈런/NNG+을/JKO
맞아	맞/VV+아/EC
불안하게	불안/NNG+하/XSA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.216.4.2
이어 연속 안타와 볼넷을 내줘 무사 만루 위기에 몰렸는데, 후속 타자들을 내야 땅볼과 뜬공 등으로 잡고 이닝을 마쳤다.

이어	이어/MAG
연속	연속/NNG
안타와	안타/NNG+와/JC
볼넷을	볼넷/NNG+을/JKO
내줘	내주/VV+어/EC
무사	무사/NNG
만루	만루/NNG
위기에	위기/NNG+에/JKB
몰렸는데,	몰리/VV+었/EP+는데/EC+,/SP
후속	후속/NNG
타자들을	타자/NNG+들/XSN+을/JKO
내야	내/VV+어야/EC
땅볼과	땅볼/NNG+과/JC
뜬공	뜬공/NNG
등으로	등/NNB+으로/JKB
잡고	잡/VV+고/EC
이닝을	이닝/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.4.3
그는 2회에도 한 점을 뺏겼지만 3회부터 7회까지 무실점으로 막았다.

그는	그/NP+는/JX
2회에도	2/SN+회/NNB+에/JKB+도/JX
한	한/MMN
점을	점/NNB+을/JKO
뺏겼지만	뺏기/VV+었/EP+지만/EC
3회부터	3/SN+회/NNB+부터/JX
7회까지	7/SN+회/NNB+까지/JX
무실점으로	무/XPN+실점/NNG+으로/JKB
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.216.4.4
가장 빠른 공은 시속 153㎞였다.

가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
공은	공/NNG+은/JX
시속	시속/NNG
153㎞였다.	153/SN+㎞/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.216.5.1
이대은은 개막 후 5경기에 나서 4승 무패(평균자책점 3.16)를 달리며 퍼시픽리그 다승 공동 선두로 나섰다.

이대은은	이대은/NNP+은/JX
개막	개막/NNG
후	후/NNG
5경기에	5/SN+경기/NNG+에/JKB
나서	나서/VV+어/EC
4승	4/SN+승/NNB
무패(평균자책점	무패/NNG+(/SS+평균/NNG+자책점/NNG
3.16)를	3/SN+./SP+16/SN+)/SS+를/JKO
달리며	달리/VV+며/EC
퍼시픽리그	퍼시픽리그/NNG
다승	다승/NNG
공동	공동/NNG
선두로	선두/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.5.2
롯데에서 외국인 투수가 데뷔 시즌에 개막 4연승 이상을 한 경우는 이번이 세 번째다.

롯데에서	롯데/NNP+에서/JKB
외국인	외국인/NNG
투수가	투수/NNG+가/JKS
데뷔	데뷔/NNG
시즌에	시즌/NNG+에/JKB
개막	개막/NNG
4연승	4/SN+연승/NNG
이상을	이상/NNG+을/JKO
한	하/VV+ㄴ/ETM
경우는	경우/NNG+는/JX
이번이	이번/NNG+이/JKS
세	세/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.216.5.3
2010년 빌 머피의 개막 6연승이 팀 자체 최고 기록이다.

2010년	2010/SN+년/NNB
빌	빌/NNP
머피의	머피/NNP+의/JKG
개막	개막/NNG
6연승이	6/SN+연승/NNG+이/JKS
팀	팀/NNG
자체	자체/NNG
최고	최고/NNG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.216.6.1
신일고 출신인 우완 정통파 투수 이대은은 2007년 미국의 시카고 컵스와 계약했다.

신일고	신일고/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
우완	우완/NNG
정통파	정통파/NNG
투수	투수/NNG
이대은은	이대은/NNP+은/JX
2007년	2007/SN+년/NNB
미국의	미국/NNP+의/JKG
시카고	시카고/NNP
컵스와	컵스/NNP+와/JKB
계약했다.	계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.216.6.2
메이저리그 진출이라는 꿈은 이루지 못했다.

메이저리그	메이저리그/NNG
진출이라는	진출/NNG+이/VCP+라는/ETM
꿈은	꿈/NNG+은/JX
이루지	이루/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.216.6.3
마이너리그에서만 통산 135경기를 뛰었다.

마이너리그에서만	마이너리그/NNG+에서/JKB+만/JX
통산	통산/NNG
135경기를	135/SN+경기/NNG+를/JKO
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.6.4
2008년엔 팔꿈치 수술을 받기도 했다.

2008년엔	2008/SN+년/NNB+에/JKB+ㄴ/JX
팔꿈치	팔꿈치/NNG
수술을	수술/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.216.6.5
작년에 지바 롯데와 계약한 그는 '꽃미남' 외모로 먼저 관심을 끌었다.

작년에	작년/NNG+에/JKB
지바	지바/NNP
롯데와	롯데/NNP+와/JKB
계약한	계약/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
'꽃미남'	'/SS+꽃미남/NNG+'/SS
외모로	외모/NNG+로/JKB
먼저	먼저/MAG
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.6.6
시즌 개막 이전부터 이대은의 얼굴이 들어간 부채와 수건 등 마케팅 상품이 나왔을 정도였다.

시즌	시즌/NNG
개막	개막/NNG
이전부터	이전/NNG+부터/JX
이대은의	이대은/NNP+의/JKG
얼굴이	얼굴/NNG+이/JKS
들어간	들어가/VV+ㄴ/ETM
부채와	부채/NNG+와/JC
수건	수건/NNG
등	등/NNB
마케팅	마케팅/NNG
상품이	상품/NNG+이/JKS
나왔을	나오/VV+았/EP+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.216.6.7
여성 팬들 사이에선 '대은 사마(樣·님이라는 뜻의 높임말)'로 통한다.

여성	여성/NNG
팬들	팬/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
'대은	'/SS+대은/NNP
사마(樣·님이라는	사마/NNG+(/SS+樣/SH+·/SP+님/XSN+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
높임말)'로	높임말/NNG+)/SS+'/SS+로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.216.6.8
원조 한류 스타였던 배우 배용준이 일본에서 '욘사마'로 불린 것과 비슷한 현상이다.

원조	원조/NNG
한류	한류/NNG
스타였던	스타/NNG+이/VCP+었/EP+던/ETM
배우	배우/NNG
배용준이	배용준/NNP+이/JKS
일본에서	일본/NNP+에서/JKB
'욘사마'로	'/SS+욘사마/NNP+'/SS+로/JKB
불린	불리/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.216.7.1
이대은은 마이너리그 생활을 오래하며 경험을 쌓은 덕분에 새 환경에도 빨리 적응했다.

이대은은	이대은/NNP+은/JX
마이너리그	마이너리그/NNG
생활을	생활/NNG+을/JKO
오래하며	오래/MAG+하/XSV+며/EC
경험을	경험/NNG+을/JKO
쌓은	쌓/VV+은/ETM
덕분에	덕분/NNG+에/JKB
새	새/MMA
환경에도	환경/NNG+에/JKB+도/JX
빨리	빨리/MAG
적응했다.	적응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.216.7.2
이토 쓰토무 롯데 감독의 조언을 받아들여 커브 등 변화구 비중을 높였다.

이토	이토/NNP
쓰토무	쓰토무/NNP
롯데	롯데/NNP
감독의	감독/NNG+의/JKG
조언을	조언/NNG+을/JKO
받아들여	받아들이/VV+어/EC
커브	커브/NNG
등	등/NNB
변화구	변화구/NNG
비중을	비중/NNG+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.216.7.3
일본 야구를 더 배우기 위해 오치아이 에이지 1군 투수코치에게 자주 질문을 하는 점 역시 돋보인다.

일본	일본/NNP
야구를	야구/NNG+를/JKO
더	더/MAG
배우기	배우/VV+기/ETN
위해	위하/VV+아/EC
오치아이	오치아이/NNP
에이지	에이지/NNP
1군	1/SN+군/NNG
투수코치에게	투수/NNG+코치/NNG+에게/JKB
자주	자주/MAG
질문을	질문/NNG+을/JKO
하는	하/VV+는/ETM
점	점/NNG
역시	역시/MAG
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.216.7.4
2009년부터 4년간 삼성에서 투수 코치로 일한 오치아이 코치와는 대화가 잘 통한다고 한다.

2009년부터	2009/SN+년/NNB+부터/JX
4년간	4/SN+년/NNB+간/XSN
삼성에서	삼성/NNP+에서/JKB
투수	투수/NNG
코치로	코치/NNG+로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
오치아이	오치아이/NNP
코치와는	코치/NNG+와/JKB+는/JX
대화가	대화/NNG+가/JKS
잘	잘/MAG
통한다고	통하/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.216.8.1
이대은은 연승 행진을 하면서도 자만하지 않는다.

이대은은	이대은/NNP+은/JX
연승	연승/NNG
행진을	행진/NNG+을/JKO
하면서도	하/VV+면서/EC+도/JX
자만하지	자만/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.216.8.2
