# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.38
metadata : {}


# id : NWRW1800000046.38.1.1
신문은 진짜 '선생님'

신문은	신문/NNG+은/JX
진짜	진짜/NNG
'선생님'	'/SS+선생/NNG+님/XSN+'/SS


# id : NWRW1800000046.38.2.1
日 초·중학생 조사해보니… 신문 볼수록 성적 훨씬 높아

日	日/SH
초·중학생	초·중학생/NNG
조사해보니…	조사/NNG+하/XSV+아/EC+보/VX+니/EC+…/SE
신문	신문/NNG
볼수록	보/VV+ㄹ수록/EC
성적	성적/NNG
훨씬	훨씬/MAG
높아	높/VA+아/EF


# id : NWRW1800000046.38.3.1
최근 일본신문협회가 일본 문부과학성이 실시한 초·중학생 '전국 학력·학습현황조사' 결과를 분석해보니, 신문을 읽는 아이와 읽지 않는 아이 사이에 성적 격차가 크게 벌어지는 것으로 나타났다.

최근	최근/MAG
일본신문협회가	일본신문협회/NNP+가/JKS
일본	일본/NNP
문부과학성이	문부/NNG+과학성/NNG+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
초·중학생	초·중학생/NNG
'전국	'/SS+전국/NNG
학력·학습현황조사'	학력/NNG+·/SP+학습/NNG+현황/NNG+조사/NNG+'/SS
결과를	결과/NNG+를/JKO
분석해보니,	분석/NNG+하/XSV+아/EC+보/VX+니/EC+,/SP
신문을	신문/NNG+을/JKO
읽는	읽/VV+는/ETM
아이와	아이/NNG+와/JC
읽지	읽/VV+지/EC
않는	않/VX+는/ETM
아이	아이/NNG
사이에	사이/NNG+에/JKB
성적	성적/NNG
격차가	격차/NNG+가/JKS
크게	크/VA+게/EC
벌어지는	벌어지/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.38.3.2
신문을 읽으면서 논리적인 사고력을 키운 아이들이 일본어 과목뿐 아니라 수학·과학에서도 종합적으로 우수한 성적을 올린 것으로 보인다.

신문을	신문/NNG+을/JKO
읽으면서	읽/VV+으면서/EC
논리적인	논리/NNG+적/XSN+이/VCP+ㄴ/ETM
사고력을	사고력/NNG+을/JKO
키운	키우/VV+ㄴ/ETM
아이들이	아이/NNG+들/XSN+이/JKS
일본어	일본어/NNP
과목뿐	과목/NNG+뿐/JX
아니라	아니/VCN+라/EC
수학·과학에서도	수학/NNG+·/SP+과학/NNG+에서/JKB+도/JX
종합적으로	종합/NNG+적/XSN+으로/JKB
우수한	우수/NNG+하/XSA+ㄴ/ETM
성적을	성적/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.38.4.1
이번 분석을 위해 일본신문협회는 표본으로 선정된 초등학교 6학년과 중학교 3학년 학생들을 신문 읽는 횟수에 따라 '거의 매일' '1주일에 1~3번' '한 달에 1~3번' '거의 또는 전혀 안 읽음'의 네 집단으로 나눴다.

이번	이번/NNG
분석을	분석/NNG+을/JKO
위해	위하/VV+아/EC
일본신문협회는	일본신문협회/NNP+는/JX
표본으로	표본/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
초등학교	초등학교/NNG
6학년과	6/SN+학년/NNG+과/JC
중학교	중학교/NNG
3학년	3/SN+학년/NNG
학생들을	학생/NNG+들/XSN+을/JKO
신문	신문/NNG
읽는	읽/VV+는/ETM
횟수에	횟수/NNG+에/JKB
따라	따르/VV+아/EC
'거의	'/SS+거의/MAG
매일'	매일/MAG+'/SS
'1주일에	'/SS+1/SN+주일/NNB+에/JKB
1~3번'	1/SN+~/SO+3/SN+번/NNB+'/SS
'한	'/SS+한/MMN
달에	달/NNB+에/JKB
또는	또는/MAG
전혀	전혀/MAG
안	안/MAG
읽음'의	읽/VV+음/ETN+'/SS+의/JKG
네	네/MMN
집단으로	집단/NNG+으로/JKB
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.38.4.2
이어 각각의 집단이 지난해 전국학력·학습현황조사에서 거둔 성적을 비교했다.

이어	이어/MAG
각각의	각각/NNG+의/JKG
집단이	집단/NNG+이/JKS
지난해	지난해/NNG
전국학력·학습현황조사에서	전국/NNG+학력/NNG+·/SP+학습/NNG+현황/NNG+조사/NNG+에서/JKB
거둔	거두/VV+ㄴ/ETM
성적을	성적/NNG+을/JKO
비교했다.	비교/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.38.5.1
분석 결과 초등학교 6학년의 경우, 거의 매일 신문을 읽는 집단은 거의 혹은 전혀 읽지 않는 집단보다 일본어 점수는 9.7~11점, 수학은 8.5~11.7점, 과학은 9.7점 높았다.

분석	분석/NNG
결과	결과/NNG
초등학교	초등학교/NNG
6학년의	6/SN+학년/NNG+의/JKG
경우,	경우/NNG+,/SP
거의	거의/MAG
매일	매일/MAG
신문을	신문/NNG+을/JKO
읽는	읽/VV+는/ETM
집단은	집단/NNG+은/JX
혹은	혹은/MAG
전혀	전혀/MAG
읽지	읽/VV+지/EC
않는	않/VX+는/ETM
집단보다	집단/NNG+보다/JKB
일본어	일본어/NNP
점수는	점수/NNG+는/JX
9.7~11점,	9/SN+./SP+7/SN+~/SO+11/SN+점/NNB+,/SP
수학은	수학/NNG+은/JX
8.5~11.7점,	8/SN+./SP+5/SN+~/SO+11/SN+./SP+7/SN+점/NNB+,/SP
과학은	과학/NNG+은/JX
9.7점	9/SN+./SP+7/SN+점/NNB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.38.6.1
중학교 3학년도 거의 매일 신문을 읽는 집단과 거의 혹은 전혀 읽지 않는 집단 사이에 일본어는 4.6~5.8점, 수학은 7.8~9.9점, 과학은 8.8점씩 점수가 벌어졌다.

중학교	중학교/NNG
3학년도	3/SN+학년/NNG+도/JX
거의	거의/MAG
매일	매일/MAG
신문을	신문/NNG+을/JKO
읽는	읽/VV+는/ETM
집단과	집단/NNG+과/JC
혹은	혹은/MAG
전혀	전혀/MAG
읽지	읽/VV+지/EC
않는	않/VX+는/ETM
집단	집단/NNG
사이에	사이/NNG+에/JKB
일본어는	일본어/NNP+는/JX
4.6~5.8점,	4/SN+./SP+6/SN+~/SO+5/SN+./SP+8/SN+점/NNB+,/SP
수학은	수학/NNG+은/JX
7.8~9.9점,	7/SN+./SP+8/SN+~/SO+9/SN+./SP+9/SN+점/NNB+,/SP
과학은	과학/NNG+은/JX
8.8점씩	8/SN+./SP+8/SN+점/NNB+씩/XSN
점수가	점수/NNG+가/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.38.6.2
두 연령대 모두 신문 읽는 횟수가 많아질수록 이에 비례해 성적도 좋은 것으로 나타났다.

두	두/MMN
연령대	연령대/NNG
모두	모두/MAG
신문	신문/NNG
읽는	읽/VV+는/ETM
횟수가	횟수/NNG+가/JKS
많아질수록	많아지/VV+ㄹ수록/EC
이에	이/NP+에/JKB
비례해	비례/NNG+하/XSV+아/EC
성적도	성적/NNG+도/JX
좋은	좋/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.38.7.1
이에 따라 일본에서는 신문을 통해 사고력을 높이는 '신문활용교육'(NIE)이 증가하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
일본에서는	일본/NNP+에서/JKB+는/JX
신문을	신문/NNG+을/JKO
통해	통하/VV+아/EC
사고력을	사고력/NNG+을/JKO
높이는	높이/VV+는/ETM
'신문활용교육'(NIE)이	'/SS+신문/NNG+활용/NNG+교육/NNG+'/SS+(/SS+NIE/SL+)/SS+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.38.7.2
일본신문협회에 따르면, NIE를 시행하는 학교가 최근 10년간 402개 학교에서 568개 학교로 늘었다.

일본신문협회에	일본신문협회/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
NIE를	NIE/SL+를/JKO
시행하는	시행/NNG+하/XSV+는/ETM
학교가	학교/NNG+가/JKS
최근	최근/MAG
10년간	10/SN+년/NNB+간/XSN
402개	402/SN+개/NNB
학교에서	학교/NNG+에서/JKB
568개	568/SN+개/NNB
학교로	학교/NNG+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


