# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.399
metadata : {}


# id : NWRW1800000030.399.1.1
[수도권II] [우리동네'보물'] (10) 파주 용미리 석불입상

[수도권II]	[/SS+수도/NNG+권/XSN+II/SL+]/SS
[우리동네'보물']	[/SS+우리/NP+동네/NNG+'/SS+보물/NNG+'/SS+]/SS
(10)	(/SS+10/SN+)/SS
파주	파주/NNP
용미리	용미리/NNP
석불입상	석불/NNG+입상/NNG


# id : NWRW1800000030.399.2.1
•거의 찾아보기 힘든 남녀 한쌍의 석불

•거의	•/SW+거의/MAG
찾아보기	찾아보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
남녀	남녀/NNG
한쌍의	한/MMN+쌍/NNG+의/JKG
석불	석불/NNG


# id : NWRW1800000030.399.3.1
파주시 광탄면 용미리 장지산 남쪽 자락에는 높이 17.4m의 거대한 두 구의 불상이 있다.

파주시	파주시/NNP
광탄면	광탄면/NNP
용미리	용미리/NNP
장지산	장지산/NNP
남쪽	남쪽/NNG
자락에는	자락/NNG+에/JKB+는/JX
높이	높이/NNG
17.4m의	17/SN+./SP+4/SN+m/SW+의/JKG
거대한	거대/NNG+하/XSA+ㄴ/ETM
두	두/MMN
구의	구/NNB+의/JKG
불상이	불상/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.399.3.2
'용미리 석불입상'이다.

'용미리	'/SS+용미리/NNP
석불입상'이다.	석불/NNG+입상/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.399.3.3
산기슭에 있는 자연 암벽을 이용하여 몸통을 조각하고 그 위에 목·머리·갓 등을 따로 만들어서 얹어 놓은 이 한 쌍의 석불은, 우리나라에서는 좀처럼 찾아보기 힘든 남상과 여상이 함께 조각된 특이한 양식이다.

산기슭에	산기슭/NNG+에/JKB
있는	있/VA+는/ETM
자연	자연/NNG
암벽을	암벽/NNG+을/JKO
이용하여	이용/NNG+하/XSV+아/EC
몸통을	몸통/NNG+을/JKO
조각하고	조각/NNG+하/XSV+고/EC
그	그/MMD
위에	위/NNG+에/JKB
목·머리·갓	목/NNG+·/SP+머리/NNG+·/SP+갓/NNG
등을	등/NNB+을/JKO
따로	따로/MAG
만들어서	만들/VV+어서/EC
얹어	얹/VV+어/EC
놓은	놓/VX+은/ETM
이	이/MMD
한	한/MMN
쌍의	쌍/NNG+의/JKG
석불은,	석불/NNG+은/JX+,/SP
우리나라에서는	우리나라/NNG+에서/JKB+는/JX
좀처럼	좀처럼/MAG
찾아보기	찾아보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
남상과	남상/NNG+과/JC
여상이	여상/NNG+이/JKS
함께	함께/MAG
조각된	조각/NNG+되/XSV+ㄴ/ETM
특이한	특이/NNG+하/XSA+ㄴ/ETM
양식이다.	양식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.399.4.1
이 불상이 언제 만들어졌는지에 대해서는 두 가지 설이 있다.

이	이/MMD
불상이	불상/NNG+이/JKS
언제	언제/MAG
만들어졌는지에	만들/VV+어/EC+지/VX+었/EP+는지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
두	두/MMN
가지	가지/NNB
설이	설/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.399.4.2
고려시대설은 불상의 모습과 전설에서 비롯됐다.

고려시대설은	고려/NNP+시대설/NNG+은/JX
불상의	불상/NNG+의/JKG
모습과	모습/NNG+과/JC
전설에서	전설/NNG+에서/JKB
비롯됐다.	비롯되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.399.5.1
두 석불 가운데 왼쪽의 불상은 둥근 갓을 썼고 오른쪽의 불상은 네모난 갓을 쓰고 있는데, 서로 손 모양만 다를 뿐 옷의 주름이나 매듭, 얼굴의 이목구비가 비슷한 느낌과 기법으로 표현되어 있는 게 고려시대 제작된 불상의 모습이라는 것이다.

두	두/MMN
석불	석불/NNG
가운데	가운데/NNG
왼쪽의	왼쪽/NNG+의/JKG
불상은	불상/NNG+은/JX
둥근	둥글/VA+ㄴ/ETM
갓을	갓/NNG+을/JKO
썼고	쓰/VV+었/EP+고/EC
오른쪽의	오른쪽/NNG+의/JKG
네모난	네모나/VA+ㄴ/ETM
쓰고	쓰/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
서로	서로/MAG
손	손/NNG
모양만	모양/NNG+만/JX
다를	다르/VA+ㄹ/ETM
뿐	뿐/NNB
옷의	옷/NNG+의/JKG
주름이나	주름/NNG+이나/JC
매듭,	매듭/NNG+,/SP
얼굴의	얼굴/NNG+의/JKG
이목구비가	이목구비/NNG+가/JKS
비슷한	비슷하/VA+ㄴ/ETM
느낌과	느낌/NNG+과/JC
기법으로	기법/NNG+으로/JKB
표현되어	표현/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
