# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.336
metadata : {}


# id : NWRW1800000045.336.1.1
아베, 산케이 前지국장 불러 “고생했다” 위로

아베,	아베/NNP+,/SP
산케이	산케이/NNP
前지국장	前/SH+지국장/NNG
불러	부르/VV+어/EC
“고생했다”	“/SS+고생/NNG+하/XSV+았/EP+다/EF+”/SS
위로	위로/NNG


# id : NWRW1800000045.336.2.1
日언론, 귀국 대서특필… 영웅 대접

日언론,	日/SH+언론/NNG+,/SP
귀국	귀국/NNG
대서특필…	대서특필/NNG+…/SE
영웅	영웅/NNG
대접	대접/NNG


# id : NWRW1800000045.336.3.1
세월호 침몰 당일 박근혜 대통령의 행적에 의문을 제기했다가 명예훼손 혐의로 불구속 재판을 받아온 가토 다쓰야(加藤達也) 산케이신문 전 서울지국장이 14일 일본으로 귀국하자 일본 총리가 직접 면담하고 일본 언론도 대서특필하는 등 ‘영웅’ 대접을 하고 있다.

세월호	세월호/NNP
침몰	침몰/NNG
당일	당일/NNG
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
행적에	행적/NNG+에/JKB
의문을	의문/NNG+을/JKO
제기했다가	제기/NNG+하/XSV+았/EP+다가/EC
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
재판을	재판/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
가토	가토/NNP
다쓰야(加藤達也)	다쓰야/NNP+(/SS+加藤達也/SH+)/SS
산케이신문	산케이신문/NNP
전	전/MMD
서울지국장이	서울/NNP+지국장/NNG+이/JKS
14일	14/SN+일/NNB
일본으로	일본/NNP+으로/JKB
귀국하자	귀국/NNG+하/XSV+자/EC
일본	일본/NNP
총리가	총리/NNG+가/JKS
직접	직접/MAG
면담하고	면담/NNG+하/XSV+고/EC
언론도	언론/NNG+도/JX
대서특필하는	대서특필/NNG+하/XSV+는/ETM
등	등/NNB
‘영웅’	‘/SS+영웅/NNG+’/SS
대접을	대접/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.336.4.1
교도통신에 따르면 아베 신조(安倍晋三) 총리는 15일 도쿄(東京) 총리관저에서 가토 씨를 면담했다.

교도통신에	교도통신/NNP+에/JKB
따르면	따르/VV+면/EC
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
총리는	총리/NNG+는/JX
15일	15/SN+일/NNB
도쿄(東京)	도쿄/NNP+(/SS+東京/SH+)/SS
총리관저에서	총리/NNG+관저/NNG+에서/JKB
가토	가토/NNP
씨를	씨/NNB+를/JKO
면담했다.	면담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.4.2
아베 총리는 “고생했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
“고생했다.	“/SS+고생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.4.3
재판이 계속되니 앞으로도 건강을 조심하라”고 위로했다.

재판이	재판/NNG+이/JKS
계속되니	계속/NNG+되/XSV+니/EC
앞으로도	앞/NNG+으로/JKB+도/JX
건강을	건강/NNG+을/JKO
조심하라”고	조심/NNG+하/XSV+라/EF+”/SS+고/JKQ
위로했다.	위로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.4.4
가토 씨는 면담 후 기자들에게 “건강 상태와 가족 상황 등을 아베 총리에게 설명했다”고 말했다.

가토	가토/NNP
씨는	씨/NNB+는/JX
면담	면담/NNG
후	후/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
“건강	“/SS+건강/NNG
상태와	상태/NNG+와/JC
가족	가족/NNG
상황	상황/NNG
등을	등/NNB+을/JKO
아베	아베/NNP
총리에게	총리/NNG+에게/JKB
설명했다”고	설명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.5.1
일본 언론들은 15일 가토 씨의 귀국을 주요 뉴스로 전했다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
15일	15/SN+일/NNB
가토	가토/NNP
씨의	씨/NNB+의/JKG
귀국을	귀국/NNG+을/JKO
주요	주요/NNG
뉴스로	뉴스/NNG+로/JKB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.5.2
요미우리신문은 외교 소식통을 인용해 “한일 관계의 가시를 뺐다”고 전했다.

요미우리신문은	요미우리신문/NNP+은/JX
외교	외교/NNG
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“한일	“/SS+한일/NNP
관계의	관계/NNG+의/JKG
가시를	가시/NNG+를/JKO
뺐다”고	빼/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.336.5.3
