# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.421
metadata : {}


# id : NWRW1800000038.421.1.1
朴의 선택은 김진태

朴의	朴/SH+의/JKG
선택은	선택/NNG+은/JX
김진태	김진태/NNP


# id : NWRW1800000038.421.2.1
검찰총장에 내정… 朴대통령 "현안들 공정·철저 수사"

검찰총장에	검찰/NNG+총장/NNG+에/JKB
내정…	내정/NNG+…/SE
朴대통령	朴/SH+대통령/NNG
"현안들	"/SS+현안/NNG+들/XSN
공정·철저	공정/NNG+·/SP+철저/NNG
수사"	수사/NNG+"/SS


# id : NWRW1800000038.421.3.1
박근혜 대통령은 27일 차기 검찰총장 후보에 김진태(金鎭太·61·사시 24회·사진) 전 대검 차장을 지명했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
27일	27/SN+일/NNB
차기	차기/NNG
검찰총장	검찰/NNG+총장/NNG
후보에	후보/NNG+에/JKB
김진태(金鎭太·61·사시	김진태/NNP+(/SS+金鎭太/SH+·/SP+61/SN+·/SP+사시/NNG
24회·사진)	24/SN+회/NNB+·/SP+사진/NNG+)/SS
전	전/MMD
대검	대검/NNG
차장을	차장/NNG+을/JKO
지명했다.	지명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.421.3.2
이정현 청와대 홍보수석은 인선 배경에 대해 "박 대통령은 검찰 조직을 하루빨리 정상화하고 현재 현안이 되고 있는 사건들을 공정하고 철저히 수사해 마무리하며 국민의 신뢰를 받는 검찰을 만들기 위해 김 전 대검 차장을 내정했다"고 말했다.

이정현	이정현/NNP
청와대	청와대/NNP
홍보수석은	홍보/NNG+수석/NNG+은/JX
인선	인선/NNG
배경에	배경/NNG+에/JKB
대해	대하/VV+아/EC
"박	"/SS+박/NNP
대통령은	대통령/NNG+은/JX
검찰	검찰/NNG
조직을	조직/NNG+을/JKO
하루빨리	하루빨리/MAG
정상화하고	정상/NNG+화/XSN+하/XSV+고/EC
현재	현재/MAG
현안이	현안/NNG+이/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
사건들을	사건/NNG+들/XSN+을/JKO
공정하고	공정/NNG+하/XSA+고/EC
철저히	철저히/MAG
수사해	수사/NNG+하/XSV+아/EC
마무리하며	마무리/NNG+하/XSV+며/EC
국민의	국민/NNG+의/JKG
신뢰를	신뢰/NNG+를/JKO
받는	받/VV+는/ETM
검찰을	검찰/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
김	김/NNP
전	전/MMD
대검	대검/NNG
차장을	차장/NNG+을/JKO
내정했다"고	내정/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.421.4.1
박 대통령은 그동안 국정원 댓글 사건과 관련해 야당으로부터 입장 표명을 요구받아 왔지만 침묵을 지켜왔다.

박	박/NNP
대통령은	대통령/NNG+은/JX
그동안	그동안/NNG
국정원	국정원/NNG
댓글	댓글/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
야당으로부터	야당/NNG+으로부터/JKB
입장	입장/NNG
표명을	표명/NNG+을/JKO
요구받아	요구/NNG+받/XSV+아/EC
왔지만	오/VX+았/EP+지만/EC
침묵을	침묵/NNG+을/JKO
지켜왔다.	지키/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.421.4.2
이런 가운데 박 대통령은 검찰총장 인선을 발표하면서 국정원 댓글 사건에 대한 '공정하고 철저한 수사'를 강조한 것이다.

이런	이런/MMD
가운데	가운데/NNG
박	박/NNP
대통령은	대통령/NNG+은/JX
검찰총장	검찰/NNG+총장/NNG
인선을	인선/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
국정원	국정원/NNG
댓글	댓글/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'공정하고	'/SS+공정/NNG+하/XSA+고/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
수사'를	수사/NNG+'/SS+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.421.4.3
새 정부가 국정원 수사를 막으려 한다는 일각의 비판을 불식하려는 뜻으로 보인다.

새	새/MMA
정부가	정부/NNG+가/JKS
국정원	국정원/NNG
수사를	수사/NNG+를/JKO
막으려	막/VV+으려/EC
한다는	하/VX+ㄴ다는/ETM
일각의	일각/NNG+의/JKG
비판을	비판/NNG+을/JKO
불식하려는	불식/NNG+하/XSV+려는/ETM
뜻으로	뜻/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.421.5.1
이 수석은 "김 내정자는 전직 대통령 비자금 사건과 한보 비리 사건 등 국민적 이목이 집중되었던 사건들을 법과 원칙에 따라서 엄정하게 처리한 분"이라며 "검찰총장의 직책을 훌륭하게 수행할 수 있는 적임자"라고 했다.

이	이/NNP
수석은	수석/NNG+은/JX
"김	"/SS+김/NNP
내정자는	내정자/NNG+는/JX
전직	전직/NNG
대통령	대통령/NNG
비자금	비자금/NNG
사건과	사건/NNG+과/JC
한보	한보/NNP
비리	비리/NNG
사건	사건/NNG
등	등/NNB
국민적	국민/NNG+적/XSN
이목이	이목/NNG+이/JKS
집중되었던	집중/NNG+되/XSV+었/EP+던/ETM
사건들을	사건/NNG+들/XSN+을/JKO
법과	법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라서	따르/VV+아서/EC
엄정하게	엄정/NNG+하/XSA+게/EC
처리한	처리/NNG+하/XSV+ㄴ/ETM
분"이라며	분/NNB+"/SS+이/VCP+라며/EC
"검찰총장의	"/SS+검찰/NNG+총장/NNG+의/JKG
직책을	직책/NNG+을/JKO
훌륭하게	훌륭하/VA+게/EC
수행할	수행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적임자"라고	적임자/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.421.6.1
야당이 김 내정자에 대한 엄중한 청문회를 예고하고 있는 가운데 국가의 사정(司正) 기관을 PK(부산·경남) 출신들이 장악하게 된 점이 특히 논란거리가 될 것으로 보인다.

야당이	야당/NNG+이/JKS
김	김/NNP
내정자에	내정자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
청문회를	청문회/NNG+를/JKO
예고하고	예고/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
국가의	국가/NNG+의/JKG
사정(司正)	사정/NNG+(/SS+司正/SH+)/SS
기관을	기관/NNG+을/JKO
PK(부산·경남)	PK/SL+(/SS+부산/NNP+·/SP+경남/NNP+)/SS
출신들이	출신/NNG+들/XSN+이/JKS
장악하게	장악/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
점이	점/NNG+이/JKS
특히	특히/MAG
논란거리가	논란거리/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.421.6.2
김 내정자는 경남 사천 출신으로 김기춘 청와대 비서실장(거제), 홍경식 민정수석(마산)과 동향이다.

김	김/NNP
내정자는	내정자/NNG+는/JX
경남	경남/NNP
사천	사천/NNP
출신으로	출신/NNG+으로/JKB
김기춘	김기춘/NNP
청와대	청와대/NNP
비서실장(거제),	비서실장/NNG+(/SS+거제/NNP+)/SS+,/SP
홍경식	홍경식/NNP
민정수석(마산)과	민정/NNG+수석/NNG+(/SS+마산/NNP+)/SS+과/JKB
동향이다.	동향/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.421.6.3
정홍원 총리(하동), 황찬현 감사원장 내정자(마산)도 같은 지역 출신이다.

정홍원	정홍원/NNP
총리(하동),	총리/NNG+(/SS+하동/NNP+)/SS+,/SP
황찬현	황찬현/NNP
감사원장	감사원장/NNG
내정자(마산)도	내정자/NNG+(/SS+마산/NNP+)/SS+도/JX
같은	같/VA+은/ETM
지역	지역/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


