# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.303
metadata : {}


# id : NWRW1800000041.303.1.1
朴대통령 “北, 장성택 처형후 더 불안정 필요하다면 김정은 만날 것”

朴대통령	朴/SH+대통령/NNG
“北,	“/SS+北/SH+,/SP
장성택	장성택/NNP
처형후	처형/NNG+후/NNG
더	더/MAG
불안정	불/XPN+안정/NNG
필요하다면	필요/NNG+하/XSA+다면/EC
김정은	김정은/NNP
만날	만나/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.303.2.1
[동아일보 통일코리아 프로젝트 2년차] CNN과 인터뷰

[동아일보	[/SS+동아일보/NNP
통일코리아	통일/NNG+코리아/NNP
프로젝트	프로젝트/NNG
2년차]	2/SN+년/NNB+차/NNB+]/SS
CNN과	CNN/SL+과/JKB
인터뷰	인터뷰/NNG


# id : NWRW1800000041.303.3.1
박근혜 대통령은 14일 북한의 대남 도발 가능성에 대해 “너무나 예측 불가능한 상황이 됐기 때문에 우리의 안보태세를 튼튼히 하고 국민의 안위를 보호하는 것에 최우선을 두겠다”며 “(북한의) 도발에 대해 아주 단호하게 대처할 것이며 그것은 분명한 일”이라고 말했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
14일	14/SN+일/NNB
북한의	북한/NNP+의/JKG
대남	대남/NNG
도발	도발/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
“너무나	“/SS+너무나/MAG
예측	예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상황이	상황/NNG+이/JKC
됐기	되/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
우리의	우리/NP+의/JKG
안보태세를	안보/NNG+태세/NNG+를/JKO
튼튼히	튼튼히/MAG
하고	하/VV+고/EC
국민의	국민/NNG+의/JKG
안위를	안위/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
최우선을	최/XPN+우선/NNG+을/JKO
두겠다”며	두/VV+겠/EP+다/EF+”/SS+며/EC
“(북한의)	“/SS+(/SS+북한/NNP+의/JKG+)/SS
도발에	도발/NNG+에/JKB
아주	아주/MAG
단호하게	단호하/VA+게/EC
대처할	대처/NNG+하/XSV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
그것은	그것/NP+은/JX
분명한	분명/MAG+하/XSA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.303.4.1
박 대통령은 미국 CNN방송과의 인터뷰에서 “북한은 예측 불허의 나라인데 (장성택 처형 이후) 불안정성이 더 높아진 것이 사실이다.

박	박/NNP
대통령은	대통령/NNG+은/JX
미국	미국/NNP
CNN방송과의	CNN/SL+방송/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“북한은	“/SS+북한/NNP+은/JX
예측	예측/NNG
불허의	불허/NNG+의/JKG
나라인데	나라/NNG+이/VCP+ㄴ데/EC
(장성택	(/SS+장성택/NNP
처형	처형/NNG
이후)	이후/NNG+)/SS
불안정성이	불/XPN+안정/NNG+성/XSN+이/JKS
더	더/MAG
높아진	높아지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.303.4.2
한반도와 동북아 정세의 불안정성이 더 심화되지 않을까 우려하고 있다”며 이같이 말했다고 이 방송은 보도했다.

한반도와	한반도/NNP+와/JKB
동북아	동북아/NNP
정세의	정세/NNG+의/JKG
불안정성이	불/XPN+안정/NNG+성/XSN+이/JKS
더	더/MAG
심화되지	심화/NNG+되/XSV+지/EC
않을까	않/VX+을까/EF
우려하고	우려/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
이같이	이같이/MAG
말했다고	말/NNG+하/XSV+았/EP+다고/EC
이	이/MMD
방송은	방송/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.303.4.3
CNN과의 인터뷰는 13일 청와대 접견실에서 이뤄졌다.

CNN과의	CNN/SL+과/JKB+의/JKG
인터뷰는	인터뷰/NNG+는/JX
13일	13/SN+일/NNB
청와대	청와대/NNP
접견실에서	접견실/NNG+에서/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.303.5.1
박 대통령은 ‘장성택 처형 사건으로 볼 때 김정은의 통치력이 확고하다고 보느냐, 아니면 권력 장악력이 취약하다고 보느냐’는 질문에 “두 가지 다 가능성이 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
‘장성택	‘/SS+장성택/NNP
처형	처형/NNG
사건으로	사건/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
김정은의	김정은/NNP+의/JKG
통치력이	통치력/NNG+이/JKS
확고하다고	확고하/VA+다고/EC
보느냐,	보/VV+느냐/EF+,/SP
아니면	아니/VCN+면/EC
권력	권력/NNG
장악력이	장악력/NNG+이/JKS
취약하다고	취약/NNG+하/XSA+다고/EC
보느냐’는	보/VV+느냐/EF+’/SS+는/ETM
질문에	질문/NNG+에/JKB
“두	“/SS+두/MMN
가지	가지/NNB
다	다/MAG
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.303.5.2
장성택 숙청으로 (김정은의) 장악력이 커질 수 있겠지만 그것이 일시적일 수 있고 결과적으로 더 취약해지는 결과를 가져올 수도 있다”고 말했다.

장성택	장성택/NNP
숙청으로	숙청/NNG+으로/JKB
(김정은의)	(/SS+김정은/NNP+의/JKG+)/SS
장악력이	장악력/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
수	수/NNB
있겠지만	있/VA+겠/EP+지만/EC
그것이	그것/NP+이/JKS
일시적일	일시/NNG+적/XSN+이/VCP+ㄹ/ETM
있고	있/VA+고/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
더	더/MAG
취약해지는	취약/NNG+하/XSA+아/EC+지/VX+는/ETM
결과를	결과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.303.6.1
김정은과의 남북 정상회담 추진 여부에 대해 “회담을 위한 회담이 아니라 뭔가 실질적인 남북 관계의 진전이나 평화 증진을 위해 필요하다면 만나야 한다”고 강조했다.

김정은과의	김정은/NNP+과/JKB+의/JKG
남북	남북/NNP
정상회담	정상/NNG+회담/NNG
추진	추진/NNG
여부에	여부/NNG+에/JKB
대해	대하/VV+아/EC
“회담을	“/SS+회담/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
회담이	회담/NNG+이/JKC
아니라	아니/VCN+라/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
관계의	관계/NNG+의/JKG
진전이나	진전/NNG+이나/JC
평화	평화/NNG
증진을	증진/NNG+을/JKO
위해	위하/VV+아/EC
필요하다면	필요/NNG+하/XSA+다면/EC
만나야	만나/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.303.6.2
국내 정치적 상황을 고려하기보다 북한이 남북 관계 개선을 위해 진정성을 보일 때 정상회담을 추진할 수 있다는 의미로 풀이된다.

국내	국내/NNG
정치적	정치/NNG+적/XSN
상황을	상황/NNG+을/JKO
고려하기보다	고려/NNG+하/XSV+기/ETN+보다/JKB
북한이	북한/NNP+이/JKS
남북	남북/NNP
관계	관계/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
진정성을	진정/NNG+성/XSN+을/JKO
보일	보이/VV+ㄹ/ETM
때	때/NNG
정상회담을	정상/NNG+회담/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의미로	의미/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.303.7.1
박 대통령은 6일 내외신 신년 기자회견 뒤 블룸버그통신을 시작으로 CNN방송, 인도 국영방송인 DD1TV 등 외신들과 잇달아 인터뷰를 했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
6일	6/SN+일/NNB
내외신	내외신/NNG
신년	신년/NNG
기자회견	기자/NNG+회견/NNG
뒤	뒤/NNG
블룸버그통신을	블룸버그통신/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
CNN방송,	CNN/SL+방송/NNG+,/SP
인도	인도/NNP
국영방송인	국영/NNG+방송/NNG+이/VCP+ㄴ/ETM
DD1TV	DD/SL+1/SN+TV/SL
등	등/NNB
외신들과	외신/NNG+들/XSN+과/JKB
잇달아	잇달/VV+아/EC
인터뷰를	인터뷰/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.303.7.2
북한과 일본 문제를 국제사회에 적극 알려 국제적 공조를 끌어내기 위한 ‘인터뷰 외교전’을 펴고 있다는 분석이 나온다.

북한과	북한/NNP+과/JC
일본	일본/NNP
문제를	문제/NNG+를/JKO
국제사회에	국제/NNG+사회/NNG+에/JKB
적극	적극/NNG
알려	알리/VV+어/EC
국제적	국제/NNG+적/XSN
공조를	공조/NNG+를/JKO
끌어내기	끌어내/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘인터뷰	‘/SS+인터뷰/NNG
외교전’을	외교전/NNG+’/SS+을/JKO
펴고	펴/VV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.303.7.3
박 대통령은 15일 인도와 스위스 국빈 방문을 위해 출국해 23일 귀국한다.

박	박/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
인도와	인도/NNP+와/JC
스위스	스위스/NNP
국빈	국빈/NNG
방문을	방문/NNG+을/JKO
위해	위하/VV+아/EC
출국해	출국/NNG+하/XSV+아/EC
23일	23/SN+일/NNB
귀국한다.	귀국/NNG+하/XSV+ㄴ다/EF+./SF


