# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.322
metadata : {}


# id : NWRW1800000030.322.1.1
北이 끊겠다 협박한 東海 통신선, 이미 먹통

北이	北/SH+이/JKS
끊겠다	끊/VV+겠/EP+다/EF
협박한	협박/NNG+하/XSV+ㄴ/ETM
東海	東海/SH
통신선,	통신선/NNG+,/SP
이미	이미/MAG
먹통	먹통/NNG


# id : NWRW1800000030.322.2.1
•작년 고성 산불때 벌써 끊겨

•작년	•/SW+작년/NNG
고성	고성/NNP
산불때	산불/NNG+때/NNG
벌써	벌써/MAG
끊겨	끊기/VV+어/EF


# id : NWRW1800000030.322.3.1
북한은 김정일 방중(訪中) 이후 첫 대남 메시지로 "동해지구 군(軍) 통신선을 차단하겠다"고 협박했지만 동해 군 통신선은 작년 12월 강원도 고성지역 산불로 이미 불통인 상태인 것으로 31일 확인됐다.

북한은	북한/NNP+은/JX
김정일	김정일/NNP
방중(訪中)	방중/NNG+(/SS+訪中/SH+)/SS
이후	이후/NNG
첫	첫/MMN
대남	대남/NNG
메시지로	메시지/NNG+로/JKB
"동해지구	"/SS+동해지구/NNP
군(軍)	군/NNG+(/SS+軍/SH+)/SS
통신선을	통신선/NNG+을/JKO
차단하겠다"고	차단/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
협박했지만	협박/NNG+하/XSV+았/EP+지만/EC
동해	동해/NNP
군	군/NNG
통신선은	통신선/NNG+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
강원도	강원도/NNP
고성지역	고성/NNP+지역/NNG
산불로	산불/NNG+로/JKB
이미	이미/MAG
불통인	불통/NNG+이/VCP+ㄴ/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
31일	31/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.322.4.1
통일부 당국자는 이날 "동해지구 군 통신선(동케이블 3회선)이 작년 12월 고성 산불로 끊긴 이후 북측에 수차례 복구공사를 하자고 요구했지만 아무런 응답이 없었다"고 말했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
이날	이날/NNG
"동해지구	"/SS+동해지구/NNP
군	군/NNG
통신선(동케이블	통신선/NNG+(/SS+동/NNG+케이블/NNG
3회선)이	3/SN+회선/NNG+)/SS+이/JKS
작년	작년/NNG
12월	12/SN+월/NNB
고성	고성/NNP
산불로	산불/NNG+로/JKB
끊긴	끊기/VV+ㄴ/ETM
이후	이후/NNG
북측에	북측/NNG+에/JKB
수차례	수차례/NNG
복구공사를	복구공사/NNG+를/JKO
하자고	하/VV+자고/EC
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
아무런	아무런/MMD
응답이	응답/NNG+이/JKS
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.322.4.2
현재 일주일에 한 번(수요일) 금강산지구로 올라가는 우리측 인원은 서해지구 군 통신선을 이용해 북측과 출입 명단을 교환하고 있다.

현재	현재/MAG
일주일에	일주일/NNG+에/JKB
한	한/MMN
번(수요일)	번/NNB+(/SS+수요일/NNG+)/SS
금강산지구로	금강산지구/NNP+로/JKB
올라가는	올라가/VV+는/ETM
우리측	우리/NP+측/NNB
인원은	인원/NNG+은/JX
서해지구	서해지구/NNP
군	군/NNG
통신선을	통신선/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
북측과	북측/NNG+과/JKB
출입	출입/NNG
명단을	명단/NNG+을/JKO
교환하고	교환/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.322.5.1
통일부측은 "수요일인 내일(1일) 우리측 인원 7명이 금강산에 들어갈 계획인데 북한이 어떤 반응을 보일지 주목하고 있다"고 말했다.

통일부측은	통일부/NNG+측/NNB+은/JX
"수요일인	"/SS+수요일/NNG+이/VCP+ㄴ/ETM
내일(1일)	내일/NNG+(/SS+1/SN+일/NNB+)/SS
우리측	우리/NP+측/NNB
인원	인원/NNG
7명이	7/SN+명/NNB+이/JKS
금강산에	금강산/NNP+에/JKB
들어갈	들어가/VV+ㄹ/ETM
계획인데	계획/NNG+이/VCP+ㄴ데/EC
북한이	북한/NNP+이/JKS
어떤	어떤/MMD
반응을	반응/NNG+을/JKO
보일지	보이/VV+ㄹ지/EF
주목하고	주목/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.322.5.2
금강산에는 관광시설 관리 등을 위해 14명 안팎의 우리측 인원이 체류 중이다.

금강산에는	금강산/NNP+에/JKB+는/JX
관광시설	관광/NNG+시설/NNG
관리	관리/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
14명	14/SN+명/NNB
안팎의	안팎/NNG+의/JKG
우리측	우리/NP+측/NNB
인원이	인원/NNG+이/JKS
체류	체류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.322.6.1
북한은 30일 최고 권력기구인 국방위원회(위원장 김정일) 대변인 성명을 통해 "(남한과) 더 이상 상종하지 않을 것이고, 동해 군 통신선을 차단하겠다"고 했지만 '말 협박'에 그칠 가능성이 크다는 관측이 나온다.

북한은	북한/NNP+은/JX
30일	30/SN+일/NNB
최고	최고/NNG
권력기구인	권력/NNG+기구/NNG+이/VCP+ㄴ/ETM
국방위원회(위원장	국방/NNG+위원회/NNG+(/SS+위원장/NNG
김정일)	김정일/NNP+)/SS
대변인	대변인/NNG
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
"(남한과)	"/SS+(/SS+남한/NNP+과/JKB+)/SS
더	더/MAG
이상	이상/NNG
상종하지	상종/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
동해	동해/NNP
군	군/NNG
통신선을	통신선/NNG+을/JKO
차단하겠다"고	차단/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
'말	'/SS+말/NNG
협박'에	협박/NNG+'/SS+에/JKB
그칠	그치/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.322.6.2
이번에도 북한은 개성공단 출입에 사용되는 서해지구 군 통신선은 건드리지 않은 채 이미 끊긴 상태인 동해지구 통신선만 차단하겠다고 협박했기 때문이다.

이번에도	이번/NNG+에/JKB+도/JX
북한은	북한/NNP+은/JX
개성공단	개성공단/NNP
출입에	출입/NNG+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
서해지구	서해지구/NNP
군	군/NNG
통신선은	통신선/NNG+은/JX
건드리지	건드리/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
이미	이미/MAG
끊긴	끊기/VV+ㄴ/ETM
상태인	상태/NNG+이/VCP+ㄴ/ETM
동해지구	동해지구/NNP
통신선만	통신선/NNG+만/JX
차단하겠다고	차단/NNG+하/XSV+겠/EP+다고/EC
협박했기	협박/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.322.6.3
북한은 '달러 가뭄' 속에 개성공단에서만 인건비 등으로 연간 5000만달러의 현금을 챙기고 있다.

북한은	북한/NNP+은/JX
'달러	'/SS+달러/NNG
가뭄'	가뭄/NNG+'/SS
속에	속/NNG+에/JKB
개성공단에서만	개성공단/NNP+에서/JKB+만/JX
인건비	인건비/NNG
등으로	등/NNB+으로/JKB
연간	연간/NNG
5000만달러의	5000/SN+만/NR+달러/NNB+의/JKG
현금을	현금/NNG+을/JKO
챙기고	챙기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.322.6.4
북한은 작년 2월에도 군사 실무회담이 결렬된 직후 "(남한과) 상종할 필요성을 못 느낀다"고 했지만 다시 유화 공세를 폈었다.

북한은	북한/NNP+은/JX
작년	작년/NNG
2월에도	2/SN+월/NNB+에/JKB+도/JX
군사	군사/NNG
실무회담이	실무/NNG+회담/NNG+이/JKS
결렬된	결렬/NNG+되/XSV+ㄴ/ETM
직후	직후/NNG
"(남한과)	"/SS+(/SS+남한/NNP+과/JKB+)/SS
상종할	상종/NNG+하/XSV+ㄹ/ETM
필요성을	필요/NNG+성/XSN+을/JKO
못	못/MAG
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
다시	다시/MAG
유화	유화/NNG
공세를	공세/NNG+를/JKO
폈었다.	펴/VV+었었/EP+다/EF+./SF


