# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.135
metadata : {}


# id : NWRW1800000046.135.1.1
"國軍포로 귀환 노력안한 국가 1억 배상"

"國軍포로	"/SS+國軍/SH+포로/NNG
귀환	귀환/NNG
노력안한	노력/NNG+안/MAG+하/VV+ㄴ/ETM
국가	국가/NNG
1억	1/SN+억/NR
배상"	배상/NNG+"/SS


# id : NWRW1800000046.135.2.1
법원, 국가 책임 첫 인정… 故 한만택씨 유족 승소 판결

법원,	법원/NNG+,/SP
국가	국가/NNG
책임	책임/NNG
첫	첫/MMN
인정…	인정/NNG+…/SE
故	故/SH
한만택씨	한만택/NNP+씨/NNB
유족	유족/NNG
승소	승소/NNG
판결	판결/NNG


# id : NWRW1800000046.135.3.1
북한에서 중국으로 탈출한 국군 포로의 귀환을 위해 노력을 다하지 않았다는 이유로 국가가 남측 가족에게 손해 배상금을 지급하게 됐다.

북한에서	북한/NNP+에서/JKB
중국으로	중국/NNP+으로/JKB
탈출한	탈출/NNG+하/XSV+ㄴ/ETM
국군	국군/NNG
포로의	포로/NNG+의/JKG
귀환을	귀환/NNG+을/JKO
위해	위하/VV+아/EC
노력을	노력/NNG+을/JKO
다하지	다/MAG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
국가가	국가/NNG+가/JKS
남측	남측/NNG
가족에게	가족/NNG+에게/JKB
손해	손해/NNG
배상금을	배상금/NNG+을/JKO
지급하게	지급/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.3.2
국군 포로 북송(北送)과 관련해 국가 배상 책임을 인정한 첫 판결이다.

국군	국군/NNG
포로	포로/NNG
북송(北送)과	북송/NNG+(/SS+北送/SH+)/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
국가	국가/NNG
배상	배상/NNG
책임을	책임/NNG+을/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
판결이다.	판결/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.135.4.1
서울중앙지법 민사47부(재판장 홍동기)는 국군 포로 고(故) 한만택씨의 남측 가족이 국가를 상대로 낸 소송에서 "국가는 1억원을 배상하라"고 15일 판결했다.

서울중앙지법	서울중앙지법/NNP
민사47부(재판장	민사/NNG+47/SN+부/NNG+(/SS+재판장/NNG
홍동기)는	홍동기/NNP+)/SS+는/JX
국군	국군/NNG
포로	포로/NNG
고(故)	고/MMA+(/SS+故/SH+)/SS
한만택씨의	한만택/NNP+씨/NNB+의/JKG
남측	남측/NNG
가족이	가족/NNG+이/JKS
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
"국가는	"/SS+국가/NNG+는/JX
1억원을	1/SN+억/NR+원/NNB+을/JKO
배상하라"고	배상/NNG+하/XSV+라/EF+"/SS+고/JKQ
15일	15/SN+일/NNB
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.135.5.1
6·25전쟁에 참전해 금성 화랑 무공훈장을 받은 한씨는 1953년 6월 강원도 금화지구 전투에서 북한군의 포로가 돼 북한으로 끌려갔다.

6·25전쟁에	6/SN+·/SP+25/SN+전쟁/NNG+에/JKB
참전해	참전/NNG+하/XSV+아/EC
금성	금성/NNG
화랑	화랑/NNG
무공훈장을	무공/NNG+훈장/NNG+을/JKO
받은	받/VV+은/ETM
한씨는	한/NNP+씨/NNB+는/JX
1953년	1953/SN+년/NNB
6월	6/SN+월/NNB
강원도	강원도/NNP
금화지구	금화지구/NNP
전투에서	전투/NNG+에서/JKB
북한군의	북한군/NNG+의/JKG
포로가	포로/NNG+가/JKC
돼	되/VV+어/EC
북한으로	북한/NNP+으로/JKB
끌려갔다.	끌려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.135.5.2
가족은 한씨가 사망한 것으로 알고 있었지만, 2004년 11월 그의 생존 사실을 알게 된 이후 외교통상부와 국방부에 "한씨가 안전하게 한국으로 돌아올 수 있게 해달라"고 요청하고 전화로 탈출 계획을 알렸다.

가족은	가족/NNG+은/JX
한씨가	한/NNP+씨/NNB+가/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
2004년	2004/SN+년/NNB
11월	11/SN+월/NNB
그의	그/NP+의/JKG
생존	생존/NNG
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
이후	이후/NNG
외교통상부와	외교/NNG+통상부/NNG+와/JC
국방부에	국방부/NNG+에/JKB
"한씨가	"/SS+한/NNP+씨/NNB+가/JKS
안전하게	안전/NNG+하/XSA+게/EC
한국으로	한국/NNP+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해달라"고	하/VX+아/EC+달/VX+라/EF+"/SS+고/JKQ
요청하고	요청/NNG+하/XSV+고/EC
전화로	전화/NNG+로/JKB
탈출	탈출/NNG
계획을	계획/NNG+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.6.1
이에 따라 한씨는 같은 해 12월 27일 두만강을 건너 중국 옌지(延吉)로 탈출했으나 이튿날 중국 공안 당국에 체포돼 다시 강제 북송됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한씨는	한/NNP+씨/NNB+는/JX
같은	같/VA+은/ETM
해	해/NNG
12월	12/SN+월/NNB
27일	27/SN+일/NNB
두만강을	두만강/NNP+을/JKO
건너	건너/VV+어/EC
중국	중국/NNP
옌지(延吉)로	옌지/NNP+(/SS+延吉/SH+)/SS+로/JKB
탈출했으나	탈출/NNG+하/XSV+았/EP+으나/EC
이튿날	이튿날/NNG
공안	공안/NNG
당국에	당국/NNG+에/JKB
체포돼	체포/NNG+되/XSV+어/EC
다시	다시/MAG
강제	강제/NNG
북송됐다.	북송/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.135.6.2
탈북한 국군 포로가 강제 북송된 첫 사례였다.

탈북한	탈북/NNG+하/XSV+ㄴ/ETM
국군	국군/NNG
포로가	포로/NNG+가/JKS
강제	강제/NNG
북송된	북송/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
사례였다.	사례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.135.6.3
한씨를 데려오기 위해 중국에 갔던 가족은 한씨가 북송되자 그가 받았던 훈장을 국가에 반납하기도 했다.

한씨를	한/NNP+씨/NNB+를/JKO
데려오기	데려오/VV+기/ETN
위해	위하/VV+아/EC
중국에	중국/NNP+에/JKB
갔던	가/VV+았/EP+던/ETM
가족은	가족/NNG+은/JX
