# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.223
metadata : {}


# id : NWRW1800000032.223.1.1
여성폭력피해 쉼터 이용자 정보 /‘정부 전산망 5년 보관’ 갈등 지속

여성폭력피해	여성/NNG+폭력/NNG+피해/NNG
쉼터	쉼터/NNG
이용자	이용자/NNG
정보	정보/NNG
/‘정부	//SP+‘/SS+정부/NNG
전산망	전산망/NNG
5년	5/SN+년/NNB
보관’	보관/NNG+’/SS
갈등	갈등/NNG
지속	지속/NNG


# id : NWRW1800000032.223.2.1
·2차피해 우려에

·2차피해	·/SP+2/SN+차/NNB+피해/NNG
우려에	우려/NNG+에/JKB


# id : NWRW1800000032.223.3.1
여성부 “유출 가능성 없다”

여성부	여성부/NNG
“유출	“/SS+유출/NNG
가능성	가능/NNG+성/XSN
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000032.223.4.1
지난해부터 도입된 ‘사회복지통합관리망’(사통망·행복e음)을 놓고 여성가족부와 여성폭력피해시설 사이에 ‘인권 침해’ 갈등이 계속되고 있다.

지난해부터	지난해/NNG+부터/JX
도입된	도입/NNG+되/XSV+ㄴ/ETM
‘사회복지통합관리망’(사통망·행복e음)을	‘/SS+사회/NNG+복지/NNG+통합/NNG+관리망/NNG+’/SS+(/SS+사통망/NNG+·/SP+행복e음/NNP+)/SS+을/JKO
놓고	놓/VV+고/EC
여성가족부와	여성/NNG+가족부/NNG+와/JC
여성폭력피해시설	여성/NNG+폭력/NNG+피해/NNG+시설/NNG
사이에	사이/NNG+에/JKB
‘인권	‘/SS+인권/NNG
침해’	침해/NNG+’/SS
갈등이	갈등/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.223.4.2
여성가족부는 “사통망을 통해서는 주민번호를 볼 수 없고, 업무 범위에 한해서만 접근이 가능하다”며 문제가 없다는 태도지만, 여성폭력피해시설 관계자들은 “한 번 쉼터에 왔다고 개인정보가 5년간 정부 통합관리망에 저장되는 건 2, 3차 피해를 야기할 수 있다”며 반발하고 있다.

여성가족부는	여성/NNG+가족부/NNG+는/JX
“사통망을	“/SS+사통망/NNG+을/JKO
통해서는	통하/VV+아서/EC+는/JX
주민번호를	주민/NNG+번호/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
업무	업무/NNG
범위에	범위/NNG+에/JKB
한해서만	한/NNG+하/XSV+아서/EC+만/JX
접근이	접근/NNG+이/JKS
가능하다”며	가능/NNG+하/XSA+다/EF+”/SS+며/EC
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
태도지만,	태도/NNG+이/VCP+지만/EC+,/SP
여성폭력피해시설	여성/NNG+폭력/NNG+피해/NNG+시설/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
“한	“/SS+한/MMN
번	번/NNB
쉼터에	쉼터/NNG+에/JKB
왔다고	오/VV+았/EP+다고/EC
개인정보가	개인/NNG+정보/NNG+가/JKS
5년간	5/SN+년/NNB+간/XSN
정부	정부/NNG
통합관리망에	통합/NNG+관리망/NNG+에/JKB
저장되는	저장/NNG+되/XSV+는/ETM
건	거/NNB+ㄴ/JX
2,	2/SN+,/SP
3차	3/SN+차/NNB
피해를	피해/NNG+를/JKO
야기할	야기/NNG+하/XSV+ㄹ/ETM
있다”며	있/VA+다/EF+”/SS+며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.223.5.1
여성폭력피해시설들이 가장 문제삼는 대목은 27개 기관 215종의 사항이 연계된 중앙정보시스템인 사통망에 개인정보가 5년간 집적된다는 사실이다.

여성폭력피해시설들이	여성/NNG+폭력/NNG+피해/NNG+시설/NNG+들/XSN+이/JKS
가장	가장/MAG
문제삼는	문제/NNG+삼/VV+는/ETM
대목은	대목/NNG+은/JX
27개	27/SN+개/NNB
기관	기관/NNG
215종의	215/SN+종/NNG+의/JKG
사항이	사항/NNG+이/JKS
연계된	연계/NNG+되/XSV+ㄴ/ETM
중앙정보시스템인	중앙/NNG+정보/NNG+시스템/NNG+이/VCP+ㄴ/ETM
사통망에	사통망/NNG+에/JKB
개인정보가	개인/NNG+정보/NNG+가/JKS
5년간	5/SN+년/NNB+간/XSN
집적된다는	집적/NNG+되/XSV+ㄴ다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.223.5.2
폭력피해시설을 이용할 경우 기초생활 수급 여부를 확인하기 위해 필요한 주민등록번호와 금융정보제공동의서 등의 정보가 이용기간에 관계없이 5년간 정부 행정망에 집적된다.

폭력피해시설을	폭력/NNG+피해/NNG+시설/NNG+을/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
기초생활	기초/NNG+생활/NNG
수급	수급/NNG
여부를	여부/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
주민등록번호와	주민/NNG+등록/NNG+번호/NNG+와/JC
금융정보제공동의서	금융/NNG+정보/NNG+제공/NNG+동의서/NNG
등의	등/NNB+의/JKG
정보가	정보/NNG+가/JKS
이용기간에	이용/NNG+기간/NNG+에/JKB
관계없이	관계없이/MAG
5년간	5/SN+년/NNB+간/XSN
정부	정부/NNG
행정망에	행정/NNG+망/NNG+에/JKB
집적된다.	집적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.223.5.3
이 때문에 일부 여성폭력피해시설들은 지금까지 수기로 개인정보를 기록해 해당 지방자치단체에 전달했으나, 지난해부터는 수기로 전달해도 지자체에서 사통망으로 입력하게 됐다.

이	이/NP
때문에	때문/NNB+에/JKB
일부	일부/NNG
여성폭력피해시설들은	여성/NNG+폭력/NNG+피해/NNG+시설/NNG+들/XSN+은/JX
지금까지	지금/NNG+까지/JX
수기로	수기/NNG+로/JKB
개인정보를	개인/NNG+정보/NNG+를/JKO
기록해	기록/NNG+하/XSV+아/EC
해당	해당/NNG
지방자치단체에	지방/NNG+자치/NNG+단체/NNG+에/JKB
전달했으나,	전달/NNG+하/XSV+았/EP+으나/EC+,/SP
지난해부터는	지난해/NNG+부터/JX+는/JX
전달해도	전달/NNG+하/XSV+아도/EC
지자체에서	지자체/NNG+에서/JKB
사통망으로	사통망/NNG+으로/JKB
입력하게	입력/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.223.6.1
한국여성민우회 성폭력상담소 이임혜경 소장은 “전자적으로 집적된 정보가 어떻게 사용될지 몰라 여성폭력피해자의 사생활 침해, 신변 안전 위험, 정보인권 침해 등의 문제를 제기해왔다”며 “개인에 대한 정보와 기록은 최소한의 공간에서 보관될 필요가 있다”고 말했다.

한국여성민우회	한국여성민우회/NNP
성폭력상담소	성폭력/NNG+상담소/NNG
이임혜경	이임혜경/NNP
소장은	소장/NNG+은/JX
“전자적으로	“/SS+전자/NNG+적/XSN+으로/JKB
집적된	집적/NNG+되/XSV+ㄴ/ETM
정보가	정보/NNG+가/JKS
어떻게	어떻/VA+게/EC
사용될지	사용/NNG+되/XSV+ㄹ지/EF
몰라	모르/VV+아/EC
여성폭력피해자의	여성/NNG+폭력/NNG+피해자/NNG+의/JKG
사생활	사생활/NNG
침해,	침해/NNG+,/SP
신변	신변/NNG
안전	안전/NNG
위험,	위험/NNG+,/SP
정보인권	정보/NNG+인권/NNG
침해	침해/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
제기해왔다”며	제기/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“개인에	“/SS+개인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보와	정보/NNG+와/JC
기록은	기록/NNG+은/JX
최소한의	최소한/NNG+의/JKG
공간에서	공간/NNG+에서/JKB
보관될	보관/NNG+되/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.223.7.1
여성폭력피해자 지원시설들이 모인 ‘여성폭력피해자지원시설 전자정부화대응모임’이 지난해 10월 전국의 여성폭력피해시설 입소자 419명을 대상으로 설문조사를 벌인 결과, 5년간 개인정보가 저장됨에도 쉼터에 입소하겠다는 이들은 54.9%(230명), 입소하지 않겠다는 이들은 44.6%(187명)였다.

여성폭력피해자	여성/NNG+폭력/NNG+피해자/NNG
지원시설들이	지원/NNG+시설/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
‘여성폭력피해자지원시설	‘/SS+여성/NNG+폭력/NNG+피해자/NNG+지원/NNG+시설/NNG
전자정부화대응모임’이	전자정부화대응모임/NNP+’/SS+이/JKS
지난해	지난해/NNG
10월	10/SN+월/NNB
전국의	전국/NNG+의/JKG
여성폭력피해시설	여성/NNG+폭력/NNG+피해/NNG+시설/NNG
입소자	입소자/NNG
419명을	419/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
5년간	5/SN+년/NNB+간/XSN
개인정보가	개인/NNG+정보/NNG+가/JKS
저장됨에도	저장/NNG+되/XSV+ㅁ/ETN+에/JKB+도/JX
쉼터에	쉼터/NNG+에/JKB
입소하겠다는	입소/NNG+하/XSV+겠/EP+다는/ETM
이들은	이/NNB+들/XSN+은/JX
54.9%(230명),	54/SN+./SP+9/SN+%/SW+(/SS+230/SN+명/NNB+)/SS+,/SP
입소하지	입소/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
44.6%(187명)였다.	44/SN+./SP+6/SN+%/SW+(/SS+187/SN+명/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.223.7.2
입소하지 않겠다는 이들은 ‘가해자가 찾아올지 모른다는 불안감’(62명·33.2%)과 함께 ‘개인정보 집적 반대’(60명·32.1%)를 주요한 이유로 꼽았다.

입소하지	입소/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
이들은	이/NNB+들/XSN+은/JX
‘가해자가	‘/SS+가해자/NNG+가/JKS
찾아올지	찾아오/VV+ㄹ지/EF
모른다는	모르/VV+ㄴ다는/ETM
불안감’(62명·33.2%)과	불안감/NNG+’/SS+(/SS+62/SN+명/NNB+·/SP+33/SN+./SP+2/SN+%/SW+)/SS+과/JKB
함께	함께/MAG
‘개인정보	‘/SS+개인/NNG+정보/NNG
집적	집적/NNG
반대’(60명·32.1%)를	반대/NNG+’/SS+(/SS+60/SN+명/NNB+·/SP+32/SN+./SP+1/SN+%/SW+)/SS+를/JKO
주요한	주요/NNG+하/XSA+ㄴ/ETM
이유로	이유/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.223.7.3
또 입소하겠다는 이들 중에도 63.9%(147명)는 “개인정보를 제공하고 싶지 않지만 쉼터 외에는 갈 곳이 없기 때문”을 이유로 들었다.

또	또/MAG
입소하겠다는	입소/NNG+하/XSV+겠/EP+다는/ETM
이들	이/NNB+들/XSN
중에도	중/NNB+에/JKB+도/JX
63.9%(147명)는	63/SN+./SP+9/SN+%/SW+(/SS+147/SN+명/NNB+)/SS+는/JX
