# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.338
metadata : {}


# id : NWRW1800000028.338.1.1
“당장 이사갈 수도 없고…” /초고층아파트 주민들 불안

“당장	“/SS+당장/NNG
이사갈	이사/NNG+가/VV+ㄹ/ETM
수도	수/NNB+도/JX
없고…”	없/VA+고/EC+…/SE+”/SS
/초고층아파트	//SP+초/XPN+고층/NNG+아파트/NNG
주민들	주민/NNG+들/XSN
불안	불안/NNG


# id : NWRW1800000028.338.2.1
지난 1일 부산에서 초고층 주거용 오피스텔 화재 사건이 난 뒤로 초고층 아파트에 사는 다수 주민들은 불안하다는 심정을 감추지 못하고 있다.

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
부산에서	부산/NNP+에서/JKB
초고층	초/XPN+고층/NNG
주거용	주거/NNG+용/XSN
오피스텔	오피스텔/NNG
화재	화재/NNG
사건이	사건/NNG+이/JKS
난	나/VV+ㄴ/ETM
뒤로	뒤/NNG+로/JKB
아파트에	아파트/NNG+에/JKB
사는	살/VV+는/ETM
다수	다수/NNG
주민들은	주민/NNG+들/XSN+은/JX
불안하다는	불안/NNG+하/XSA+다는/ETM
심정을	심정/NNG+을/JKO
감추지	감추/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.338.2.2
초고층 건물은 화재 발생 때 무엇보다 대피로 확보가 중요한데도, 정작 주민들은 그런 시설을 잘 모르고 있었다.

초고층	초/XPN+고층/NNG
건물은	건물/NNG+은/JX
화재	화재/NNG
발생	발생/NNG
때	때/NNG
무엇보다	무엇/NP+보다/JKB
대피로	대피로/NNG
확보가	확보/NNG+가/JKS
중요한데도,	중요/NNG+하/XSA+ㄴ데/EC+도/JX+,/SP
정작	정작/MAG
주민들은	주민/NNG+들/XSN+은/JX
그런	그런/MMD
시설을	시설/NNG+을/JKO
잘	잘/MAG
모르고	모르/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.338.3.1
3일 낮 고층 아파트와 오피스텔이 모여 있는 서울 양천구 목동의 한 초고층 아파트.

3일	3/SN+일/NNB
낮	낮/NNG
고층	고층/NNG
아파트와	아파트/NNG+와/JC
오피스텔이	오피스텔/NNG+이/JKS
모여	모이/VV+어/EC
있는	있/VX+는/ETM
서울	서울/NNP
양천구	양천구/NNP
목동의	목동/NNP+의/JKG
한	한/MMN
초고층	초/XPN+고층/NNG
아파트.	아파트/NNG+./SF


# id : NWRW1800000028.338.3.2
40층짜리 6개 동으로 이뤄진 이 아파트는 건물 외벽이 대리석 외장재로 감싸여 있었다.

40층짜리	40/SN+층/NNG+짜리/XSN
6개	6/SN+개/NNB
동으로	동/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
이	이/MMD
아파트는	아파트/NNG+는/JX
건물	건물/NNG
외벽이	외벽/NNG+이/JKS
대리석	대리석/NNG
외장재로	외장재/NNG+로/JKB
감싸여	감싸이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.338.3.3
단지 한가운데엔 큰길이 있었지만, 각 동에 접근하는 진입로는 나무를 심은 정원과 벤치 사이로 좁게 나 있어서, 소방차가 쉽게 접근하기 어려워 보였다.

단지	단지/NNG
한가운데엔	한/XPN+가운데/NNG+에/JKB+ㄴ/JX
큰길이	큰길/NNG+이/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
각	각/MMD
동에	동/NNB+에/JKB
접근하는	접근/NNG+하/XSV+는/ETM
진입로는	진입로/NNG+는/JX
나무를	나무/NNG+를/JKO
심은	심/VV+은/ETM
정원과	정원/NNG+과/JC
벤치	벤치/NNG
사이로	사이/NNG+로/JKB
좁게	좁/VA+게/EC
나	나/VV+아/EC
있어서,	있/VX+어서/EC+,/SP
소방차가	소방차/NNG+가/JKS
쉽게	쉽/VA+게/EC
접근하기	접근/NNG+하/XSV+기/ETN
어려워	어렵/VA+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.338.4.1
이 아파트 20층에 사는 주민 홍아무개(40)씨는 자신이 사는 아파트에 피난층이 있는지를 묻자 “잘 모른다”고 했다.

이	이/MMD
아파트	아파트/NNG
20층에	20/SN+층/NNG+에/JKB
사는	살/VV+는/ETM
주민	주민/NNG
홍아무개(40)씨는	홍/NNP+아무개/NP+(/SS+40/SN+)/SS+씨/NNB+는/JX
자신이	자신/NNG+이/JKS
아파트에	아파트/NNG+에/JKB
피난층이	피난층/NNG+이/JKS
있는지를	있/VA+는지/EF+를/JKO
묻자	묻/VV+자/EC
“잘	“/SS+잘/MAG
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.4.2
홍씨는 “그동안엔 내가 사는 집이 불안하다고 생각한 적이 없는데, 부산 초고층 아파트 화재 사건 뒤로는 집 안에 있는 소화기가 잘 작동되는지 점검했다”며 “걱정되지만 다른 곳으로 이사갈 수도 없고 달리 어떻게 할 도리가 없다”고 말했다.

홍씨는	홍/NNP+씨/NNB+는/JX
“그동안엔	“/SS+그동안/NNG+에/JKB+ㄴ/JX
내가	내/NP+가/JKS
사는	살/VV+는/ETM
집이	집/NNG+이/JKS
불안하다고	불안/NNG+하/XSA+다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없는데,	없/VA+는데/EC+,/SP
부산	부산/NNP
초고층	초/XPN+고층/NNG
아파트	아파트/NNG
화재	화재/NNG
사건	사건/NNG
뒤로는	뒤/NNG+로/JKB+는/JX
집	집/NNG
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
소화기가	소화기/NNG+가/JKS
잘	잘/MAG
작동되는지	작동/NNG+되/XSV+는지/EC
점검했다”며	점검/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“걱정되지만	“/SS+걱정/NNG+되/XSV+지만/EC
다른	다른/MMD
곳으로	곳/NNG+으로/JKB
이사갈	이사/NNG+가/VV+ㄹ/ETM
수도	수/NNB+도/JX
없고	없/VA+고/EC
달리	달리/MAG
어떻게	어떻/VA+게/EC
할	하/VV+ㄹ/ETM
도리가	도리/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.4.3
주민 김아무개(56)씨는 “주거 전용인 아파트 건물 4개 동에는 피난층이 없다”고 했다.

주민	주민/NNG
김아무개(56)씨는	김/NNP+아무개/NP+(/SS+56/SN+)/SS+씨/NNB+는/JX
“주거	“/SS+주거/NNG
전용인	전용/NNG+이/VCP+ㄴ/ETM
아파트	아파트/NNG
건물	건물/NNG
4개	4/SN+개/NNB
동에는	동/NNB+에/JKB+는/JX
피난층이	피난층/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.4.4
이 아파트 관리사무소 쪽은 “피난층이 있다”고만 할 뿐, 몇 층에 있는지 등 자세한 설명은 피했다.

이	이/MMD
아파트	아파트/NNG
관리사무소	관리/NNG+사무소/NNG
쪽은	쪽/NNB+은/JX
“피난층이	“/SS+피난층/NNG+이/JKS
있다”고만	있/VA+다/EF+”/SS+고/JKQ+만/JX
할	하/VV+ㄹ/ETM
뿐,	뿐/NNB+,/SP
몇	몇/NR
층에	층/NNG+에/JKB
있는지	있/VA+는지/EF
등	등/NNB
자세한	자세하/VA+ㄴ/ETM
설명은	설명/NNG+은/JX
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.338.5.1
인근에 있는 다른 초고층 아파트의 한 주민은 “우리 아파트는 방재시설이 잘 갖춰져 있는 것으로 알고 있다”고 했지만, 구체적인 비상통로 등은 잘 몰랐다.

인근에	인근/NNG+에/JKB
있는	있/VX+는/ETM
다른	다른/MMD
초고층	초/XPN+고층/NNG
아파트의	아파트/NNG+의/JKG
한	한/MMN
주민은	주민/NNG+은/JX
“우리	“/SS+우리/NP
아파트는	아파트/NNG+는/JX
방재시설이	방재/NNG+시설/NNG+이/JKS
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
