# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.218
metadata : {}


# id : NWRW1800000046.218.1.1
버림받은 소년, NBA 스타로

버림받은	버림받/VV+은/ETM
소년,	소년/NNG+,/SP
NBA	NBA/SL
스타로	스타/NNG+로/JKB


# id : NWRW1800000046.218.2.1
시카고 불스 지미 버틀러… 집에서 쫓겨나 길거리 전전, 친구 어머니 보살핌으로 인생 역전

시카고	시카고/NNP
불스	불스/NNP
지미	지미/NNP
버틀러…	버틀러/NNP+…/SE
집에서	집/NNG+에서/JKB
쫓겨나	쫓겨나/VV+아/EC
길거리	길거리/NNG
전전,	전전/NNG+,/SP
친구	친구/NNG
어머니	어머니/NNG
보살핌으로	보살핌/NNG+으로/JKB
인생	인생/NNG
역전	역전/NNG


# id : NWRW1800000046.218.3.1
아버지는 태어나자마자 사라졌다.

아버지는	아버지/NNG+는/JX
태어나자마자	태어나/VV+자마자/EC
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.218.4.1
열세 살 땐 어머니가 집에서 내쫓았다.

열세	열세/MMN
살	살/NNB
땐	때/NNG+ㄴ/JX
어머니가	어머니/NNG+가/JKS
집에서	집/NNG+에서/JKB
내쫓았다.	내쫓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.4.2
졸지에 '홈리스(homeless)'가 된 흑인 소년이 생존 수단으로 삼은 건 농구였다.

졸지에	졸지/NNG+에/JKB
'홈리스(homeless)'가	'/SS+홈리스/NNG+(/SS+homeless/SL+)/SS+'/SS+가/JKC
된	되/VV+ㄴ/ETM
흑인	흑인/NNG
소년이	소년/NNG+이/JKS
생존	생존/NNG
수단으로	수단/NNG+으로/JKB
삼은	삼/VV+은/ETM
건	거/NNB+ㄴ/JX
농구였다.	농구/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.218.4.3
'살 곳을 구하겠다'는 일념으로 땀 흘린 그는 미 프로농구(NBA)를 주름잡는 스타로 변신했다.

'살	'/SS+살/VV+ㄹ/ETM
곳을	곳/NNG+을/JKO
구하겠다'는	구하/VV+겠/EP+다/EF+'/SS+는/ETM
일념으로	일념/NNG+으로/JKB
땀	땀/NNG
흘린	흘리/VV+ㄴ/ETM
그는	그/NP+는/JX
미	미/NNP
프로농구(NBA)를	프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS+를/JKO
주름잡는	주름잡/VV+는/ETM
스타로	스타/NNG+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.218.4.4
인생극장 드라마의 주인공은 시카고 불스의 스몰 포워드 지미 버틀러(26)다.

인생극장	인생극장/NNG
드라마의	드라마/NNG+의/JKG
주인공은	주인공/NNG+은/JX
시카고	시카고/NNP
불스의	불스/NNP+의/JKG
스몰	스몰/NNG
포워드	포워드/NNG
지미	지미/NNP
버틀러(26)다.	버틀러/NNP+(/SS+26/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.218.5.1
버틀러는 1일 오전(한국 시각) 막을 내린 밀워키 벅스와의 NBA 동부 콘퍼런스 플레이오프 1라운드(7전4선승제)에서 경기당 팀 최다인 24.8점(5.5리바운드)을 올리면서 불스가 시리즈 전적 4승2패로 2라운드에 진출하는 데 앞장섰다.

버틀러는	버틀러/NNP+는/JX
1일	1/SN+일/NNB
오전(한국	오전/NNG+(/SS+한국/NNP
시각)	시각/NNG+)/SS
막을	막/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
밀워키	밀워키/NNP
벅스와의	벅스/NNP+와/JKB+의/JKG
NBA	NBA/SL
동부	동부/NNG
콘퍼런스	콘퍼런스/NNG
플레이오프	플레이오프/NNG
1라운드(7전4선승제)에서	1/SN+라운드/NNG+(/SS+7/SN+전/NNB+4/SN+선승/NNG+제/XSN+)/SS+에서/JKB
경기당	경기/NNG+당/XSN
팀	팀/NNG
