# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.399
metadata : {}


# id : NWRW1800000054.399.1.1
北ICBM, 24일만에 3000㎞ 늘어… 언제 어디서든 타격 능력

北ICBM,	北/SH+ICBM/SL+,/SP
24일만에	24/SN+일/NNB+만/NNB+에/JKB
3000㎞	3000/SN+㎞/SW
늘어…	늘/VV+어/EC+…/SE
언제	언제/MAG
어디서든	어디/NP+서/JKB+든/JX
타격	타격/NNG
능력	능력/NNG


# id : NWRW1800000054.399.2.1
軍 "사거리가 급격히 증가한 까닭은 엔진추력이 향상됐다기보다는 탄두를 450㎏으로 줄인 덕분인듯"

軍	軍/SH
"사거리가	"/SS+사거리/NNG+가/JKS
급격히	급격히/MAG
증가한	증가/NNG+하/XSV+ㄴ/ETM
까닭은	까닭/NNG+은/JX
엔진추력이	엔진/NNG+추력/NNG+이/JKS
향상됐다기보다는	향상/NNG+되/XSV+었/EP+다기/ETN+보다/JKB+는/JX
탄두를	탄두/NNG+를/JKO
450㎏으로	450/SN+㎏/SW+으로/JKB
줄인	줄이/VV+ㄴ/ETM
덕분인듯"	덕분/NNG+이/VCP+ㄴ/ETM+듯/NNB+"/SS


# id : NWRW1800000054.399.3.1
북한이 28일 밤 발사한 화성 14형 미사일은 북 탄도미사일 중 처음으로 미 본토를 직접 타격할 수 있는 ICBM(대륙간탄도미사일) 발사 능력을 분명하게 보여줬다는 데 군사적인 의미가 있다.

북한이	북한/NNP+이/JKS
28일	28/SN+일/NNB
밤	밤/NNG
발사한	발사/NNG+하/XSV+ㄴ/ETM
화성	화성/NNP
14형	14/SN+형/XSN
미사일은	미사일/NNG+은/JX
북	북/NNP
탄도미사일	탄도/NNG+미사일/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
미	미/NNP
본토를	본토/NNG+를/JKO
직접	직접/MAG
타격할	타격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
ICBM(대륙간탄도미사일)	ICBM/SL+(/SS+대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+)/SS
발사	발사/NNG
능력을	능력/NNG+을/JKO
분명하게	분명/MAG+하/XSA+게/EC
보여줬다는	보이/VV+어/EC+주/VX+었/EP+다는/ETM
데	데/NNB
군사적인	군사/NNG+적/XSN+이/VCP+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.399.3.2
국내외 전문가들은 이번에는 "최대 사거리는 1만㎞ 이상"이라는 데 별 이견이 없다.

국내외	국내외/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이번에는	이번/NNG+에/JKB+는/JX
"최대	"/SS+최대/NNG
사거리는	사거리/NNG+는/JX
1만㎞	1/SN+만/NR+㎞/SW
이상"이라는	이상/NNG+"/SS+이/VCP+라는/ETM
데	데/NNB
별	별/MMA
이견이	이견/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.399.4.1
북한이 이날 발사한 화성 14형은 지난 4일 첫 발사된 화성-14형과 외형상 차이는 없다.

북한이	북한/NNP+이/JKS
이날	이날/NNG
발사한	발사/NNG+하/XSV+ㄴ/ETM
화성	화성/NNP
14형은	14/SN+형/XSN+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
첫	첫/MMN
발사된	발사/NNG+되/XSV+ㄴ/ETM
화성-14형과	화성/NNP+-/SO+14/SN+형/XSN+과/JKB
외형상	외형/NNG+상/XSN
차이는	차이/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.399.4.2
추력 80톤포스(80t의 무게를 밀어올릴 수 있는 힘)의 주엔진(일명 백두산엔진) 1개와 보조 엔진 4개를 장착한 1단 로켓, 2단 로켓, 탄두(彈頭) 등으로 구성된 2단 미사일이다.

추력	추력/NNG
80톤포스(80t의	80/SN+톤포스/NNB+(/SS+80/SN+t/SW+의/JKG
무게를	무게/NNG+를/JKO
밀어올릴	밀/VV+어/EC+올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘)의	힘/NNG+)/SS+의/JKG
주엔진(일명	주/MMA+엔진/NNG+(/SS+일명/NNG
백두산엔진)	백두산/NNP+엔진/NNG+)/SS
1개와	1/SN+개/NNB+와/JC
보조	보조/NNG
엔진	엔진/NNG
4개를	4/SN+개/NNB+를/JKO
장착한	장착/NNG+하/XSV+ㄴ/ETM
1단	1/SN+단/NNG
로켓,	로켓/NNG+,/SP
2단	2/SN+단/NNG
탄두(彈頭)	탄두/NNG+(/SS+彈頭/SH+)/SS
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
미사일이다.	미사일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.399.4.3
하지만 지난 4일에 비해 크게 향상된 성능을 나타냈다.

하지만	하지만/MAJ
