# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.278
metadata : {}


# id : NWRW1800000045.278.1.1
[최영훈의 법과 사람]박 대통령이 찍은 황교안 총리 후보자

[최영훈의	[/SS+최영훈/NNP+의/JKG
법과	법/NNG+과/JC
사람]박	사람/NNG+]/SS+박/NNP
대통령이	대통령/NNG+이/JKS
찍은	찍/VV+은/ETM
황교안	황교안/NNP
총리	총리/NNG
후보자	후보자/NNG


# id : NWRW1800000045.278.2.1
국무총리 하마평에 올랐던 사람 중 한 명인 이명재 민정특보는 오래전에 고사했다.

국무총리	국무총리/NNG
하마평에	하마평/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
사람	사람/NNG
중	중/NNB
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
이명재	이명재/NNP
민정특보는	민정/NNG+특보/NNG+는/JX
오래전에	오래전/NNG+에/JKB
고사했다.	고사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.2.2
고사 이유는 “법조인이나 대구 경북 출신은 피하는 게 좋다”는 것이었다.

고사	고사/NNG
이유는	이유/NNG+는/JX
“법조인이나	“/SS+법조인/NNG+이나/JC
대구	대구/NNP
경북	경북/NNP
출신은	출신/NNG+은/JX
피하는	피하/VV+는/ETM
게	거/NNB+이/JKS
좋다”는	좋/VA+다/EF+”/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.278.2.3
두 가지가 겹치는 자신은 총리가 돼선 안 된다는 소신을 끝내 굽히지 않았다.

두	두/MMN
가지가	가지/NNB+가/JKS
겹치는	겹치/VV+는/ETM
자신은	자신/NNG+은/JX
총리가	총리/NNG+가/JKC
돼선	되/VV+어서/EC+ㄴ/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
소신을	소신/NNG+을/JKO
끝내	끝내/MAG
굽히지	굽히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.278.2.4
박근혜 대통령은 막판까지 남은 법조인 5명 중 황교안 법무부 장관을 낙점했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
막판까지	막판/NNG+까지/JX
남은	남/VV+은/ETM
법조인	법조인/NNG
5명	5/SN+명/NNB
중	중/NNB
황교안	황교안/NNP
법무부	법무부/NNG
장관을	장관/NNG+을/JKO
낙점했다.	낙점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.278.3.1
부패 척결 의지 내가 더 강해

부패	부패/NNG
척결	척결/NNG
의지	의지/NNG
내가	내/NP+가/JKS
더	더/MAG
강해	강하/VA+아/EF


# id : NWRW1800000045.278.4.1
마침 그가 총리 후보자에 지명되기 엿새 전 인터뷰한 일이 있다.

마침	마침/MAG
그가	그/NP+가/JKS
총리	총리/NNG
후보자에	후보자/NNG+에/JKB
지명되기	지명/NNG+되/XSV+기/ETN
엿새	엿새/NNG
전	전/NNG
인터뷰한	인터뷰/NNG+하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


