# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.375
metadata : {}


# id : NWRW1800000030.375.1.1
[수도권] 서울시 '2030 도시기본계획' 발표

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
서울시	서울시/NNP
'2030	'/SS+2030/SN
도시기본계획'	도시/NNG+기본/NNG+계획/NNG+'/SS
발표	발표/NNG


# id : NWRW1800000030.375.2.1
•영등포·여의도 '금융 허브'로… 서울 '3核시대'

•영등포·여의도	•/SW+영등포/NNP+·/SP+여의도/NNP
'금융	'/SS+금융/NNG
허브'로…	허브/NNG+'/SS+로/JKB+…/SE
서울	서울/NNP
'3核시대'	'/SS+3/SN+核/SH+시대/NNG+'/SS


# id : NWRW1800000030.375.3.1
서울시가 영등포(여의도 포함)를 도심(광화문·종로)과 강남에 이어 서울시 발전을 주도할 3대 핵(核)으로 꼽으면서 이 일대 모습이 대거 달라질 것으로 보인다.

서울시가	서울시/NNP+가/JKS
영등포(여의도	영등포/NNP+(/SS+여의도/NNP
포함)를	포함/NNG+)/SS+를/JKO
도심(광화문·종로)과	도심/NNG+(/SS+광화문/NNP+·/SP+종로/NNP+)/SS+과/JC
강남에	강남/NNP+에/JKB
이어	잇/VV+어/EC
서울시	서울시/NNP
발전을	발전/NNG+을/JKO
주도할	주도/NNG+하/XSV+ㄹ/ETM
3대	3/SN+대/NNG
핵(核)으로	핵/NNG+(/SS+核/SH+)/SS+으로/JKB
꼽으면서	꼽/VV+으면서/EC
이	이/MMD
일대	일대/NNG
모습이	모습/NNG+이/JKS
대거	대거/MAG
달라질	달라지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.375.4.1
서울시는 5일 '2030 서울도시기본계획'을 발표하면서 "여의도를 포괄하는 영등포 지역을 '금융허브'로 확립하겠다"며 "강남과 도심, 영등포가 상호보완적인 국제 업무지구로 재탄생할 것"이라고 밝혔다.

서울시는	서울시/NNP+는/JX
5일	5/SN+일/NNB
'2030	'/SS+2030/SN
