# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.68
metadata : {}


# id : NWRW1800000029.68.1.1
주가 - 환율 날벼락

주가	주가/NNG
-	-/SO
환율	환율/NNG
날벼락	날/XPN+벼락/NNG


# id : NWRW1800000029.68.2.1
그리스 부도 위기감 확대

그리스	그리스/NNP
부도	부도/NNG
위기감	위기감/NNG
확대	확대/NNG


# id : NWRW1800000029.68.3.1
코스피 1,750선 무너지고… 1달러 1100원대로 폭등

코스피	코스피/NNP
1,750선	1/SN+,/SP+750/SN+선/NNG
무너지고…	무너지/VV+고/EC+…/SE
1달러	1/SN+달러/NNB
1100원대로	1100/SN+원/NNB+대/XSN+로/JKB
폭등	폭등/NNG


# id : NWRW1800000029.68.4.1
그리스의 부도 위기로 국내 금융시장이 다시 휘청거렸다.

그리스의	그리스/NNP+의/JKG
부도	부도/NNG
위기로	위기/NNG+로/JKB
국내	국내/NNG
금융시장이	금융/NNG+시장/NNG+이/JKS
다시	다시/MAG
휘청거렸다.	휘청거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.68.4.2
코스피가 1,750 선 아래로 급락했고 원-달러 환율은 30원이나 급등(원화 가치는 하락)했다.

코스피가	코스피/NNP+가/JKS
1,750	1/SN+,/SP+750/SN
선	선/NNG
아래로	아래/NNG+로/JKB
급락했고	급락/NNG+하/XSV+았/EP+고/EC
원-달러	원/NNG+-/SO+달러/NNG
환율은	환율/NNG+은/JX
30원이나	30/SN+원/NNB+이나/JC
급등(원화	급등/NNG+(/SS+원화/NNG
가치는	가치/NNG+는/JX
하락)했다.	하락/NNG+)/SS+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.68.4.3
국가부도 위험수준을 나타내는 한국의 신용부도스와프(CDS) 프리미엄도 1년 4개월 만에 최고치로 치솟았다.

국가부도	국가/NNG+부도/NNG
위험수준을	위험/NNG+수준/NNG+을/JKO
나타내는	나타내/VV+는/ETM
한국의	한국/NNP+의/JKG
신용부도스와프(CDS)	신용/NNG+부도/NNG+스와프/NNG+(/SS+CDS/SL+)/SS
프리미엄도	프리미엄/NNG+도/JX
1년	1/SN+년/NNB
4개월	4/SN+개월/NNB
만에	만/NNB+에/JKB
최고치로	최고/NNG+치/XSN+로/JKB
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.68.5.1
14일 코스피는 직전 거래일보다 63.77포인트(3.52%) 급락한 1,749.16으로 마감했다.

14일	14/SN+일/NNB
코스피는	코스피/NNP+는/JX
직전	직전/NNG
거래일보다	거래일/NNG+보다/JKB
63.77포인트(3.52%)	63/SN+./SP+77/SN+포인트/NNG+(/SS+3/SN+./SP+52/SN+%/SW+)/SS
급락한	급락/NNG+하/XSV+ㄴ/ETM
1,749.16으로	1/SN+,/SP+749/SN+./SP+16/SN+으로/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.68.5.2
코스피가 1,750 선 아래로 내려간 것은 지난달 22일 이후 처음이다.

코스피가	코스피/NNP+가/JKS
1,750	1/SN+,/SP+750/SN
선	선/NNG
아래로	아래/NNG+로/JKB
내려간	내려가/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난달	지난달/NNG
22일	22/SN+일/NNB
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.68.5.3
개인투자자와 기관투자가들이 주식을 적극 사들이면서 방어했지만 6901억 원어치나 내다판 외국인투자가들의 매도 공세를 막지 못했다.

개인투자자와	개인/NNG+투자자/NNG+와/JC
기관투자가들이	기관/NNG+투자가/NNG+들/XSN+이/JKS
주식을	주식/NNG+을/JKO
적극	적극/NNG
사들이면서	사들이/VV+면서/EC
방어했지만	방어/NNG+하/XSV+았/EP+지만/EC
6901억	6901/SN+억/NR
원어치나	원/NNB+어치/XSN+나/JX
내다판	내/VV+다/EC+팔/VV+ㄴ/ETM
외국인투자가들의	외국인/NNG+투자가/NNG+들/XSN+의/JKG
매도	매도/NNG
공세를	공세/NNG+를/JKO
막지	막/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.68.6.1
반면에 외국인들의 주식 매도공세 영향으로 원-달러 환율은 30.50원 급등하면서 1107.80원으로 마감해 5월 25일 이후 처음으로 1100원대로 올라섰다.

반면에	반면/NNG+에/JKB
외국인들의	외국인/NNG+들/XSN+의/JKG
주식	주식/NNG
매도공세	매도/NNG+공세/NNG
영향으로	영향/NNG+으로/JKB
원-달러	원/NNG+-/SO+달러/NNG
환율은	환율/NNG+은/JX
30.50원	30/SN+./SP+50/SN+원/NNB
급등하면서	급등/NNG+하/XSV+면서/EC
1107.80원으로	1107/SN+./SP+80/SN+원/NNB+으로/JKB
마감해	마감/NNG+하/XSV+아/EC
5월	5/SN+월/NNB
25일	25/SN+일/NNB
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
1100원대로	1100/SN+원/NNB+대/XSN+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.68.7.1
▼ 한국 부도위험수준 16개월 만에 최고치 ▼

▼	▼/SW
한국	한국/NNP
부도위험수준	부도/NNG+위험/NNG+수준/NNG
16개월	16/SN+개월/NNB
만에	만/NNB+에/JKB
최고치	최고/NNG+치/XSN


# id : NWRW1800000029.68.8.1
한국 정부가 발행한 외화채권에 대한 5년 만기 CDS 프리미엄은 155bp(1bp는 0.01%)로 치솟아 지난해 5월 말(173bp) 이후 가장 높은 수준이 됐다.

한국	한국/NNP
정부가	정부/NNG+가/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
외화채권에	외화/NNG+채권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
5년	5/SN+년/NNB
만기	만기/NNG
CDS	CDS/SL
프리미엄은	프리미엄/NNG+은/JX
155bp(1bp는	155/SN+bp/SW+(/SS+1/SN+bp/SW+는/JX
0.01%)로	0/SN+./SP+01/SN+%/SW+)/SS+로/JKB
치솟아	치솟/VV+아/EC
지난해	지난해/NNG
5월	5/SN+월/NNB
말(173bp)	말/NNB+(/SS+173/SN+bp/SW+)/SS
이후	이후/NNG
가장	가장/MAG
높은	높/VA+은/ETM
수준이	수준/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.68.9.1
이날 금융시장이 요동친 것은 유럽연합(EU)의 지원으로 연명하던 그리스의 국가부도가 현실화될 것이라는 위기감이 커졌기 때문이다.

이날	이날/NNG
금융시장이	금융/NNG+시장/NNG+이/JKS
요동친	요동치/VV+ㄴ/ETM
것은	것/NNB+은/JX
유럽연합(EU)의	유럽연합/NNP+(/SS+EU/SL+)/SS+의/JKG
지원으로	지원/NNG+으로/JKB
연명하던	연명/NNG+하/XSV+던/ETM
그리스의	그리스/NNP+의/JKG
국가부도가	국가/NNG+부도/NNG+가/JKS
현실화될	현실/NNG+화/XSN+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
위기감이	위기감/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.68.10.1
특히 국제신용평가회사인 무디스가 그리스 채권을 많이 가진 프랑스 은행 크레디아그리콜과 소시에테제네랄의 신용등급을 각각 한 단계 낮추면서 그리스의 국가부도가 점차 현실화하는 분위기다.

특히	특히/MAG
국제신용평가회사인	국제/NNG+신용/NNG+평가/NNG+회사/NNG+이/VCP+ㄴ/ETM
무디스가	무디스/NNP+가/JKS
그리스	그리스/NNP
채권을	채권/NNG+을/JKO
많이	많이/MAG
가진	가지/VV+ㄴ/ETM
프랑스	프랑스/NNP
은행	은행/NNG
크레디아그리콜과	크레디아그리콜/NNP+과/JC
소시에테제네랄의	소시에테제네랄/NNP+의/JKG
신용등급을	신용/NNG+등급/NNG+을/JKO
각각	각각/MAG
한	한/MMN
단계	단계/NNG
낮추면서	낮추/VV+면서/EC
그리스의	그리스/NNP+의/JKG
국가부도가	국가/NNG+부도/NNG+가/JKS
점차	점차/MAG
현실화하는	현실/NNG+화/XSN+하/XSV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.68.10.2
정용택 KTB투자증권 상무는 “시장에서는 그리스 부도를 현실로 받아들인 것으로 보인다”면서도 “위기가 다른 국가로 전이되지 않도록 독일 프랑스 등 주요 국가들이 나설 것으로 기대한다”고 말했다.

정용택	정용택/NNP
KTB투자증권	KTB투자증권/NNP
상무는	상무/NNG+는/JX
“시장에서는	“/SS+시장/NNG+에서/JKB+는/JX
그리스	그리스/NNP
부도를	부도/NNG+를/JKO
현실로	현실/NNG+로/JKB
받아들인	받아들이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”면서도	보이/VV+ㄴ다/EF+”/SS+면서/EC+도/JX
“위기가	“/SS+위기/NNG+가/JKS
다른	다른/MMD
국가로	국가/NNG+로/JKB
전이되지	전이/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
독일	독일/NNP
프랑스	프랑스/NNP
등	등/NNB
주요	주요/NNG
국가들이	국가/NNG+들/XSN+이/JKS
나설	나서/VV+ㄹ/ETM
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


