# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.139
metadata : {}


# id : NWRW1800000049.139.1.1
인문계도 수리문제 출제… 자연계는 논리력 묻는 유형 주의

인문계도	인문/NNG+계/XSN+도/JX
수리문제	수리/NNG+문제/NNG
출제…	출제/NNG+…/SE
자연계는	자연/NNG+계/XSN+는/JX
논리력	논리력/NNG
묻는	묻/VV+는/ETM
유형	유형/NNG
주의	주의/NNG


# id : NWRW1800000049.139.2.1
영향력 커진 수시 논술고사 대학별 전형 일정-준비법

영향력	영향력/NNG
커진	커지/VV+ㄴ/ETM
수시	수시/NNG
논술고사	논술/NNG+고사/NNG
대학별	대학/NNG+별/XSN
전형	전형/NNG
일정-준비법	일정/NNG+-/SO+준비법/NNG


# id : NWRW1800000049.139.3.1
대학수학능력시험이 끝나면 19일 경희대 서강대 한양대 등을 시작으로 수시 대학별 논술고사가 본격적으로 실시된다.

대학수학능력시험이	대학/NNG+수학/NNG+능력/NNG+시험/NNG+이/JKS
끝나면	끝나/VV+면/EC
19일	19/SN+일/NNB
경희대	경희대/NNP
서강대	서강대/NNP
한양대	한양대/NNP
등을	등/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
수시	수시/NNG
대학별	대학/NNG+별/XSN
논술고사가	논술/NNG+고사/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.139.3.2
최근엔 수시 논술전형에서 수능최저학력 기준을 낮추거나 반영하지 않는 대학이 늘어나면서 논술고사의 영향력이 더욱 커졌다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
수시	수시/NNG
논술전형에서	논술/NNG+전형/NNG+에서/JKB
수능최저학력	수능/NNG+최저/NNG+학력/NNG
기준을	기준/NNG+을/JKO
낮추거나	낮추/VV+거나/EC
반영하지	반영/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
대학이	대학/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
논술고사의	논술/NNG+고사/NNG+의/JKG
영향력이	영향력/NNG+이/JKS
더욱	더욱/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.139.3.3
논술 전형에 지원한 수험생은 남은 기간 지원한 대학의 논술고사 특징, 출제 경향 등을 파악해 철저하게 대비해야 한다.

논술	논술/NNG
전형에	전형/NNG+에/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
수험생은	수험/NNG+생/XSN+은/JX
남은	남/VV+은/ETM
기간	기간/NNG
대학의	대학/NNG+의/JKG
논술고사	논술/NNG+고사/NNG
특징,	특징/NNG+,/SP
출제	출제/NNG
경향	경향/NNG
등을	등/NNB+을/JKO
파악해	파악/NNG+하/XSV+아/EC
철저하게	철저/NNG+하/XSA+게/EC
대비해야	대비/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.139.4.1
인문계열에서는 교과 중심의 출제 경향이 강해지고, 서로 다른 교과서의 내용을 종합적으로 사고할 수 있는지 평가하는 문제가 주로 출제된다.

인문계열에서는	인문/NNG+계열/NNG+에서/JKB+는/JX
교과	교과/NNG
중심의	중심/NNG+의/JKG
출제	출제/NNG
경향이	경향/NNG+이/JKS
강해지고,	강하/VA+아/EC+지/VX+고/EC+,/SP
서로	서로/MAG
다른	다르/VA+ㄴ/ETM
교과서의	교과서/NNG+의/JKG
내용을	내용/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
사고할	사고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EF
