# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.309
metadata : {}


# id : NWRW1800000041.309.1.1
對北 비료 지원 7년만에 길 열리나

對北	對北/SH
비료	비료/NNG
지원	지원/NNG
7년만에	7/SN+년/NNB+만/NNB+에/JKB
길	길/NNG
열리나	열리/VV+나/EF


# id : NWRW1800000041.309.2.1
민화협 “이르면 3월중 보낼 계획”… 정부 “쌀은 안되지만 비료는 가능” 민화협-정부 사전교감 있었던 듯

민화협	민화협/NNP
“이르면	“/SS+이르/VA+면/EC
3월중	3/SN+월/NNB+중/NNB
보낼	보내/VV+ㄹ/ETM
계획”…	계획/NNG+”/SS+…/SE
정부	정부/NNG
“쌀은	“/SS+쌀/NNG+은/JX
안되지만	안/MAG+되/XSV+지만/EC
비료는	비료/NNG+는/JX
가능”	가능/NNG+”/SS
민화협-정부	민화협/NNP+-/SO+정부/NNG
사전교감	사전/NNG+교감/NNG
있었던	있/VA+었/EP+던/ETM
듯	듯/NNB


# id : NWRW1800000041.309.3.1
홍사덕 민족화해협력범국민협의회(민화협) 대표상임의장이 6일 “북한에 100만 포대 비료 보내기 캠페인을 전개하겠다”고 밝히면서 2007년 이후 중단된 대북 비료 지원 재개가 현실화할지 관심이 쏠리고 있다.

홍사덕	홍사덕/NNP
민족화해협력범국민협의회(민화협)	민족화해협력범국민협의회/NNP+(/SS+민화협/NNP+)/SS
대표상임의장이	대표/NNG+상임/NNG+의장/NNG+이/JKS
6일	6/SN+일/NNB
“북한에	“/SS+북한/NNP+에/JKB
100만	100/SN+만/NR
포대	포대/NNG
비료	비료/NNG
보내기	보내/VV+기/ETN
캠페인을	캠페인/NNG+을/JKO
전개하겠다”고	전개/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝히면서	밝히/VV+면서/EC
2007년	2007/SN+년/NNB
이후	이후/NNG
중단된	중단/NNG+되/XSV+ㄴ/ETM
대북	대북/NNG
지원	지원/NNG
재개가	재개/NNG+가/JKS
현실화할지	현실/NNG+화/XSN+하/XSV+ㄹ지/EF
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.309.4.1
그간 정부 내에선 “군사적 전용이 우려되는 쌀은 어렵지만 남북 농업협력에 도움이 되는 비료의 대북 지원은 가능하다”는 기류가 있어 왔기 때문이다.

그간	그/NP+간/XSN
정부	정부/NNG
내에선	내/NNB+에서/JKB+ㄴ/JX
“군사적	“/SS+군사/NNG+적/XSN
전용이	전용/NNG+이/JKS
우려되는	우려/NNG+되/XSV+는/ETM
쌀은	쌀/NNG+은/JX
어렵지만	어렵/VA+지만/EC
남북	남북/NNP
농업협력에	농업/NNG+협력/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
비료의	비료/NNG+의/JKG
대북	대북/NNG
지원은	지원/NNG+은/JX
가능하다”는	가능/NNG+하/XSA+다/EF+”/SS+는/ETM
기류가	기류/NNG+가/JKS
있어	있/VA+어/EC
왔기	오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.309.4.2
정부의 한 관계자는 “박근혜 정부가 남북 농업협력을 통해 북한 주민에게 실질적인 도움을 주고 이를 통해 북한 주민의 마음을 얻으려는 계획을 갖고 있기 때문에 농업 생산성을 높이기 위한 비료 지원은 인도적 명분이 있다”고 말했다.

정부의	정부/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“박근혜	“/SS+박근혜/NNP
정부가	정부/NNG+가/JKS
남북	남북/NNP
농업협력을	농업/NNG+협력/NNG+을/JKO
통해	통하/VV+아/EC
북한	북한/NNP
주민에게	주민/NNG+에게/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
도움을	도움/NNG+을/JKO
주고	주/VV+고/EC
이를	이/NP+를/JKO
주민의	주민/NNG+의/JKG
마음을	마음/NNG+을/JKO
얻으려는	얻/VV+으려는/ETM
계획을	계획/NNG+을/JKO
갖고	갖/VV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
농업	농업/NNG
생산성을	생산/NNG+성/XSN+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
비료	비료/NNG
지원은	지원/NNG+은/JX
인도적	인도/NNG+적/XSN
명분이	명분/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.309.4.3
정부는 대북 인도적 지원을 확대하면서 ‘남북농업협력추진협의회’를 구성해 종자와 농기구 지원, 공농 영농 시범사업 등 대북 농·축산 협력을 크게 확대할 방침이다.

정부는	정부/NNG+는/JX
대북	대북/NNG
인도적	인도/NNG+적/XSN
지원을	지원/NNG+을/JKO
확대하면서	확대/NNG+하/XSV+면서/EC
‘남북농업협력추진협의회’를	‘/SS+남북농업협력추진협의회/NNP+’/SS+를/JKO
구성해	구성/NNG+하/XSV+아/EC
종자와	종자/NNG+와/JC
농기구	농기구/NNG
지원,	지원/NNG+,/SP
공농	공농/NNG
영농	영농/NNG
시범사업	시범/NNG+사업/NNG
등	등/NNB
농·축산	농·축산/NNG
협력을	협력/NNG+을/JKO
크게	크/VA+게/EC
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.309.5.1
민화협은 대북 비료 지원 시기를 농사가 시작되는 3, 4월로 계획하는 것으로 알려졌다.

민화협은	민화협/NNP+은/JX
대북	대북/NNG
비료	비료/NNG
지원	지원/NNG
시기를	시기/NNG+를/JKO
농사가	농사/NNG+가/JKS
시작되는	시작/NNG+되/XSV+는/ETM
3,	3/SN+,/SP
4월로	4/SN+월/NNB+로/JKB
계획하는	계획/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.309.5.2
통일부와 민화협은 공식적으로 사전에 협의하지 않았다고 밝혔다.

통일부와	통일부/NNG+와/JKB
민화협은	민화협/NNP+은/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
사전에	사전/NNG+에/JKB
협의하지	협의/NNG+하/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.309.5.3
하지만 지원 시기까지 짧게는 몇 주, 길게는 1개월여밖에 남지 않은 상황에서 홍 의장의 발언은 정부와의 사전 교감을 거쳤을 것이라는 관측이 많다.

하지만	하지만/MAJ
지원	지원/NNG
시기까지	시기/NNG+까지/JX
짧게는	짧/VA+게/EC+는/JX
몇	몇/NR
주,	주/NNG+,/SP
길게는	길/VA+게/EC+는/JX
1개월여밖에	1/SN+개월/NNB+여/XSN+밖에/JX
남지	남/VV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
홍	홍/NNP
의장의	의장/NNG+의/JKG
발언은	발언/NNG+은/JX
정부와의	정부/NNG+와/JKB+의/JKG
사전	사전/NNG
교감을	교감/NNG+을/JKO
거쳤을	거치/VV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.309.5.4
홍 의장이 친박(친박근혜) 중진인 만큼 교감설에 힘이 실린다.

홍	홍/NNP
의장이	의장/NNG+이/JKS
친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
중진인	중진/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
교감설에	교감설/NNG+에/JKB
힘이	힘/NNG+이/JKS
실린다.	실리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.309.6.1
정부는 아직 정부 차원의 쌀 비료 지원은 검토하고 있지 않다고 밝혔다.

정부는	정부/NNG+는/JX
아직	아직/MAG
정부	정부/NNG
차원의	차원/NNG+의/JKG
쌀	쌀/NNG
비료	비료/NNG
지원은	지원/NNG+은/JX
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다고	않/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.309.6.2
하지만 민화협 관계자는 “민화협 같은 민간단체가 비료 지원의 공감대를 조성하고 정부가 비료 지원을 승인하면 정부 부담이 적을 것”이라고 말했다.

하지만	하지만/MAJ
민화협	민화협/NNP
관계자는	관계자/NNG+는/JX
“민화협	“/SS+민화협/NNP
같은	같/VA+은/ETM
민간단체가	민간단체/NNG+가/JKS
비료	비료/NNG
지원의	지원/NNG+의/JKG
공감대를	공감대/NNG+를/JKO
조성하고	조성/NNG+하/XSV+고/EC
정부가	정부/NNG+가/JKS
지원을	지원/NNG+을/JKO
승인하면	승인/NNG+하/XSV+면/EC
정부	정부/NNG
부담이	부담/NNG+이/JKS
적을	적/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.309.6.3
정부 내부에선 이산가족 문제 해결에 소극적인 북한의 태도를 바꾸기 위해 유인책이 필요하다는 기류가 강하지만 인도주의 사안인 이산가족 문제 해결을 위해 북한과 거래한다는 인상을 주는 것에는 부담을 느끼고 있다.

정부	정부/NNG
내부에선	내부/NNG+에서/JKB+ㄴ/JX
이산가족	이산가족/NNG
문제	문제/NNG
해결에	해결/NNG+에/JKB
소극적인	소극/NNG+적/XSN+이/VCP+ㄴ/ETM
북한의	북한/NNP+의/JKG
태도를	태도/NNG+를/JKO
바꾸기	바꾸/VV+기/ETN
위해	위하/VV+아/EC
유인책이	유인책/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
기류가	기류/NNG+가/JKS
강하지만	강하/VA+지만/EC
인도주의	인도주의/NNG
사안인	사안/NNG+이/VCP+ㄴ/ETM
해결을	해결/NNG+을/JKO
북한과	북한/NNP+과/JKB
거래한다는	거래/NNG+하/XSV+ㄴ다는/ETM
인상을	인상/NNG+을/JKO
주는	주/VV+는/ETM
것에는	것/NNB+에/JKB+는/JX
부담을	부담/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.309.7.1
통일부 김의도 대변인은 “민화협이 추진하는 비료 지원은 정부가 하고 있는 영·유아 취약계층 대상의 순수한 인도적 지원과는 거리가 있다”면서도 “민화협에서 지원 계획을 구체화해 정부에 신청하면 구체적으로 검토하겠다”고 밝혔다.

통일부	통일부/NNG
김의도	김의도/NNP
대변인은	대변인/NNG+은/JX
“민화협이	“/SS+민화협/NNP+이/JKS
추진하는	추진/NNG+하/XSV+는/ETM
비료	비료/NNG
지원은	지원/NNG+은/JX
정부가	정부/NNG+가/JKS
하고	하/VV+고/EC
있는	있/VX+는/ETM
영·유아	영·유아/NNG
취약계층	취약/NNG+계층/NNG
대상의	대상/NNG+의/JKG
순수한	순수/NNG+하/XSA+ㄴ/ETM
인도적	인도/NNG+적/XSN
지원과는	지원/NNG+과/JKB+는/JX
거리가	거리/NNG+가/JKS
있다”면서도	있/VA+다/EF+”/SS+면서/EC+도/JX
“민화협에서	“/SS+민화협/NNP+에서/JKB
지원	지원/NNG
계획을	계획/NNG+을/JKO
구체화해	구체/NNG+화/XSN+하/XSV+아/EC
정부에	정부/NNG+에/JKB
신청하면	신청/NNG+하/XSV+면/EC
구체적으로	구체/NNG+적/XSN+으로/JKB
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


