# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.58
metadata : {}


# id : NWRW1800000053.58.1.1
[WCC]직업교육 국제화-개도국 수출로 ‘교육한류’ 선도

[WCC]직업교육	[/SS+WCC/SL+]/SS+직업/NNG+교육/NNG
국제화-개도국	국제/NNG+화/XSN+-/SO+개도국/NNG
수출로	수출/NNG+로/JKB
‘교육한류’	‘/SS+교육/NNG+한류/NNG+’/SS
선도	선도/NNG


# id : NWRW1800000053.58.2.1
두원공과대는 세계적 수준의 명문 전문대학으로 우뚝 서기 위해 동북아 신성장거점인 경기 안성, 파주의 지역산업구조와 연계해 △NCS 기반의 일자리 중심 학사운영 △ROSE 기반의 자기주도적 창의인재 양성 △지역산업 기반의 중소기업 중심 산학협력 △학습성과 기반의 직무능력완성도 평가라는 4대 교육발전 전략을 세워 학습자 중심 역량교육을 실현하고 있다.

두원공과대는	두원공과대/NNP+는/JX
세계적	세계/NNG+적/XSN
수준의	수준/NNG+의/JKG
명문	명문/NNG
전문대학으로	전문/NNG+대학/NNG+으로/JKB
우뚝	우뚝/MAG
서기	서/VV+기/ETN
위해	위하/VV+아/EC
동북아	동북아/NNP
신성장거점인	신/XPN+성장/NNG+거점/NNG+이/VCP+ㄴ/ETM
경기	경기/NNP
안성,	안성/NNP+,/SP
파주의	파주/NNP+의/JKG
지역산업구조와	지역/NNG+산업/NNG+구조/NNG+와/JKB
연계해	연계/NNG+하/XSV+아/EC
△NCS	△/SW+NCS/SL
기반의	기반/NNG+의/JKG
일자리	일자리/NNG
중심	중심/NNG
학사운영	학사/NNG+운영/NNG
△ROSE	△/SW+ROSE/SL
자기주도적	자기/NNG+주도/NNG+적/XSN
창의인재	창의/NNG+인재/NNG
양성	양성/NNG
△지역산업	△/SW+지역/NNG+산업/NNG
중소기업	중소기업/NNG
산학협력	산학/NNG+협력/NNG
△학습성과	△/SW+학습/NNG+성과/NNG
직무능력완성도	직무/NNG+능력/NNG+완성도/NNG
평가라는	평가/NNG+이/VCP+라는/ETM
4대	4/SN+대/NNG
교육발전	교육/NNG+발전/NNG
전략을	전략/NNG+을/JKO
세워	세우/VV+어/EC
학습자	학습자/NNG
역량교육을	역량/NNG+교육/NNG+을/JKO
실현하고	실현/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.2.2
이를 바탕으로 특성화전문대학으로서 맡은바 책무를 다하기 위해 ‘지역연계 미래성장동력산업(공학·자연과학계열)의 창의적 글로컬 인재를 양성’하고자 노력하고 있다.

이를	이/NP+를/JKO
바탕으로	바탕/NNG+으로/JKB
특성화전문대학으로서	특성/NNG+화/XSN+전문/NNG+대학/NNG+으로서/JKB
맡은바	맡/VV+은/ETM+바/NNB
책무를	책무/NNG+를/JKO
다하기	다/MAG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘지역연계	‘/SS+지역/NNG+연계/NNG
미래성장동력산업(공학·자연과학계열)의	미래/NNG+성장/NNG+동력/NNG+산업/NNG+(/SS+공학/NNG+·/SP+자연/NNG+과학/NNG+계열/NNG+)/SS+의/JKG
창의적	창의/NNG+적/XSN
글로컬	글로컬/NNG
인재를	인재/NNG+를/JKO
양성’하고자	양성/NNG+’/SS+하/XSV+고자/EC
노력하고	노력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.3.1
두원공과대는 ‘세계적 수준의 전문대학(WCC)’ 사업의 핵심 가치인 전문대학의 국제적 통용성을 강화하고 글로벌 인재를 양성하기 위한 핵심 역량을 키움으로써 대학의 위상을 국제적 수준으로 높임과 동시에 캠퍼스의 국제화를 이루고자 한다.

두원공과대는	두원공과대/NNP+는/JX
‘세계적	‘/SS+세계/NNG+적/XSN
수준의	수준/NNG+의/JKG
전문대학(WCC)’	전문/NNG+대학/NNG+(/SS+WCC/SL+)/SS+’/SS
사업의	사업/NNG+의/JKG
핵심	핵심/NNG
가치인	가치/NNG+이/VCP+ㄴ/ETM
전문대학의	전문/NNG+대학/NNG+의/JKG
국제적	국제/NNG+적/XSN
통용성을	통용/NNG+성/XSN+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
글로벌	글로벌/NNG
인재를	인재/NNG+를/JKO
양성하기	양성/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
역량을	역량/NNG+을/JKO
키움으로써	키우/VV+ㅁ/ETN+으로써/JKB
대학의	대학/NNG+의/JKG
위상을	위상/NNG+을/JKO
수준으로	수준/NNG+으로/JKB
높임과	높이/VV+ㅁ/ETN+과/JKB
동시에	동시/NNG+에/JKB
캠퍼스의	캠퍼스/NNG+의/JKG
국제화를	국제/NNG+화/XSN+를/JKO
이루고자	이루/VV+고자/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.58.4.1
이를 위해 재학생의 외국어 구사능력을 향상시키고 글로벌 직무능력을 배양해 해외 취업의 양적, 질적 향상을 도모하는 한편으로 다양한 국가의 외국인 유학생을 유치해 캠퍼스를 글로벌 체제로 발전시키고 있다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
재학생의	재학/NNG+생/XSN+의/JKG
외국어	외국어/NNG
구사능력을	구사/NNG+능력/NNG+을/JKO
향상시키고	향상/NNG+시키/XSV+고/EC
글로벌	글로벌/NNG
직무능력을	직무/NNG+능력/NNG+을/JKO
배양해	배양/NNG+하/XSV+아/EC
해외	해외/NNG
취업의	취업/NNG+의/JKG
양적,	양/NNG+적/XSN+,/SP
질적	질/NNG+적/XSN
향상을	향상/NNG+을/JKO
도모하는	도모/NNG+하/XSV+는/ETM
한편으로	한편/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
국가의	국가/NNG+의/JKG
외국인	외국인/NNG
유학생을	유학/NNG+생/XSN+을/JKO
유치해	유치/NNG+하/XSV+아/EC
캠퍼스를	캠퍼스/NNG+를/JKO
체제로	체제/NNG+로/JKB
발전시키고	발전/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.58.4.2
또한 동남아시아의 개발도상국가를 대상으로 교육 프로그램 교류를 추진함으로써 우리나라의 우수한 직업교육 체계를 이식하고 수출하기 위한 기반을 구축하고자 노력하고 있다.

