# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.386
metadata : {}


# id : NWRW1800000022.386.1.1
[인천·부천] "인천항, 국·시비 들여 친수공간으로";안 시장, "주거·상업시설 반대"

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
"인천항,	"/SS+인천항/NNP+,/SP
국·시비	국·시비/NNG
들여	들이/VV+어/EC
친수공간으로";안	친수/NNG+공간/NNG+으로/JKB+"/SS+;/SW+안/NNP
시장,	시장/NNG+,/SP
"주거·상업시설	"/SS+주거/NNG+·/SP+상업/NNG+시설/NNG
반대"	반대/NNG+"/SS


# id : NWRW1800000022.386.2.1
인천항 내항 4개 부두의 주거·상업용지 개발 논란<본지 10월 21일자 A35면>과 관련해 안상수 인천시장이 이들 부두에 주거·상업시설이 들어서는 것에 반대한다는 입장을 밝혔다.

인천항	인천항/NNP
내항	내항/NNG
4개	4/SN+개/NNB
부두의	부두/NNG+의/JKG
주거·상업용지	주거/NNG+·/SP+상업용지/NNG
개발	개발/NNG
논란<본지	논란/NNG+</SS+본지/NNG
10월	10/SN+월/NNB
21일자	21/SN+일/NNB+자/NNG
A35면>과	A/SL+35/SN+면/NNG+>/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
안상수	안상수/NNP
인천시장이	인천시장/NNG+이/JKS
이들	이/NP+들/XSN
부두에	부두/NNG+에/JKB
주거·상업시설이	주거/NNG+·/SP+상업/NNG+시설/NNG+이/JKS
들어서는	들어서/VV+는/ETM
것에	것/NNB+에/JKB
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.386.3.1
안 시장은 2일 인천시청에서 '시민친화적 내항 활용 범시민대책위원회(이하 대책위)'와 간담회를 갖고 "내항 재개발지역에 주거시설을 지어 개발이익을 내는 것에 절대 반대하며, 가능하면 국·시비를 들여 문화시설 등 친수공간으로 조성해야 한다"고 말했다.

안	안/NNP
시장은	시장/NNG+은/JX
2일	2/SN+일/NNB
인천시청에서	인천시청/NNP+에서/JKB
'시민친화적	'/SS+시민/NNG+친화/NNG+적/XSN
내항	내항/NNG
활용	활용/NNG
범시민대책위원회(이하	범/XPN+시민/NNG+대책/NNG+위원회/NNG+(/SS+이하/NNG
대책위)'와	대책위/NNG+)/SS+'/SS+와/JKB
간담회를	간담회/NNG+를/JKO
갖고	갖/VV+고/EC
"내항	"/SS+내항/NNG
재개발지역에	재/XPN+개발/NNG+지역/NNG+에/JKB
주거시설을	주거/NNG+시설/NNG+을/JKO
지어	짓/VV+어/EC
개발이익을	개발/NNG+이익/NNG+을/JKO
내는	내/VV+는/ETM
것에	것/NNB+에/JKB
절대	절대/NNG
반대하며,	반대/NNG+하/XSV+며/EC+,/SP
가능하면	가능/NNG+하/XSA+면/EC
