# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.202
metadata : {}


# id : NWRW1800000041.202.1.1
정년 후에도 11년 더 일하는 한국인

정년	정년/NNG
후에도	후/NNG+에/JKB+도/JX
11년	11/SN+년/NNB
더	더/MAG
일하는	일/NNG+하/XSV+는/ETM
한국인	한국인/NNG


# id : NWRW1800000041.202.2.1
OECD 중 1위… 71세까지 노동, “연금만으로 노후 보낼 수 없어”

OECD	OECD/SL
중	중/NNB
1위…	1/SN+위/NNB+…/SE
71세까지	71/SN+세/NNB+까지/JX
노동,	노동/NNG+,/SP
“연금만으로	“/SS+연금/NNG+만/JX+으로/JKB
노후	노후/NNG
보낼	보내/VV+ㄹ/ETM
수	수/NNB
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000041.202.3.1
한국 남성들이 경제협력개발기구(OECD) 회원국 가운데 정년퇴직을 한 뒤에도 가장 오래 일하는 것으로 나타났다.

한국	한국/NNP
남성들이	남성/NNG+들/XSN+이/JKS
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
가운데	가운데/NNG
정년퇴직을	정년퇴직/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
가장	가장/MAG
오래	오래/MAG
일하는	일/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.202.3.2
한국 여성들은 OECD 회원국 중에서 두 번째로 오래 일하고 있다.

한국	한국/NNP
여성들은	여성/NNG+들/XSN+은/JX
OECD	OECD/SL
회원국	회원국/NNG
중에서	중/NNB+에서/JKB
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
오래	오래/MAG
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.202.4.1
2일 OECD에 따르면 2012년 기준 한국 남성의 유효 은퇴연령은 평균 71.1세로, 멕시코(72.3세)에 이어 2위로 집계됐다.

2일	2/SN+일/NNB
OECD에	OECD/SL+에/JKB
따르면	따르/VV+면/EC
2012년	2012/SN+년/NNB
기준	기준/NNG
한국	한국/NNP
남성의	남성/NNG+의/JKG
유효	유효/NNG
은퇴연령은	은퇴/NNG+연령/NNG+은/JX
평균	평균/NNG
71.1세로,	71/SN+./SP+1/SN+세/NNB+로/JKB+,/SP
멕시코(72.3세)에	멕시코/NNP+(/SS+72/SN+./SP+3/SN+세/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
2위로	2/SN+위/NNB+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.202.4.2
여성은 평균 69.8세로 칠레(70.4세)에 이어 역시 2위를 차지했다.

여성은	여성/NNG+은/JX
평균	평균/NNG
69.8세로	69/SN+./SP+8/SN+세/NNB+로/JKB
칠레(70.4세)에	칠레/NNP+(/SS+70/SN+./SP+4/SN+세/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
역시	역시/MAG
2위를	2/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.202.4.3
유효 은퇴연령은 노동시장에서 완전히 빠져나가 더이상 경제활동을 하지 않는 나이로 실질적인 은퇴 시점을 뜻한다.

유효	유효/NNG
은퇴연령은	은퇴/NNG+연령/NNG+은/JX
노동시장에서	노동/NNG+시장/NNG+에서/JKB
완전히	완전히/MAG
빠져나가	빠져나가/VV+아/EC
더이상	더/MAG+이상/NNG
경제활동을	경제/NNG+활동/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
나이로	나이/NNG+로/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
은퇴	은퇴/NNG
시점을	시점/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.202.5.1
반면 유럽 선진국들은 정년퇴직 나이가 되기 전에 조기 은퇴하는 경우가 많아 대조를 이뤘다.

반면	반면/NNG
유럽	유럽/NNP
선진국들은	선진국/NNG+들/XSN+은/JX
