# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.392
metadata : {}


# id : NWRW1800000026.392.1.1
국제사회는 모두 비웃는데… 中 언론만 "6자회담 시기적절"

국제사회는	국제/NNG+사회/NNG+는/JX
모두	모두/MAG
비웃는데…	비웃/VV+는데/EC+…/SE
中	中/SH
언론만	언론/NNG+만/JX
"6자회담	"/SS+6/SN+자/NNB+회담/NNG
시기적절"	시기적절/NNG+"/SS


# id : NWRW1800000026.392.2.1
중국이 북한의 연평도 포격 도발로 야기된 동북아 긴장을 해소하겠다며 내놓은 '6자회담 수석대표 긴급 협의' 제안에 대해 한·미·일 당사국들이 반대 입장을 보이고 있는 가운데, 신화통신 등 중국 관영언론은 "시기적절하고 필요하며 건설적인 것"이라며 대대적인 선전에 나섰다.

중국이	중국/NNP+이/JKS
북한의	북한/NNP+의/JKG
연평도	연평도/NNP
포격	포격/NNG
도발로	도발/NNG+로/JKB
야기된	야기/NNG+되/XSV+ㄴ/ETM
동북아	동북아/NNP
긴장을	긴장/NNG+을/JKO
해소하겠다며	해소/NNG+하/XSV+겠/EP+다며/EC
내놓은	내놓/VV+은/ETM
'6자회담	'/SS+6/SN+자/NNB+회담/NNG
수석대표	수석대표/NNG
긴급	긴급/NNG
협의'	협의/NNG+'/SS
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
한·미·일	한·미·일/NNP
당사국들이	당사국/NNG+들/XSN+이/JKS
반대	반대/NNG
입장을	입장/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
신화통신	신화통신/NNP
등	등/NNB
중국	중국/NNP
관영언론은	관영/NNG+언론/NNG+은/JX
"시기적절하고	"/SS+시기적절/NNG+하/XSA+고/EC
필요하며	필요/NNG+하/XSA+며/EC
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
선전에	선전/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.392.3.1
류장융(劉江永) 칭화대 국제문제연구소 교수는 29일 신화통신과의 인터뷰에서 "이는 위기관리를 위한 임시조치로, 이른바 '예방외교'"라면서 "위기관리를 통해 사태가 더 악화되는 것을 막을 수 있다"고 주장했다.

류장융(劉江永)	류장융/NNP+(/SS+劉江永/SH+)/SS
칭화대	칭화대/NNP
국제문제연구소	국제/NNG+문제/NNG+연구소/NNG
교수는	교수/NNG+는/JX
29일	29/SN+일/NNB
신화통신과의	신화통신/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
"이는	"/SS+이/NP+는/JX
위기관리를	위기관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
임시조치로,	임시/NNG+조치/NNG+로/JKB+,/SP
이른바	이른바/MAG
'예방외교'"라면서	'/SS+예방/NNG+외교/NNG+'/SS+"/SS+이/VCP+라면서/EC
"위기관리를	"/SS+위기관리/NNG+를/JKO
통해	통하/VV+아/EC
사태가	사태/NNG+가/JKS
더	더/MAG
악화되는	악화/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.392.3.2
신화통신은 이 기사를 홈페이지의 머리기사로 올려놓기도 했다.

신화통신은	신화통신/NNP+은/JX
이	이/MMD
기사를	기사/NNG+를/JKO
홈페이지의	홈페이지/NNG+의/JKG
머리기사로	머리기사/NNG+로/JKB
올려놓기도	올려놓/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.392.4.1
중국 공산당 기관지 인민일보의 자매지 환구시보(環球時報)는 사설에서 "한·미 양국이 전쟁을 원하는 것이 아니라면 중국이 제공한 이번 기회를 잡아야 한다"는 주장을 폈다.

중국	중국/NNP
공산당	공산당/NNP
기관지	기관지/NNG
인민일보의	인민일보/NNP+의/JKG
자매지	자매지/NNG
환구시보(環球時報)는	환구시보/NNP+(/SS+環球時報/SH+)/SS+는/JX
사설에서	사설/NNG+에서/JKB
"한·미	"/SS+한·미/NNP
양국이	양국/NNG+이/JKS
전쟁을	전쟁/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니라면	아니/VCN+라면/EC
중국이	중국/NNP+이/JKS
제공한	제공/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
기회를	기회/NNG+를/JKO
잡아야	잡/VV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
주장을	주장/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.392.4.2
다이빙궈(戴秉國) 외교담당 국무위원(부총리급)도 28일 밤 힐러리 클린턴 미 국무장관과 전화 회담을 하면서 "미·중 양국이 사태가 진정될 수 있도록 건설적인 일을 해야 한다"며 대화를 촉구한 것으로 보도됐다.

다이빙궈(戴秉國)	다이빙궈/NNP+(/SS+戴秉國/SH+)/SS
외교담당	외교/NNG+담당/NNG
국무위원(부총리급)도	국무/NNG+위원/NNG+(/SS+부총리급/NNG+)/SS+도/JX
28일	28/SN+일/NNB
밤	밤/NNG
힐러리	힐러리/NNP
클린턴	클린턴/NNP
미	미/NNP
국무장관과	국무/NNG+장관/NNG+과/JKB
전화	전화/NNG
회담을	회담/NNG+을/JKO
하면서	하/VV+면서/EC
"미·중	"/SS+미/NNP+·/SP+중/NNP
양국이	양국/NNG+이/JKS
사태가	사태/NNG+가/JKS
진정될	진정/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
일을	일/NNG+을/JKO
해야	하/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
대화를	대화/NNG+를/JKO
촉구한	촉구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보도됐다.	보도/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.392.4.3
연평도 도발 이후 줄곧 북한을 감싸다가 외교적 수세에 몰렸던 중국이 대대적인 대화 공세에 나서는 모양새다.

연평도	연평도/NNP
도발	도발/NNG
이후	이후/NNG
줄곧	줄곧/MAG
북한을	북한/NNP+을/JKO
감싸다가	감싸/VV+다가/EC
외교적	외교/NNG+적/XSN
수세에	수세/NNG+에/JKB
몰렸던	몰리/VV+었/EP+던/ETM
중국이	중국/NNP+이/JKS
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
대화	대화/NNG
공세에	공세/NNG+에/JKB
나서는	나서/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.392.5.1
그러나 국제사회 여론은 '중국이 나서야 한다'는 압박과 한·미 양국의 정면 대응에 밀려 외교적 제스처를 취하고 있을 뿐이라는 것이다.

그러나	그러나/MAJ
국제사회	국제/NNG+사회/NNG
여론은	여론/NNG+은/JX
'중국이	'/SS+중국/NNP+이/JKS
나서야	나서/VV+어야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
압박과	압박/NNG+과/JC
한·미	한·미/NNP
양국의	양국/NNG+의/JKG
정면	정면/NNG
대응에	대응/NNG+에/JKB
밀려	밀리/VV+어/EC
외교적	외교/NNG+적/XSN
제스처를	제스처/NNG+를/JKO
취하고	취하/VV+고/EC
있을	있/VX+을/ETM
뿐이라는	뿐/NNB+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.392.5.2
영국 파이낸셜타임스는 "중국은 미국이 서해에 항모를 보낸 지 몇 시간 뒤에 6자회담 제안을 꺼냈고, 한국의 이명박 대통령은 중국 외교부 발표 수 시간 전에 이미 6자회담 재개가 부적절하다고 말했다"고 보도했다.

영국	영국/NNP
파이낸셜타임스는	파이낸셜타임스/NNP+는/JX
"중국은	"/SS+중국/NNP+은/JX
미국이	미국/NNP+이/JKS
서해에	서해/NNP+에/JKB
항모를	항모/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
지	지/NNB
몇	몇/NR
시간	시간/NNB
뒤에	뒤/NNG+에/JKB
6자회담	6/SN+자/NNB+회담/NNG
제안을	제안/NNG+을/JKO
꺼냈고,	꺼내/VV+었/EP+고/EC+,/SP
한국의	한국/NNP+의/JKG
이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
중국	중국/NNP
외교부	외교부/NNG
발표	발표/NNG
수	수/MMN
전에	전/NNG+에/JKB
이미	이미/MAG
재개가	재개/NNG+가/JKS
부적절하다고	부적절하/VA+다고/EC
말했다"고	말/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.392.6.1
한 분석가는 "이명박 대통령이 다이빙궈 국무위원에게 '지금은 6자회담을 거론할 때가 아니다'고 언명한 지 몇 시간도 되지 않아 중국이 마치 이벤트로 벌이듯 이런 제안을 내놓은 것은 외교적 결례이자 편법"이라면서, "사건의 본질을 외면하고 자국의 전략적 이익(북·중 관계 유지)에만 매달리는 것은 책임 있는 대국의 자세가 아니다"라고 말했다.

한	한/MMN
분석가는	분석가/NNG+는/JX
"이명박	"/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
다이빙궈	다이빙궈/NNP
국무위원에게	국무/NNG+위원/NNG+에게/JKB
'지금은	'/SS+지금/NNG+은/JX
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
거론할	거론/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKC
아니다'고	아니/VCN+다/EF+'/SS+고/JKQ
언명한	언명/NNG+하/XSV+ㄴ/ETM
지	지/NNB
몇	몇/NR
시간도	시간/NNB+도/JX
되지	되/VV+지/EC
않아	않/VX+아/EC
중국이	중국/NNP+이/JKS
마치	마치/MAG
이벤트로	이벤트/NNG+로/JKB
벌이듯	벌이/VV+듯/EC
이런	이런/MMD
제안을	제안/NNG+을/JKO
내놓은	내놓/VV+은/ETM
것은	것/NNB+은/JX
외교적	외교/NNG+적/XSN
결례이자	결례/NNG+이/VCP+자/EC
편법"이라면서,	편법/NNG+"/SS+이/VCP+라면서/EC+,/SP
"사건의	"/SS+사건/NNG+의/JKG
본질을	본질/NNG+을/JKO
외면하고	외면/NNG+하/XSV+고/EC
자국의	자국/NNG+의/JKG
전략적	전략/NNG+적/XSN
이익(북·중	이익/NNG+(/SS+북·중/NNP
관계	관계/NNG
유지)에만	유지/NNG+)/SS+에/JKB+만/JX
매달리는	매달리/VV+는/ETM
책임	책임/NNG
있는	있/VA+는/ETM
대국의	대국/NNG+의/JKG
자세가	자세/NNG+가/JKC
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


