# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.53
metadata : {}


# id : NWRW1800000029.53.1.1
글로벌 스마트폰 시장 ‘2분기 반전드라마’

글로벌	글로벌/NNG
스마트폰	스마트폰/NNG
시장	시장/NNG
‘2분기	‘/SS+2/SN+분기/NNG
반전드라마’	반전/NNG+드라마/NNG+’/SS


# id : NWRW1800000029.53.2.1
노키아 1→3위 몰락… 삼성전자 4→2위 기염

노키아	노키아/NNP
1→3위	1/SN+→/SW+3/SN+위/NNB
몰락…	몰락/NNG+…/SE
삼성전자	삼성전자/NNP
4→2위	4/SN+→/SW+2/SN+위/NNB
기염	기염/NNG


# id : NWRW1800000029.53.3.1
5위 HTC 사상최대 매출

5위	5/SN+위/NNB
HTC	HTC/SL
사상최대	사상/NNG+최대/NNG
매출	매출/NNG


# id : NWRW1800000029.53.4.1
올해 2분기(4∼6월) 스마트폰 시장에서는 애플과 삼성전자, HTC가 사상 최대 실적을 내며 고속 성장한 것으로 나타났다.

올해	올해/NNG
2분기(4∼6월)	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS
스마트폰	스마트폰/NNG
시장에서는	시장/NNG+에서/JKB+는/JX
애플과	애플/NNP+과/JC
삼성전자,	삼성전자/NNP+,/SP
HTC가	HTC/SL+가/JKS
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
내며	내/VV+며/EC
고속	고속/NNG
성장한	성장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.53.4.2
반면 모토로라, 노키아, 리서치인모션(RIM) 등은 부진한 실적으로 순위가 크게 흔들렸다.

반면	반면/NNG
모토로라,	모토로라/NNP+,/SP
노키아,	노키아/NNP+,/SP
리서치인모션(RIM)	리서치인모션/NNP+(/SS+RIM/SL+)/SS
등은	등/NNB+은/JX
부진한	부진/NNG+하/XSA+ㄴ/ETM
실적으로	실적/NNG+으로/JKB
순위가	순위/NNG+가/JKS
크게	크/VA+게/EC
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.53.5.1
대만 스마트폰 제조업체 HTC는 1분기에 이어 2분기에도 사상 최대 매출을 기록했다고 31일 밝혔다.

대만	대만/NNP
스마트폰	스마트폰/NNG
제조업체	제조업체/NNG
HTC는	HTC/SL+는/JX
1분기에	1/SN+분기/NNG+에/JKB
이어	잇/VV+어/EC
2분기에도	2/SN+분기/NNG+에/JKB+도/JX
사상	사상/NNG
최대	최대/NNG
매출을	매출/NNG+을/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
31일	31/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.53.5.2
매출 4조5480억 원, 순이익 6405억 원으로 지난해 같은 기간보다 각각 104%, 103% 늘어난 결과다.

매출	매출/NNG
4조5480억	4/SN+조/NR+5480/SN+억/NR
원,	원/NNB+,/SP
순이익	순이익/NNG
6405억	6405/SN+억/NR
원으로	원/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
각각	각각/MAG
104%,	104/SN+%/SW+,/SP
103%	103/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.53.5.3
영업이익률은 15.5%로 삼성전자 무선사업부의 13.7%보다 높았다.

영업이익률은	영업/NNG+이익/NNG+률/XSN+은/JX
15.5%로	15/SN+./SP+5/SN+%/SW+로/JKB
삼성전자	삼성전자/NNP
무선사업부의	무선/NNG+사업부/NNG+의/JKG
13.7%보다	13/SN+./SP+7/SN+%/SW+보다/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.53.5.4
HTC는 2분기 동안 스마트폰 1210만 대를 팔아치워 처음으로 분기별 판매량 1000만 대를 넘어섰다.

HTC는	HTC/SL+는/JX
2분기	2/SN+분기/NNG
동안	동안/NNG
스마트폰	스마트폰/NNG
1210만	1210/SN+만/NR
대를	대/NNB+를/JKO
