# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.438
metadata : {}


# id : NWRW1800000054.438.1.1
'예산 429兆' 한밤 국회 통과

'예산	'/SS+예산/NNG
429兆'	429/SN+兆/SH+'/SS
한밤	한/XPN+밤/NNG
국회	국회/NNG
통과	통과/NNG


# id : NWRW1800000054.438.2.1
한국당 표결 불참 속 찬성 160, 반대 15… 올해보다 7.1% 늘어

한국당	한국당/NNP
표결	표결/NNG
불참	불참/NNG
속	속/NNG
찬성	찬성/NNG
160,	160/SN+,/SP
반대	반대/NNG
15…	15/SN+…/SE
올해보다	올해/NNG+보다/JKB
7.1%	7/SN+./SP+1/SN+%/SW
늘어	늘/VV+어/EF


# id : NWRW1800000054.438.3.1
국회는 6일 새벽 국회 본회의에서 428조8339억원 규모의 내년도 예산안을 통과시켰다.

국회는	국회/NNG+는/JX
6일	6/SN+일/NNB
새벽	새벽/NNG
국회	국회/NNG
본회의에서	본회의/NNG+에서/JKB
428조8339억원	428/SN+조/NR+8339/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
내년도	내년도/NNG
예산안을	예산안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.3.2
문재인 정부 첫 예산인 이번 예산은 올해 예산(400조5000억원)보다 7.1% 늘어난 것이다.

문재인	문재인/NNP
정부	정부/NNG
첫	첫/MMN
예산인	예산/NNG+이/VCP+ㄴ/ETM
이번	이번/NNG
예산은	예산/NNG+은/JX
올해	올해/NNG
예산(400조5000억원)보다	예산/NNG+(/SS+400/SN+조/NR+5000/SN+억/NR+원/NNB+)/SS+보다/JKB
7.1%	7/SN+./SP+1/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.438.3.3
예산안은 이날 재석 178명 중 찬성 160명, 반대 15명, 기권 3명으로 처리됐다.

예산안은	예산안/NNG+은/JX
이날	이날/NNG
재석	재석/NNG
178명	178/SN+명/NNB
중	중/NNB
찬성	찬성/NNG
160명,	160/SN+명/NNB+,/SP
반대	반대/NNG
15명,	15/SN+명/NNB+,/SP
기권	기권/NNG
3명으로	3/SN+명/NNB+으로/JKB
처리됐다.	처리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.438.3.4
자유한국당은 공무원 증원 예산과 법인세법 개정안에 반대해 예산안 표결을 보이콧했다.

자유한국당은	자유한국당/NNP+은/JX
공무원	공무원/NNG
증원	증원/NNG
예산과	예산/NNG+과/JC
법인세법	법인세법/NNG
개정안에	개정안/NNG+에/JKB
반대해	반대/NNG+하/XSV+아/EC
예산안	예산안/NNG
표결을	표결/NNG+을/JKO
보이콧했다.	보이콧/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.438.4.1
여야는 예산 심의를 통해 정부안보다 1375억원을 순(純)삭감했다.

여야는	여야/NNG+는/JX
예산	예산/NNG
심의를	심의/NNG+를/JKO
통해	통하/VV+아/EC
정부안보다	정부안/NNG+보다/JKB
