# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.217
metadata : {}


# id : NWRW1800000024.217.1.1
미 주지사 ‘실종사건’ /알고보니 ‘밀월여행’

미	미/NNP
주지사	주지사/NNG
‘실종사건’	‘/SS+실종/NNG+사건/NNG+’/SS
/알고보니	//SP+알/VV+고/EC+보/VX+니/EC
‘밀월여행’	‘/SS+밀월여행/NNG+’/SS


# id : NWRW1800000024.217.2.1
1주일 동안 미국 정계를 뒤흔든 마크 샌퍼드(49) 사우스캐롤라이나 주지사의 ‘실종’ 사건은 애인을 만나려고 아르헨티나로 갔던 ‘밀월여행’으로 드러났다.

1주일	1/SN+주일/NNB
동안	동안/NNG
미국	미국/NNP
정계를	정계/NNG+를/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
마크	마크/NNP
샌퍼드(49)	샌퍼드/NNP+(/SS+49/SN+)/SS
사우스캐롤라이나	사우스캐롤라이나/NNP
주지사의	주지사/NNG+의/JKG
‘실종’	‘/SS+실종/NNG+’/SS
사건은	사건/NNG+은/JX
애인을	애인/NNG+을/JKO
만나려고	만나/VV+려고/EC
아르헨티나로	아르헨티나/NNP+로/JKB
갔던	가/VV+았/EP+던/ETM
‘밀월여행’으로	‘/SS+밀월여행/NNG+’/SS+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.3.1
2012년 대선에서 공화당 대선주자 후보로 꼽혀온 샌퍼드 주지사는 24일 기자회견을 열어 눈물을 흘리며 혼외정사 사실을 시인하고 가족과 유권자들에게 사과했다.

2012년	2012/SN+년/NNB
대선에서	대선/NNG+에서/JKB
공화당	공화당/NNP
대선주자	대선/NNG+주자/NNG
후보로	후보/NNG+로/JKB
꼽혀온	꼽히/VV+어/EC+오/VX+ㄴ/ETM
샌퍼드	샌퍼드/NNP
주지사는	주지사/NNG+는/JX
24일	24/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
눈물을	눈물/NNG+을/JKO
흘리며	흘리/VV+며/EC
혼외정사	혼외정사/NNG
사실을	사실/NNG+을/JKO
시인하고	시인/NNG+하/XSV+고/EC
가족과	가족/NNG+과/JC
유권자들에게	유권자/NNG+들/XSN+에게/JKB
사과했다.	사과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.3.2
지난 18일 잠적했던 샌퍼드 주지사는 이날 전국에 20여분간 생중계된 기자회견에서 아르헨티나에 있는 “친애하고 친애하는 친구”인 여성을 만나러 갔다고 털어놨다.

지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
잠적했던	잠적/NNG+하/XSV+았/EP+던/ETM
샌퍼드	샌퍼드/NNP
주지사는	주지사/NNG+는/JX
이날	이날/NNG
전국에	전국/NNG+에/JKB
20여분간	20/SN+여/XSN+분/NNB+간/XSN
생중계된	생/XPN+중계/NNG+되/XSV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
아르헨티나에	아르헨티나/NNP+에/JKB
있는	있/VV+는/ETM
“친애하고	“/SS+친애/NNG+하/XSV+고/EC
친애하는	친애/NNG+하/XSV+는/ETM
친구”인	친구/NNG+”/SS+이/VCP+ㄴ/ETM
여성을	여성/NNG+을/JKO
만나러	만나/VV+러/EC
갔다고	가/VV+았/EP+다고/EC
털어놨다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.3.3
그는 8년 전 이 여성을 만났으며, 지난해까지는 이메일을 주고받는 플라토닉한 관계였지만 지난해부터 그 이상의 관계로 발전했다고 실토했다.

그는	그/NP+는/JX
8년	8/SN+년/NNB
전	전/NNG
이	이/MMD
여성을	여성/NNG+을/JKO
만났으며,	만나/VV+았/EP+으며/EC+,/SP
지난해까지는	지난해/NNG+까지/JX+는/JX
이메일을	이메일/NNG+을/JKO
주고받는	주고받/VV+는/ETM
플라토닉한	플라토닉/NNG+하/XSA+ㄴ/ETM
관계였지만	관계/NNG+이/VCP+었/EP+지만/EC
지난해부터	지난해/NNG+부터/JX
그	그/MMD
이상의	이상/NNG+의/JKG
관계로	관계/NNG+로/JKB
발전했다고	발전/NNG+하/XSV+았/EP+다고/EC
실토했다.	실토/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.3.4
그러나 상대 여성의 이름이나 관계가 끝났는지에 대해서는 끝내 밝히지 않았다.

그러나	그러나/MAJ
상대	상대/NNG
여성의	여성/NNG+의/JKG
이름이나	이름/NNG+이나/JC
관계가	관계/NNG+가/JKS
끝났는지에	끝나/VV+았/EP+는지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
끝내	끝내/MAG
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.217.4.1
샌퍼드 주지사가 아버지의 날(21일) 휴일 전후로 실종되자, 비서실은 그가 재충전을 위해 애팔래치아 산맥을 걷는 도보여행을 떠났다고 했고, 부인은 그가 저술을 위해 쉬고 있다고 밝혔다.

샌퍼드	샌퍼드/NNP
주지사가	주지사/NNG+가/JKS
아버지의	아버지/NNG+의/JKG
날(21일)	날/NNG+(/SS+21/SN+일/NNB+)/SS
휴일	휴일/NNG
전후로	전후/NNG+로/JKB
실종되자,	실종/NNG+되/XSV+자/EC+,/SP
비서실은	비서실/NNG+은/JX
그가	그/NP+가/JKS
재충전을	재/XPN+충전/NNG+을/JKO
위해	위하/VV+아/EC
애팔래치아	애팔래치아/NNP
산맥을	산맥/NNG+을/JKO
걷는	걷/VV+는/ETM
도보여행을	도보/NNG+여행/NNG+을/JKO
떠났다고	떠나/VV+았/EP+다고/EC
했고,	하/VV+았/EP+고/EC+,/SP
부인은	부인/NNG+은/JX
저술을	저술/NNG+을/JKO
쉬고	쉬/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.217.4.2
남편의 불륜 사실을 5개월 전 알았다는 부인 제니는 이날 기자회견에 나타나지 않았다.

남편의	남편/NNG+의/JKG
불륜	불륜/NNG
사실을	사실/NNG+을/JKO
5개월	5/SN+개월/NNB
전	전/NNG
알았다는	알/VV+았/EP+다는/ETM
부인	부인/NNG
제니는	제니/NNP+는/JX
이날	이날/NNG
기자회견에	기자/NNG+회견/NNG+에/JKB
나타나지	나타나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.217.4.3
대신 성명을 발표해 “처음 사실을 알게 됐을 때 용서를 통해 화해를 모색했고, 결혼생활을 되살리려고 노력해왔다”며 남편을 용서할 뜻을 밝혔다.

대신	대신/NNG
성명을	성명/NNG+을/JKO
발표해	발표/NNG+하/XSV+아/EC
“처음	“/SS+처음/NNG
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
됐을	되/VV+었/EP+을/ETM
때	때/NNG
용서를	용서/NNG+를/JKO
통해	통하/VV+아/EC
화해를	화해/NNG+를/JKO
모색했고,	모색/NNG+하/XSV+았/EP+고/EC+,/SP
결혼생활을	결혼/NNG+생활/NNG+을/JKO
되살리려고	되살리/VV+려고/EC
노력해왔다”며	노력/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
남편을	남편/NNG+을/JKO
용서할	용서/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.217.5.1
샌퍼드 지사는 이날 오전 조지아주 애틀랜타 공항에 도착한 부에노스아이레스발 비행기에서 내리는 모습이 사우스캐롤라이나 유력지 <스테이트> 취재진에게 포착되자, 급하게 기자회견을 마련했다.

샌퍼드	샌퍼드/NNP
지사는	지사/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
조지아주	조지아주/NNP
애틀랜타	애틀랜타/NNP
공항에	공항/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
부에노스아이레스발	부에노스아이레스/NNP+발/XSN
비행기에서	비행기/NNG+에서/JKB
내리는	내리/VV+는/ETM
모습이	모습/NNG+이/JKS
사우스캐롤라이나	사우스캐롤라이나/NNP
유력지	유력지/NNG
<스테이트>	</SS+스테이트/NNP+>/SS
취재진에게	취재진/NNG+에게/JKB
포착되자,	포착/NNG+되/XSV+자/EC+,/SP
급하게	급하/VA+게/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.5.2
평소 달변인 샌퍼드는 이날따라 횡설수설했고 여러 차례 눈물을 쏟아냈다.

평소	평소/NNG
달변인	달변/NNG+이/VCP+ㄴ/ETM
샌퍼드는	샌퍼드/NNP+는/JX
이날따라	이날/NNG+따라/JX
횡설수설했고	횡설수설/NNG+하/XSV+았/EP+고/EC
여러	여러/MMN
차례	차례/NNG
눈물을	눈물/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.217.5.3
재선인 샌퍼드 주지사는 공화당 주지사협의회 의장직을 사임하겠다고 밝혔으나, 지사직에서 물러나겠다는 말은 하지 않았다.

재선인	재선/NNG+이/VCP+ㄴ/ETM
샌퍼드	샌퍼드/NNP
주지사는	주지사/NNG+는/JX
공화당	공화당/NNP
주지사협의회	주지사/NNG+협의회/NNG
의장직을	의장직/NNG+을/JKO
사임하겠다고	사임/NNG+하/XSV+겠/EP+다고/EC
밝혔으나,	밝히/VV+었/EP+으나/EC+,/SP
지사직에서	지사직/NNG+에서/JKB
물러나겠다는	물러나/VV+겠/EP+다는/ETM
말은	말/NNG+은/JX
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.217.5.4
재정균형론자인 샌퍼드 주지사는 지난 몇 달 동안 오바마 행정부의 경기부양책을 강하게 비판하면서 차기 대선주자감으로 부상했다.

재정균형론자인	재정/NNG+균형론자/NNG+이/VCP+ㄴ/ETM
샌퍼드	샌퍼드/NNP
주지사는	주지사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
몇	몇/NR
달	달/NNB
동안	동안/NNG
오바마	오바마/NNP
행정부의	행정부/NNG+의/JKG
경기부양책을	경기/NNG+부양책/NNG+을/JKO
강하게	강하/VA+게/EC
비판하면서	비판/NNG+하/XSV+면서/EC
차기	차기/NNG
대선주자감으로	대선/NNG+주자/NNG+감/NNG+으로/JKB
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.217.5.5
‘가족의 가치’를 강조하는 공화당은 잇따른 성추문으로 타격을 입고 있다.

‘가족의	‘/SS+가족/NNG+의/JKG
가치’를	가치/NNG+’/SS+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
공화당은	공화당/NNP+은/JX
잇따른	잇따르/VV+ㄴ/ETM
성추문으로	성/NNG+추문/NNG+으로/JKB
타격을	타격/NNG+을/JKO
입고	입/VV+고/EC
있다.	있/VX+다/EF+./SF


