# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.96
metadata : {}


# id : NWRW1800000038.96.1.1
쉰여섯의 댄스가수, 나미

쉰여섯의	쉰여섯/NR+의/JKG
댄스가수,	댄스/NNG+가수/NNG+,/SP
나미	나미/NNP


# id : NWRW1800000038.96.2.1
17년 만에 신곡 '보여' 발표

17년	17/SN+년/NNB
만에	만/NNB+에/JKB
신곡	신곡/NNG
'보여'	'/SS+보이/VV+어/EF+'/SS
발표	발표/NNG


# id : NWRW1800000038.96.3.1
17년 만에 컴백한 가수 나미(56·본명 김명옥)가 신곡 '보여(Voyeur)'의 음원과 뮤직비디오를 11일 공개하며 본격적인 활동에 나섰다.

17년	17/SN+년/NNB
만에	만/NNB+에/JKB
컴백한	컴백/NNG+하/XSV+ㄴ/ETM
가수	가수/NNG
나미(56·본명	나미/NNP+(/SS+56/SN+·/SP+본명/NNG
김명옥)가	김명옥/NNP+)/SS+가/JKS
신곡	신곡/NNG
'보여(Voyeur)'의	'/SS+보이/VV+어/EF+(/SS+Voyeur/SL+)/SS+'/SS+의/JKG
음원과	음원/NNG+과/JC
뮤직비디오를	뮤직비디오/NNG+를/JKO
11일	11/SN+일/NNB
공개하며	공개/NNG+하/XSV+며/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
활동에	활동/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.96.4.1
이날 선보인 '보여'는, '빙글빙글' '보이네' 등 1980년대 감각적인 댄스곡들로 빛났던 나미 음악의 연장선상에 있는 노래.

이날	이날/NNG
선보인	선보이/VV+ㄴ/ETM
'보여'는,	'/SS+보여/NNP+'/SS+는/JX+,/SP
'빙글빙글'	'/SS+빙글빙글/MAG+'/SS
'보이네'	'/SS+보이/VV+네/EF+'/SS
등	등/NNB
1980년대	1980/SN+년대/NNB
감각적인	감각/NNG+적/XSN+이/VCP+ㄴ/ETM
댄스곡들로	댄스곡/NNG+들/XSN+로/JKB
