# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.402
metadata : {}


# id : NWRW1800000032.402.1.1
클리닉 들어서자 “보통 우리는 소개로 환자받는데…”

클리닉	클리닉/NNG
들어서자	들어서/VV+자/EC
“보통	“/SS+보통/MAG
우리는	우리/NP+는/JX
소개로	소개/NNG+로/JKB
환자받는데…”	환자/NNG+받/XSV+는데/EC+…/SE+”/SS


# id : NWRW1800000032.402.2.1
청담동 피부클리닉 가보니

청담동	청담동/NNP
피부클리닉	피부/NNG+클리닉/NNG
가보니	가/VV+아/EC+보/VX+니/EC


# id : NWRW1800000032.402.3.1
원장이 직접 시술비등 상담…50대 환자 “솜씨가 좋다”

원장이	원장/NNG+이/JKS
직접	직접/MAG
시술비등	시술비/NNG+등/NNB
상담…50대	상담/NNG+…/SE+50/SN+대/NNB
환자	환자/NNG
“솜씨가	“/SS+솜씨/NNG+가/JKS
좋다”	좋/VA+다/EF+”/SS


# id : NWRW1800000032.402.4.1
업계 관계자 “연예인도 고현정 정도돼야 명함 내밀어”

업계	업계/NNG
관계자	관계자/NNG
“연예인도	“/SS+연예인/NNG+도/JX
고현정	고현정/NNP
정도돼야	정도/NNG+되/XSV+어야/EC
명함	명함/NNG
내밀어”	내밀/VV+어/EC+”/SS


# id : NWRW1800000032.402.5.1
나경원 한나라당 서울시장 후보가 피부관리를 위해 다녔다는 서울 강남구 청담동의 ㄷ클리닉.

나경원	나경원/NNP
한나라당	한나라당/NNP
서울시장	서울시장/NNG
후보가	후보/NNG+가/JKS
피부관리를	피부/NNG+관리/NNG+를/JKO
위해	위하/VV+아/EC
다녔다는	다니/VV+었/EP+다는/ETM
서울	서울/NNP
강남구	강남구/NNP
청담동의	청담동/NNP+의/JKG
ㄷ클리닉.	ㄷ/NNG+클리닉/NNG+./SF


# id : NWRW1800000032.402.5.2
치료를 받기 위해선 1인당 연간 1억원의 회비를 내야 한다고 알려진 이곳을 21일 직접 찾아가봤다.

치료를	치료/NNG+를/JKO
받기	받/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
1인당	1/SN+인/NNG+당/XSN
연간	연간/NNG
1억원의	1/SN+억/NR+원/NNB+의/JKG
회비를	회비/NNG+를/JKO
내야	내/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
알려진	알려지/VV+ㄴ/ETM
이곳을	이곳/NP+을/JKO
21일	21/SN+일/NNB
직접	직접/MAG
찾아가봤다.	찾아가/VV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.402.6.1
안으로 들어서니 텔레비전과 커피제조기 등이 새것처럼 보여 최근 내부를 단장한 듯했다.

안으로	안/NNG+으로/JKB
